bucket_position,trades,wins,losses,winrate,expectancy_r,pf,total_r,avg_win_r,avg_loss_r,net_money
DISCOUNT_RECLAIM|pos_after=1,4,3,1,75.0,0.6205417500000001,3.4821670000000005,2.4821670000000005,1.1607223333333334,-1.0,4.08
EXPANSION_PULLBACK|pos_after=1,38,21,17,55.26315789473685,0.2367973947368421,1.6204832615448055,8.998301,1.119066,-0.8530638235294117,11.340000000000002
EXPANSION_PULLBACK|pos_after=2,27,12,15,44.44444444444444,0.03952062962962964,1.081423232599785,1.0670570000000004,1.1810104166666666,-0.8736712,0.05999999999999961
