range_position,trades,wins,losses,winrate,expectancy_r,pf,total_r,avg_win_r,avg_loss_r,net_money
0.25-0.45,4,3,1,75.0,0.6205417500000001,3.4821670000000005,2.4821670000000005,1.1607223333333334,-1.0,4.08
0.55-0.75,9,7,2,77.77777777777779,0.7139957777777778,4.163550523076923,6.425962,1.208173142857143,-1.015625,6.29
0.75-0.92,39,17,22,43.58974358974359,-0.031899769230769204,0.9338683966789479,-1.244090999999999,1.0334271176470589,-0.8551069090909091,0.34999999999999964
0.92-1.0,17,9,8,52.94117647058824,0.28726394117647064,1.7220300401372,4.883487000000001,1.294115333333333,-0.845443875,4.76
