risk_atr,trades,wins,losses,winrate,expectancy_r,pf,total_r,avg_win_r,avg_loss_r,net_money
0-0.9,2,1,1,50.0,0.16429749999999999,1.3223950213445235,0.32859499999999997,1.347826,-1.019231,0.17999999999999994
0.9-1.05,41,22,19,53.65853658536586,0.22012795121951217,1.5466863141281153,9.025246,1.1606476818181817,-0.8688948947368421,9.46
1.05-1.2,8,2,6,25.0,-0.334072375,0.5063212107139816,-2.672579,1.37051,-0.9022665,-3.22
1.2-1.4,5,3,2,60.0,0.20742280000000007,1.5137994737726028,1.0371140000000003,1.0185443333333335,-1.0092595,1.6800000000000002
1.4+,13,8,5,61.53846153846154,0.371473,2.3242151134651987,4.829149,1.05949375,-0.7293601999999999,7.380000000000001
