risk_pips,trades,wins,losses,winrate,expectancy_r,pf,total_r,avg_win_r,avg_loss_r,net_money
0-12,4,0,4,0.0,-0.94444425,0.0,-3.777777,0.0,-0.94444425,-3.03
12-15,28,18,10,64.28571428571429,0.5047958928571428,2.683341543040701,14.134284999999998,1.2517138333333333,-0.8396564,12.540000000000001
15-18,12,3,9,25.0,-0.4554135000000001,0.36404451416794165,-5.464962000000001,1.0427823333333333,-0.9548121111111109,-5.74
18-22,12,7,5,58.333333333333336,0.3958811666666667,2.1358080596765134,4.750574,1.2761605714285715,-0.83651,6.66
22-28,13,8,5,61.53846153846154,0.2234926923076923,1.7944879247832828,2.905405,0.82029475,-0.7313905999999999,5.05
