month,trades,wins,losses,winrate,expectancy_r,pf,total_r,avg_win_r,avg_loss_r,net_money
202501,1,1,0,100.0,1.35,inf,1.35,1.35,0.0,1.08
202502,12,4,8,33.33333333333333,-0.1421075,0.7601298707509767,-1.70529,1.350983,-0.88865275,-2.31
202503,6,1,5,16.666666666666664,-0.6290481666666666,0.26686086049648017,-3.7742889999999996,1.373832,-1.0296242,-3.88
202504,16,7,9,43.75,-0.05986124999999997,0.8785002163522739,-0.9577799999999995,0.9893138571428571,-0.8758863333333333,0.6300000000000006
202505,14,11,3,78.57142857142857,0.8256685714285714,8.661344521106315,11.55936,1.1880136363636362,-0.50293,12.09
202506,4,3,1,75.0,0.9780952500000001,33.449849461295386,3.9123810000000003,1.344316,-0.120567,4.47
202507,7,3,4,42.857142857142854,-0.3099504285714286,0.47391753344734416,-2.1696530000000003,0.6515053333333333,-1.03104225,-2.06
202508,4,3,1,75.0,0.56444,4.26568868806031,2.25776,0.9830393333333333,-0.691358,3.07
202509,3,2,1,66.66666666666666,0.5787,2.7154324696061845,1.7361,1.374074,-1.012048,2.25
202510,2,1,1,50.0,0.16946800000000006,1.3356130947488913,0.3389360000000001,1.348837,-1.009901,0.1399999999999999
