exit_reason,trades,wins,losses,winrate,expectancy_r,pf,total_r,avg_win_r,avg_loss_r,net_money
SL,26,0,26,0.0,-1.0241696153846154,0.0,-26.62841,0.0,-1.0241696153846154,-28.299999999999997
TIMEOUT,16,9,7,56.25,0.15078656250000003,2.2192513125757105,2.4125850000000004,0.4879253333333333,-0.2826775714285715,4.100000000000001
TP,27,27,0,100.0,1.3616055555555557,inf,36.76335,1.3616055555555557,0.0,39.67999999999999
