down_pressure,trades,wins,losses,winrate,expectancy_r,pf,total_r,avg_win_r,avg_loss_r,net_money
0-0.25,9,6,3,66.66666666666666,0.46294722222222223,2.375455277421706,4.166525,1.199287,-1.0097323333333332,4.6899999999999995
0.25-0.35,26,12,14,46.15384615384615,0.19175096153846158,1.483374164534292,4.985525000000001,1.2749610833333334,-0.736714857142857,5.459999999999999
0.35-0.40,17,9,8,52.94117647058824,0.13568947058823533,1.32744871691864,2.3067210000000005,1.0390274444444443,-0.8805657499999999,4.07
0.40-0.48,17,9,8,52.94117647058824,0.06404435294117648,1.1324611389949317,1.0887540000000002,1.0342417777777777,-1.02742775,1.2600000000000002
