family,side,trend,hours,hold,dist,rsi,train_pf,train_tpd,train_exp,test_pf,test_tpd,test_exp,test_trades
session-mean-reversion,long,none,asia,4,0.6,25.0,0.01071710956031494,4.823943661971831,-0.33608467153284627,0.003049700276768518,4.240991150442478,-0.36540625000000027,416
session-mean-reversion,long,none,asia,4,0.6,30.0,0.006908446225887934,8.41273873139872,-0.33820836751435585,0.003573306435170687,7.666407079646018,-0.37044414893617,752
session-mean-reversion,long,none,asia,4,0.6,35.0,0.005921165958912916,13.056404849762783,-0.3507674418604648,0.0049119886928948855,11.975814150843322,-0.36399574829931963,1176
session-mean-reversion,long,none,asia,4,0.6,40.0,0.00484318427610858,17.275998370984357,-0.35498722044728426,0.004253136314512896,16.272682271409376,-0.3753548185231541,1598
session-mean-reversion,long,none,asia,4,0.6,45.0,0.004392463549566531,20.23895606368969,-0.34821873935264047,0.004173868636077941,19.71249779034824,-0.3666286157024794,1936
session-mean-reversion,long,none,asia,4,0.8,25.0,0.011138403822964627,4.76056338028169,-0.3275384615384611,0.003115410899248302,4.190017699115044,-0.36202676399026784,411
session-mean-reversion,long,none,asia,4,0.8,30.0,0.007306243169503362,8.115980925451105,-0.3313545918367346,0.003683804902152296,7.493097345132744,-0.3676027210884351,735
session-mean-reversion,long,none,asia,4,0.8,35.0,0.006471352845070698,12.22140221402214,-0.34268379446640307,0.0052372891018284155,11.181499946960857,-0.36551912568305983,1098
session-mean-reversion,long,none,asia,4,0.8,40.0,0.005335512820034405,15.785736530675802,-0.34946241258741256,0.0047023238142783344,14.643377413195672,-0.3771036161335188,1438
session-mean-reversion,long,none,asia,4,0.8,45.0,0.004880476878437341,18.000431210023237,-0.3455871981602146,0.004746141267498906,17.136432738200458,-0.37067736185383243,1683
session-mean-reversion,long,none,asia,4,1.0,25.0,0.012206402732981318,4.619718309859155,-0.3076600609756094,0.003189125425216744,4.118654867256637,-0.3597599009900992,404
session-mean-reversion,long,none,asia,4,1.0,30.0,0.007840019127422585,7.743308331935492,-0.31806862745098036,0.0038010082754683693,7.238230088495576,-0.3687690140845069,710
session-mean-reversion,long,none,asia,4,1.0,35.0,0.007179707810713204,11.289787703071836,-0.33006662591687036,0.0050769025010030415,10.295534104168876,-0.36790504451038564,1011
session-mean-reversion,long,none,asia,4,1.0,40.0,0.005809423201207156,14.164386843303069,-0.34243497320993677,0.004846950908079479,12.942790467435119,-0.37864594807238416,1271
session-mean-reversion,long,none,asia,4,1.0,45.0,0.0054333204365105215,15.654648683611622,-0.3421388276773909,0.004914054675072135,14.733462966236521,-0.3735086385625434,1447
session-mean-reversion,long,none,asia,4,1.2,25.0,0.01311473658343759,4.429577464788732,-0.2937027027027024,0.0034286472696170465,3.945345132743363,-0.3492428940568477,387
session-mean-reversion,long,none,asia,4,1.2,30.0,0.008496117020951642,7.198102130310801,-0.3111649089165869,0.004153207198892371,6.830442477876106,-0.3575194029850745,670
session-mean-reversion,long,none,asia,4,1.2,35.0,0.007748705726973009,10.013130780658456,-0.3230909717436251,0.004853247755714778,9.257470207574524,-0.36024312431243105,909
session-mean-reversion,long,none,asia,4,1.2,40.0,0.006493550143516859,12.172221290461701,-0.3351405895691612,0.004740721100259638,11.202263083451202,-0.3685372727272728,1100
session-mean-reversion,long,none,asia,4,1.2,45.0,0.006036121160180703,13.207274121283275,-0.33690961337513087,0.005068580864759153,12.30081674504119,-0.3665885761589404,1208
session-mean-reversion,long,none,asia,4,1.5,25.0,0.014221242333623969,4.02112676056338,-0.2834605954465843,0.003703526713179803,3.6700884955752215,-0.3474750000000001,360
session-mean-reversion,long,none,asia,4,1.5,30.0,0.009885908957503053,6.114591071385781,-0.3008013544018057,0.003545527800161158,5.821168141592921,-0.3573362521891416,571
session-mean-reversion,long,none,asia,4,1.5,35.0,0.009311170664606256,8.011884794172616,-0.3114039621016363,0.004657536298082408,7.393755083277343,-0.36618457300275464,726
session-mean-reversion,long,none,asia,4,1.5,40.0,0.008212741184298137,9.129822207312982,-0.32449659863945585,0.004969390068777827,8.585007072135785,-0.37481138790035606,843
session-mean-reversion,long,none,asia,4,1.5,45.0,0.007655500331630737,9.640484976278334,-0.3298618468146028,0.005609173378750814,9.113601810274723,-0.3757530726256984,895
session-mean-reversion,long,none,asia,6,0.6,25.0,0.01417460263666267,4.823943661971831,-0.3397226277372259,0.00811908863392616,4.240991150442478,-0.36679326923076877,416
session-mean-reversion,long,none,asia,6,0.6,30.0,0.009567089782176835,8.41273873139872,-0.3414881050041014,0.00706994987085822,7.666407079646018,-0.3716529255319142,752
session-mean-reversion,long,none,asia,6,0.6,35.0,0.008860507240988571,13.056404849762783,-0.35225369978858345,0.00813796134584033,11.975814150843322,-0.36460629251700644,1176
session-mean-reversion,long,none,asia,6,0.6,40.0,0.0077334019064666665,17.275998370984357,-0.3559760383386581,0.0076803694262664,16.272682271409376,-0.37491239048811,1598
session-mean-reversion,long,none,asia,6,0.6,45.0,0.007941780994898461,20.23895606368969,-0.3479781942078365,0.0077170976429940105,19.71249779034824,-0.3659550619834711,1936
session-mean-reversion,long,none,asia,6,0.8,25.0,0.01472367801525191,4.76056338028169,-0.33122337278106473,0.008291070338015655,4.190017699115044,-0.36349148418491445,411
session-mean-reversion,long,none,asia,6,0.8,30.0,0.010129917897531919,8.115980925451105,-0.33411734693877526,0.00729231558503454,7.493097345132744,-0.36857142857142794,735
session-mean-reversion,long,none,asia,6,0.8,35.0,0.009661114339418122,12.22140221402214,-0.3445093167701863,0.008330928757981401,11.181499946960857,-0.36621038251366084,1098
session-mean-reversion,long,none,asia,6,0.8,40.0,0.00848911745049764,15.785736530675802,-0.35080201048951043,0.008215816270466317,14.643377413195672,-0.3765883171070931,1438
session-mean-reversion,long,none,asia,6,0.8,45.0,0.008512789515619438,18.000431210023237,-0.3457949405902644,0.008452881917878135,17.136432738200458,-0.36961200237670827,1683
session-mean-reversion,long,none,asia,6,1.0,25.0,0.01607989004546217,4.619718309859155,-0.3121036585365852,0.008488687413771045,4.118654867256637,-0.3611089108910887,404
session-mean-reversion,long,none,asia,6,1.0,30.0,0.011006228905413975,7.743308331935492,-0.3212290552584668,0.0072295075771894035,7.238230088495576,-0.3699957746478867,710
session-mean-reversion,long,none,asia,6,1.0,35.0,0.010743574680302768,11.289787703071836,-0.3324633251833741,0.00795357351260188,10.295534104168876,-0.3682670623145397,1011
