episode_id,anchor_event_id,market_cluster_id,symbol,shock_direction,anchor_msc,anchor_processing_msc,anchor_bid,anchor_ask,anchor_mid,initial_shock,severity,pre_m1_rms,pre_m1_count,pre_vol_status,step15d_path_class,sr_clean_001,sr_rev_001,repeat_count,same_direction_repeats,opposite_direction_repeats,max_repeat_severity,last_shock_msc,mfe,mae,time_to_mfe_ms,time_to_mae_ms,origin_recross_count,first_origin_recross_msc,realized_volatility,quote_count,average_spread,fallback_count,duplicate_same_msc,drops,capacity_losses,future_reads,backdates,episode_status,validation_status,schema_version
"ts15o_cross_fx_lead_lag_202504_USDJPY_mh_1","ts15o_cross_fx_lead_lag_202504_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1743532556250_1","1","USDJPY","SHORT","1743532556250","1743532556468","149.2980000000","149.3150000000","149.3065000000","0.0050000000","8.4575970156","0.000195744157","10","AVAILABLE","FAILED_SHOCK_REVERSAL","false","true","14","9","5","6.5404385428","1743533431500","0.0965000000","0.0315000000","307060","64955","22","1743532584510","0.000809961524","1882","0.0183682253","0","0","0","0","0","0","COMPLETE_900S","VALID","tickshock-medium-horizon-response-v1"
"ts15o_cross_fx_lead_lag_202504_USDJPY_mh_2","ts15o_cross_fx_lead_lag_202504_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1743534630250_16","9","USDJPY","LONG","1743534630250","1743534630743","149.5250000000","149.5440000000","149.5345000000","0.0140000000","4.8032536731","0.000194156746","10","AVAILABLE","CLEAN_CONTINUATION","true","false","12","7","5","4.7164111446","1743535318000","0.2090000000","0.0010000000","443274","294","1","1743534630744","0.000733099172","1645","0.0203276596","0","0","0","0","0","0","COMPLETE_900S","VALID","tickshock-medium-horizon-response-v1"
"ts15o_cross_fx_lead_lag_202504_USDJPY_mh_3","ts15o_cross_fx_lead_lag_202504_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1743537003750_29","16","USDJPY","LONG","1743537003750","1743537005420","149.5300000000","149.5460000000","149.5380000000","0.0010000000","4.8821448649","0.000149567634","10","AVAILABLE","FAILED_SHOCK_REVERSAL","false","true","1","1","0","3.5634639732","1743537004000","0.0335000000","0.0550000000","206420","898509","42","1743537014993","0.000567853749","1447","0.0166786455","0","0","0","0","0","0","COMPLETE_900S","VALID","tickshock-medium-horizon-response-v1"
"ts15o_cross_fx_lead_lag_202504_USDJPY_mh_4","ts15o_cross_fx_lead_lag_202504_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1743608748750_31","17","USDJPY","LONG","1743608748750","1743608749830","149.1950000000","149.2120000000","149.2035000000","0.0030000000","3.3221745338","0.000143840538","10","AVAILABLE","CLEAN_CONTINUATION","true","false","3","2","1","6.2612605600","1743609460000","0.0355000000","0.0425000000","203405","888705","44","1743608750237","0.000609525258","1470","0.0174435374","0","0","0","0","0","0","COMPLETE_900S","VALID","tickshock-medium-horizon-response-v1"
"ts15o_cross_fx_lead_lag_202504_USDJPY_mh_5","ts15o_cross_fx_lead_lag_202504_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1743611641000_35","20","USDJPY","LONG","1743611641000","1743611641378","149.2980000000","149.3180000000","149.3080000000","0.0000000000","4.4630089145","0.000176762315","10","AVAILABLE","FAILED_SHOCK_REVERSAL","false","true","3","3","0","4.7365558847","1743612387000","0.2510000000","0.0350000000","763617","16472","2","1743611642596","0.000854102268","2321","0.0200000000","0","0","0","0","0","0","COMPLETE_900S","VALID","tickshock-medium-horizon-response-v1"
"ts15o_cross_fx_lead_lag_202504_USDJPY_mh_6","ts15o_cross_fx_lead_lag_202504_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1743612672750_39","23","USDJPY","SHORT","1743612672750","1743612673422","149.5260000000","149.5450000000","149.5355000000","0.0040000000","2.9434657392","0.000187147516","10","AVAILABLE","FAILED_SHOCK_REVERSAL","false","true","6","1","5","4.1901008138","1743613217000","0.0590000000","0.1585000000","237352","777573","15","1743612676127","0.000899991899","2113","0.0191258874","0","0","0","0","0","0","COMPLETE_900S","VALID","tickshock-medium-horizon-response-v1"
"ts15o_cross_fx_lead_lag_202504_USDJPY_mh_7","ts15o_cross_fx_lead_lag_202504_USDJPY_TAIL_V1_PERSISTENT_stat_w1000_1743613832250_46","27","USDJPY","SHORT","1743613832250","1743613832623","149.5360000000","149.5550000000","149.5455000000","0.0245000000","2.4947477450","0.000221493813","10","AVAILABLE","PULLBACK_CONTINUATION","false","false","0","0","0","0.0000000000","1743613832250","0.0410000000","0.1060000000","50453","392118","48","1743613835157","0.000792032401","1936","0.0177815083","0","0","0","0","0","0","COMPLETE_900S","VALID","tickshock-medium-horizon-response-v1"
"ts15o_cross_fx_lead_lag_202504_USDJPY_mh_8","ts15o_cross_fx_lead_lag_202504_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1743615070000_47","28","USDJPY","SHORT","1743615070000","1743615072942","149.6270000000","149.6450000000","149.6360000000","0.0010000000","3.3395536843","0.000150889069","10","AVAILABLE","CLEAN_CONTINUATION","true","false","9","2","7","5.4134347337","1743615809500","0.0680000000","0.1530000000","446003","645763","10","1743615072630","0.000851630266","2028","0.0191321499","0","0","0","0","0","0","COMPLETE_900S","VALID","tickshock-medium-horizon-response-v1"
"ts15o_cross_fx_lead_lag_202504_USDJPY_mh_9","ts15o_cross_fx_lead_lag_202504_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1743616261500_57","35","USDJPY","LONG","1743616261500","1743616261723","149.6300000000","149.6460000000","149.6380000000","0.0020000000","2.8174580905","0.000287058465","10","AVAILABLE","FAILED_SHOCK_REVERSAL","false","true","11","8","3","5.5237951825","1743617097250","0.2370000000","0.0290000000","862542","304551","50","1743616263249","0.000829101333","2014","0.0178435948","0","0","0","0","0","0","COMPLETE_900S","VALID","tickshock-medium-horizon-response-v1"
"ts15o_cross_fx_lead_lag_202504_USDJPY_mh_10","ts15o_cross_fx_lead_lag_202504_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1743617402000_70","45","USDJPY","LONG","1743617402000","1743617402441","149.8490000000","149.8650000000","149.8570000000","0.0050000000","3.9476280449","0.000194920484","10","AVAILABLE","FAILED_SHOCK_REVERSAL","false","true","7","4","3","4.3502557682","1743618261500","0.1940000000","0.0540000000","822478","233680","25","1743617403137","0.000678028420","1746","0.0166580756","0","0","0","0","0","0","COMPLETE_900S","VALID","tickshock-medium-horizon-response-v1"
