period_id,variant,m5_micro_n_state,mfe_1r_bucket,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,max_dd_pct,recovery_factor,full_sl_exits,full_sl_rate,tp_exits,tp_exit_rate,time_exits,time_exit_rate,avg_mfe_r,avg_mae_r,reached_0_5r_rate,reached_0_8r_rate,reached_1_0r_rate,reached_1_3r_rate,reached_1_5r_rate,symbol_distribution,direction_distribution,session_distribution
full2025_validation,anchor_pullback,unknown,mfe_ge_1r,15,15,1.0,441.56,441.56,0,inf,18.2122,1.2141466666666667,inf,0.0,0.0,inf,0,0.0,12,0.8,3,0.2,1.2887400000000002,0.3607733333333334,1.0,1.0,1.0,0.8,0.0,USDJPY:8|EURUSD:3|GBPUSD:2|EURJPY:1|GBPJPY:1,SHORT:9|LONG:6,london:7|london_newyork_overlap:5|tokyo:3
full2025_validation,anchor_pullback,unknown,mfe_lt_1r,58,6,0.10344827586206896,-497.3099999999999,39.51,-536.82,0.0736000894154465,-20.877699999999994,-0.3599603448275861,0.07328429958231056,497.3099999999999,4.973099999999999,-1.0,1,0.017241379310344827,0,0.0,57,0.9827586206896551,0.39306206896551726,0.4945706896551724,0.3275862068965517,0.10344827586206896,0.0,0.0,0.0,USDJPY:33|EURUSD:12|EURJPY:6|GBPJPY:4|AUDJPY:2|GBPUSD:1,SHORT:33|LONG:25,london_newyork_overlap:30|london:12|tokyo:12|new_york:4
full2025_validation,base,unknown,mfe_ge_1r,78,60,0.7692307692307693,1338.37,1518.49,-180.12,8.430435265378636,59.8166,0.7668794871794872,8.502677888293801,42.07999999999993,0.4207999999999993,31.805370722433512,3,0.038461538461538464,49,0.6282051282051282,26,0.3333333333333333,1.2545538461538464,0.48992564102564107,1.0,1.0,1.0,0.5128205128205128,0.01282051282051282,USDJPY:44|GBPJPY:9|EURUSD:8|EURJPY:7|AUDJPY:5|GBPUSD:5,SHORT:49|LONG:29,london_newyork_overlap:28|london:24|tokyo:14|new_york:12
full2025_validation,base,unknown,mfe_lt_1r,240,17,0.07083333333333333,-2483.2599999999998,128.93999999999997,-2612.2,0.049360692136896096,-110.13729999999995,-0.45890541666666645,0.04952203093487246,2490.0699999999997,24.900699999999997,-0.9972651371246591,30,0.125,0,0.0,210,0.875,0.3833966666666668,0.5958699999999998,0.3333333333333333,0.09583333333333334,0.0,0.0,0.0,USDJPY:140|EURUSD:36|EURJPY:20|GBPUSD:20|GBPJPY:14|AUDJPY:10,SHORT:134|LONG:106,london_newyork_overlap:102|new_york:64|london:48|tokyo:26
full2025_validation,light,unknown,mfe_ge_1r,20,17,0.85,496.60000000000014,512.4100000000001,-15.809999999999999,32.410499683744476,20.285800000000002,1.0142900000000001,31.592369175086716,7.1299999999999955,0.07129999999999996,69.64936886395519,0,0.0,15,0.75,5,0.25,1.295355,0.36790000000000006,1.0,1.0,1.0,0.6,0.0,USDJPY:12|EURUSD:6|EURJPY:2,SHORT:14|LONG:6,london:7|london_newyork_overlap:5|new_york:4|tokyo:4
full2025_validation,light,unknown,mfe_lt_1r,30,2,0.06666666666666667,-362.31,15.95,-378.26,0.042166763601755405,-14.792199999999998,-0.49307333333333325,0.04365310265461552,362.31,3.6231,-1.0,7,0.23333333333333334,0,0.0,23,0.7666666666666667,0.43731000000000003,0.5943066666666665,0.4,0.13333333333333333,0.0,0.0,0.0,USDJPY:19|EURJPY:4|GBPJPY:4|EURUSD:3,SHORT:22|LONG:8,london_newyork_overlap:14|new_york:7|london:6|tokyo:3
full2025_validation,light_or_micro_n,no_confirmed_micro_anchor,mfe_ge_1r,2,1,0.5,29.569999999999997,33.16,-3.59,9.236768802228411,1.1531,0.57655,8.822930800542741,3.59,0.0359,8.236768802228411,0,0.0,1,0.5,1,0.5,1.28165,0.28415,1.0,1.0,1.0,0.5,0.0,EURJPY:1|USDJPY:1,SHORT:2,london:2
full2025_validation,light_or_micro_n,no_confirmed_micro_anchor,mfe_lt_1r,1,0,0.0,-5.91,0,-5.91,0.0,-0.2521,-0.2521,0.0,5.91,0.05910000000000001,-1.0,0,0.0,0,0.0,1,1.0,0.4145,0.2521,0.0,0.0,0.0,0.0,0.0,USDJPY:1,SHORT:1,london_newyork_overlap:1
full2025_validation,light_or_micro_n,unknown,mfe_ge_1r,18,16,0.8888888888888888,467.0300000000001,479.2500000000001,-12.219999999999999,39.21849427168577,19.1327,1.0629277777777777,38.100445995733956,7.1299999999999955,0.07129999999999996,65.50210378681632,0,0.0,14,0.7777777777777778,4,0.2222222222222222,1.2968777777777778,0.37720555555555557,1.0,1.0,1.0,0.6111111111111112,0.0,USDJPY:11|EURUSD:6|EURJPY:1,SHORT:12|LONG:6,london:5|london_newyork_overlap:5|new_york:4|tokyo:4
full2025_validation,light_or_micro_n,unknown,mfe_lt_1r,29,2,0.06896551724137931,-356.4,15.95,-372.34999999999997,0.04283604135893649,-14.540099999999999,-0.5013827586206896,0.044376384297384885,356.4,3.5639999999999996,-1.0,7,0.2413793103448276,0,0.0,22,0.7586206896551724,0.438096551724138,0.6061068965517239,0.41379310344827586,0.13793103448275862,0.0,0.0,0.0,USDJPY:18|EURJPY:4|GBPJPY:4|EURUSD:3,SHORT:21|LONG:8,london_newyork_overlap:13|new_york:7|london:6|tokyo:3
