period_id,variant,m5_micro_n_state,m5_micro_anchor_created_after_m15_break,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,max_dd_pct,recovery_factor,full_sl_exits,full_sl_rate,tp_exits,tp_exit_rate,time_exits,time_exit_rate,avg_mfe_r,avg_mae_r,reached_0_5r_rate,reached_0_8r_rate,reached_1_0r_rate,reached_1_3r_rate,reached_1_5r_rate,symbol_distribution,direction_distribution,session_distribution
full2025_validation,anchor_pullback,unknown,false,73,21,0.2876712328767123,-55.75000000000001,481.07000000000005,-536.82,0.8961476845124996,-2.6655,-0.03651369863013699,0.8816842516434593,112.27000000000001,1.1227,-0.4965707669012203,1,0.0136986301369863,12,0.1643835616438356,60,0.821917808219178,0.577105479452055,0.4670780821917808,0.4657534246575342,0.2876712328767123,0.2054794520547945,0.1643835616438356,0.0,USDJPY:41|EURUSD:15|EURJPY:7|GBPJPY:5|GBPUSD:3|AUDJPY:2,SHORT:42|LONG:31,london_newyork_overlap:35|london:19|tokyo:15|new_york:4
full2025_validation,base,unknown,false,318,77,0.24213836477987422,-1144.89,1647.43,-2792.3199999999993,0.5899861047444421,-50.320699999999974,-0.15824119496855338,0.5936911578994966,1179.96,11.7996,-0.9702786535136785,33,0.10377358490566038,49,0.1540880503144654,236,0.7421383647798742,0.5970767295597484,0.5698836477987422,0.4968553459119497,0.31761006289308175,0.24528301886792453,0.12578616352201258,0.0031446540880503146,USDJPY:184|EURUSD:44|EURJPY:27|GBPUSD:25|GBPJPY:23|AUDJPY:15,SHORT:183|LONG:135,london_newyork_overlap:130|new_york:76|london:72|tokyo:40
full2025_validation,light,unknown,false,50,19,0.38,134.29000000000002,528.3600000000001,-394.06999999999994,1.3407770193112905,5.493600000000001,0.10987200000000001,1.340572207929079,123.71,1.2371,1.085522593161426,7,0.14,15,0.3,28,0.56,0.780528,0.5037440000000001,0.64,0.48,0.4,0.24,0.0,USDJPY:31|EURUSD:9|EURJPY:6|GBPJPY:4,SHORT:36|LONG:14,london_newyork_overlap:19|london:13|new_york:11|tokyo:7
full2025_validation,light_or_micro_n,no_confirmed_micro_anchor,false,3,1,0.3333333333333333,23.659999999999997,33.16,-9.5,3.4905263157894733,0.901,0.30033333333333334,3.2553191489361706,9.5,0.095,2.4905263157894733,0,0.0,1,0.3333333333333333,2,0.6666666666666666,0.9925999999999999,0.2734666666666667,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,USDJPY:2|EURJPY:1,SHORT:3,london:2|london_newyork_overlap:1
full2025_validation,light_or_micro_n,unknown,false,47,18,0.3829787234042553,110.62999999999998,495.20000000000005,-384.56999999999994,1.2876719452895444,4.592600000000001,0.09771489361702129,1.291945839425339,135.59,1.3558999999999999,0.8159156279961648,7,0.14893617021276595,14,0.2978723404255319,26,0.5531914893617021,0.766991489361702,0.5184425531914895,0.6382978723404256,0.46808510638297873,0.3829787234042553,0.23404255319148937,0.0,USDJPY:29|EURUSD:9|EURJPY:5|GBPJPY:4,SHORT:33|LONG:14,london_newyork_overlap:18|london:11|new_york:11|tokyo:7
full2025_validation,light_or_micro_n_exhaustion,no_confirmed_micro_anchor,false,3,1,0.3333333333333333,23.659999999999997,33.16,-9.5,3.4905263157894733,0.901,0.30033333333333334,3.2553191489361706,9.5,0.095,2.4905263157894733,0,0.0,1,0.3333333333333333,2,0.6666666666666666,0.9925999999999999,0.2734666666666667,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,USDJPY:2|EURJPY:1,SHORT:3,london:2|london_newyork_overlap:1
full2025_validation,light_or_micro_n_exhaustion,unknown,false,47,18,0.3829787234042553,110.62999999999998,495.20000000000005,-384.56999999999994,1.2876719452895444,4.592600000000001,0.09771489361702129,1.291945839425339,135.59,1.3558999999999999,0.8159156279961648,7,0.14893617021276595,14,0.2978723404255319,26,0.5531914893617021,0.766991489361702,0.5184425531914895,0.6382978723404256,0.46808510638297873,0.3829787234042553,0.23404255319148937,0.0,USDJPY:29|EURUSD:9|EURJPY:5|GBPJPY:4,SHORT:33|LONG:14,london_newyork_overlap:18|london:11|new_york:11|tokyo:7
full2025_validation,light_or_micro_n_first,no_confirmed_micro_anchor,false,3,1,0.3333333333333333,23.659999999999997,33.16,-9.5,3.4905263157894733,0.901,0.30033333333333334,3.2553191489361706,9.5,0.095,2.4905263157894733,0,0.0,1,0.3333333333333333,2,0.6666666666666666,0.9925999999999999,0.2734666666666667,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,USDJPY:2|EURJPY:1,SHORT:3,london:2|london_newyork_overlap:1
full2025_validation,light_or_micro_n_first,unknown,false,47,18,0.3829787234042553,110.62999999999998,495.20000000000005,-384.56999999999994,1.2876719452895444,4.592600000000001,0.09771489361702129,1.291945839425339,135.59,1.3558999999999999,0.8159156279961648,7,0.14893617021276595,14,0.2978723404255319,26,0.5531914893617021,0.766991489361702,0.5184425531914895,0.6382978723404256,0.46808510638297873,0.3829787234042553,0.23404255319148937,0.0,USDJPY:29|EURUSD:9|EURJPY:5|GBPJPY:4,SHORT:33|LONG:14,london_newyork_overlap:18|london:11|new_york:11|tokyo:7
full2025_validation,light_or_micro_n_pattern,no_confirmed_micro_anchor,false,3,1,0.3333333333333333,23.659999999999997,33.16,-9.5,3.4905263157894733,0.901,0.30033333333333334,3.2553191489361706,9.5,0.095,2.4905263157894733,0,0.0,1,0.3333333333333333,2,0.6666666666666666,0.9925999999999999,0.2734666666666667,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,USDJPY:2|EURJPY:1,SHORT:3,london:2|london_newyork_overlap:1
full2025_validation,light_or_micro_n_pattern,unknown,false,47,18,0.3829787234042553,110.62999999999998,495.20000000000005,-384.56999999999994,1.2876719452895444,4.592600000000001,0.09771489361702129,1.291945839425339,135.59,1.3558999999999999,0.8159156279961648,7,0.14893617021276595,14,0.2978723404255319,26,0.5531914893617021,0.766991489361702,0.5184425531914895,0.6382978723404256,0.46808510638297873,0.3829787234042553,0.23404255319148937,0.0,USDJPY:29|EURUSD:9|EURJPY:5|GBPJPY:4,SHORT:33|LONG:14,london_newyork_overlap:18|london:11|new_york:11|tokyo:7
full2025_validation,micro_n_diag,falling_n,false,2,1,0.5,-5.8100000000000005,1.72,-7.53,0.22841965471447542,-0.23900000000000005,-0.11950000000000002,0.2479546884833228,7.53,0.07529999999999999,-0.7715803452855247,0,0.0,0,0.0,2,1.0,0.82575,0.43845,1.0,0.5,0.5,0.0,0.0,USDJPY:2,SHORT:2,london:1|tokyo:1
full2025_validation,micro_n_diag,falling_n,true,1,0,0.0,-12.27,0,-12.27,0.0,-0.5292,-0.5292,0.0,12.27,0.1227,-1.0,0,0.0,0,0.0,1,1.0,0.0,0.6345,0.0,0.0,0.0,0.0,0.0,USDJPY:1,LONG:1,london:1
full2025_validation,micro_n_diag,no_confirmed_micro_anchor,false,12,2,0.16666666666666666,-76.68,28.7,-105.38,0.27234769405959386,-3.504,-0.292,0.2704103941532888,76.68,0.7668,-1.0,1,0.08333333333333333,0,0.0,11,0.9166666666666666,0.41814166666666663,0.5520416666666665,0.3333333333333333,0.16666666666666666,0.08333333333333333,0.0,0.0,USDJPY:5|EURUSD:3|AUDJPY:2|EURJPY:1|GBPUSD:1,SHORT:9|LONG:3,london_newyork_overlap:5|new_york:4|london:2|tokyo:1
full2025_validation,micro_n_diag,range_n,false,6,1,0.16666666666666666,-37.61,28.14,-65.75,0.42798479087452473,-1.5451,-0.25751666666666667,0.45812583292417763,41.84,0.4184,-0.8989005736137666,1,0.16666666666666666,1,0.16666666666666666,4,0.6666666666666666,0.6796333333333333,0.6270000000000001,0.6666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.0,USDJPY:3|AUDJPY:1|EURJPY:1|EURUSD:1,SHORT:6,london_newyork_overlap:2|tokyo:2|london:1|new_york:1
full2025_validation,micro_n_diag,rising_n,false,1,1,1.0,27.9,27.9,0,inf,1.3125,1.3125,inf,0.0,0.0,inf,0,0.0,1,1.0,0,0.0,1.3125,0.2035,1.0,1.0,1.0,1.0,0.0,USDJPY:1,LONG:1,new_york:1
full2025_validation,micro_n_diag,unknown,false,296,72,0.24324324324324326,-1040.4200000000005,1560.97,-2601.3900000000003,0.6000522797427529,-45.81589999999999,-0.15478344594594592,0.6028004123200111,1075.4900000000005,10.754900000000005,-0.9673916075463278,31,0.10472972972972973,47,0.15878378378378377,218,0.7364864864864865,0.6007124999999999,0.5713567567567569,0.4966216216216216,0.32094594594594594,0.25,0.12837837837837837,0.0033783783783783786,USDJPY:172|EURUSD:40|EURJPY:25|GBPUSD:24|GBPJPY:23|AUDJPY:12,SHORT:166|LONG:130,london_newyork_overlap:123|new_york:70|london:67|tokyo:36
full2025_validation,one_light_or_micro_n_first,unknown,false,35,16,0.45714285714285713,183.92999999999998,432.45000000000005,-248.52,1.7401014002897153,7.463800000000002,0.21325142857142862,1.7301273648582551,70.88000000000001,0.7088000000000001,2.5949492099322793,4,0.11428571428571428,12,0.34285714285714286,19,0.5428571428571428,0.8001914285714287,0.5183457142857144,0.6571428571428571,0.4857142857142857,0.45714285714285713,0.2571428571428571,0.0,USDJPY:20|EURUSD:7|EURJPY:4|GBPJPY:4,SHORT:23|LONG:12,london_newyork_overlap:14|new_york:9|london:7|tokyo:5
