period_id,variant,post_anchor_pullback_bucket,post_anchor_pullback_quality_bucket,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,max_dd_pct,recovery_factor,full_sl_exits,full_sl_rate,tp_exits,tp_exit_rate,time_exits,time_exit_rate,avg_mfe_r,avg_mae_r,reached_0_5r_rate,reached_0_8r_rate,reached_1_0r_rate,reached_1_3r_rate,reached_1_5r_rate,symbol_distribution,direction_distribution,session_distribution
full2025_validation,anchor_pullback,post_anchor_pullback_pass,clean_retest_reconfirm,20,6,0.3,45.550000000000004,162.32000000000002,-116.77000000000002,1.3900830692814934,1.7578,0.08789,1.3539313399778514,38.8,0.38799999999999996,1.1739690721649487,0,0.0,5,0.25,15,0.75,0.6281999999999999,0.41452,0.55,0.35,0.25,0.25,0.0,USDJPY:10|EURUSD:5|EURJPY:2|GBPJPY:2|GBPUSD:1,SHORT:12|LONG:8,london_newyork_overlap:14|tokyo:4|london:2
full2025_validation,anchor_pullback,post_anchor_pullback_pass,retest_only,16,4,0.25,-17.53000000000001,84.26,-101.78999999999999,0.8277826898516555,-0.8090999999999998,-0.05056874999999999,0.8112357977743042,58.49000000000001,0.5849000000000001,-0.2997093520259874,0,0.0,2,0.125,14,0.875,0.6140749999999999,0.42536874999999996,0.5,0.1875,0.1875,0.125,0.0,USDJPY:9|EURUSD:3|AUDJPY:2|GBPJPY:2,LONG:9|SHORT:7,london_newyork_overlap:6|london:4|new_york:3|tokyo:3
full2025_validation,anchor_pullback,post_anchor_pullback_pass,retest_reconfirm,37,11,0.2972972972972973,-83.77,234.49,-318.26000000000005,0.736787532206372,-3.6142000000000003,-0.09768108108108109,0.7277623362634548,127.18,1.2718,-0.6586727472873093,1,0.02702702702702703,5,0.13513513513513514,31,0.8378378378378378,0.5335000000000002,0.5135243243243243,0.40540540540540543,0.2972972972972973,0.1891891891891892,0.13513513513513514,0.0,USDJPY:22|EURUSD:7|EURJPY:5|GBPUSD:2|GBPJPY:1,SHORT:23|LONG:14,london_newyork_overlap:15|london:13|tokyo:8|new_york:1
full2025_validation,base,post_anchor_pullback_pass,none,318,77,0.24213836477987422,-1144.89,1647.43,-2792.3199999999993,0.5899861047444421,-50.320699999999974,-0.15824119496855338,0.5936911578994966,1179.96,11.7996,-0.9702786535136785,33,0.10377358490566038,49,0.1540880503144654,236,0.7421383647798742,0.5970767295597484,0.5698836477987422,0.4968553459119497,0.31761006289308175,0.24528301886792453,0.12578616352201258,0.0031446540880503146,USDJPY:184|EURUSD:44|EURJPY:27|GBPUSD:25|GBPJPY:23|AUDJPY:15,SHORT:183|LONG:135,london_newyork_overlap:130|new_york:76|london:72|tokyo:40
full2025_validation,light,post_anchor_pullback_pass,none,50,19,0.38,134.29000000000002,528.3600000000001,-394.06999999999994,1.3407770193112905,5.493600000000001,0.10987200000000001,1.340572207929079,123.71,1.2371,1.085522593161426,7,0.14,15,0.3,28,0.56,0.780528,0.5037440000000001,0.64,0.48,0.4,0.24,0.0,USDJPY:31|EURUSD:9|EURJPY:6|GBPJPY:4,SHORT:36|LONG:14,london_newyork_overlap:19|london:13|new_york:11|tokyo:7
full2025_validation,light_or_micro_n,post_anchor_pullback_pass,clean_retest_reconfirm,1,1,1.0,32.68,32.68,0,inf,1.303,1.303,inf,0.0,0.0,inf,0,0.0,1,1.0,0,0.0,1.303,0.553,1.0,1.0,1.0,1.0,0.0,EURUSD:1,LONG:1,london_newyork_overlap:1
full2025_validation,light_or_micro_n,post_anchor_pullback_pass,retest_only,3,0,0.0,-14.59,0,-14.59,0.0,-0.62,-0.20666666666666667,0.0,14.59,0.1459,-1.0,0,0.0,0,0.0,3,1.0,0.9177666666666666,0.31566666666666665,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,USDJPY:3,SHORT:3,london_newyork_overlap:2|london:1
full2025_validation,light_or_micro_n,post_anchor_pullback_pass,retest_reconfirm,3,1,0.3333333333333333,20.749999999999996,33.16,-12.41,2.6720386784850922,0.7988,0.26626666666666665,2.592186565676699,12.41,0.12409999999999999,1.6720386784850925,0,0.0,1,0.3333333333333333,2,0.6666666666666666,0.5537,0.22443333333333335,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,USDJPY:2|EURJPY:1,SHORT:2|LONG:1,london:2|london_newyork_overlap:1
full2025_validation,light_or_micro_n,post_anchor_pullback_reject,failed_close_back_inside,4,3,0.75,71.5,96.61,-25.11,3.8474711270410196,2.9223,0.730575,3.8993947812282963,25.11,0.2511,2.8474711270410196,1,0.25,3,0.75,0,0.0,1.155775,0.657975,1.0,0.75,0.75,0.5,0.0,USDJPY:4,SHORT:3|LONG:1,tokyo:2|london:1|london_newyork_overlap:1
full2025_validation,light_or_micro_n,post_anchor_pullback_reject,none,39,14,0.358974358974359,23.950000000000003,365.9100000000001,-341.96,1.0700374312785124,1.0895000000000006,0.02793589743589745,1.0778164260868945,160.54000000000002,1.6054000000000002,0.1491840039865454,6,0.15384615384615385,10,0.2564102564102564,23,0.5897435897435898,0.7355358974358973,0.5226153846153846,0.6153846153846154,0.4358974358974359,0.3333333333333333,0.20512820512820512,0.0,USDJPY:22|EURUSD:8|EURJPY:5|GBPJPY:4,SHORT:28|LONG:11,london_newyork_overlap:14|new_york:11|london:9|tokyo:5
