side,context,horizon,feature,operator,quantile,threshold,train_trades,train_tpd,train_expectancy,train_hit_rate,test_trades,test_tpd,test_expectancy,test_hit_rate,score
long,all,3,breakout_persist_down_6,>=,0.8,1.0,21625,82.95925299375274,0.028779991603859537,0.5181965317919075,7297,82.2712182900094,0.005991273548977961,0.5326846649307935,279.9840490838391
short,all,3,breakout_persist_up_6,>=,0.8,1.0,21890,83.94455466638261,0.004862163637934045,0.5217450890817725,6972,78.34624839049515,0.058836855712608854,0.5413080895008606,272.2329459317857
short,all,6,rsi7,>=,0.8,70.37143226723127,14797,56.74104254044338,0.011491241943813875,0.5195647766439143,5048,56.732381175368765,0.1311313387727499,0.5406101426307448,207.5243261350878
short,all,3,rsi7,>=,0.8,70.37143226723127,14797,56.74104254044338,0.018265245049666524,0.5235520713658174,5051,56.75945218307386,0.08771790408009089,0.5549396159176401,205.07525312453706
short,all,6,ret_3,>=,0.8,0.0012043458111605345,14881,57.06695073235685,0.008609501816365335,0.5075599758080774,6352,71.43209683717298,0.10935452695026573,0.5310138539042821,204.90678629828867
short,all,12,tick_volume_z,>=,0.8,0.8244204024144562,14876,57.07057413081124,0.03221498830017253,0.4954961011024469,4864,54.74780161800915,0.20705586670664308,0.4965049342105263,203.95719572785222
short,all,6,ret_6,>=,0.8,0.0016809556126740066,14880,57.06083645127359,0.008234547100326102,0.5146505376344086,6402,71.94942636384921,0.09460303410688228,0.5315526398000625,203.73375895099582
long,all,6,roc_atr_6,<=,0.2,-1.3738598464876055,14883,57.09134500119875,0.07990086955726193,0.534838406235302,5164,58.124516355962015,0.023052441513733878,0.5548024786986832,202.67954639027343
long,all,12,range_compression_12,>=,0.8,0.0074818168704777884,14884,57.44022940758707,0.03716433101669878,0.5206933619994625,9929,111.83230348064137,0.0704671780164358,0.5156611944808138,202.39457632899496
long,all,6,rsi7,<=,0.2,29.577224554401095,14800,56.78354470851539,0.08779975802506103,0.5349324324324324,5364,60.37565951459726,0.03551624359823277,0.5456748695003728,202.30688128987828
long,all,3,roc_atr_6,<=,0.2,-1.3738598464876055,14883,57.09134500119875,0.04906159073360916,0.5316132500167977,5164,58.124516355962015,0.03413228771047955,0.5505422153369481,201.99892727208822
short,all,3,ret_6,>=,0.8,0.0016809556126740066,14880,57.06083645127359,0.004136443273316053,0.5188844086021506,6405,71.97471614187054,0.05178244856599885,0.5486338797814208,201.16525508067258
long,all,3,high_break_12,<=,0.2,-3.0687498274504956,14883,57.098950285074864,0.04953032030618653,0.5310085332258281,5117,57.61351108331053,0.022628158143890815,0.5532538596834082,201.1395902075934
long,all,3,rsi7,<=,0.2,29.577224554401095,14800,56.78354470851539,0.0629158258252383,0.5328378378378379,5364,60.37565951459726,0.03725083536029799,0.5417598806860552,201.00970051287635
short,all,12,ret_1,>=,0.8,0.0006927994746452895,14883,57.07462050599201,0.0163144331227914,0.5062823355506282,6230,70.0765505389783,0.08174608959712974,0.5162118780096309,200.9484025275862
long,all,6,ret_6,<=,0.2,-0.0016435243052270062,14885,57.10510190488877,0.04010466235461015,0.5321464561639234,6709,75.51754865942313,0.030161173423161745,0.5447905798181547,200.73555974783557
long,all,6,ret_3,<=,0.2,-0.0011812989664145678,14885,57.09293343632635,0.0355409117415776,0.5311387302653678,6574,73.91130543410368,0.0363987201414731,0.5387891694554305,200.49575276105602
long,all,3,close_vs_ema20,<=,0.2,-1.1293213564467712,14883,57.09818966550773,0.055691100991372804,0.5343008801988847,5084,57.3271210994088,0.0076668460075140854,0.5564516129032258,200.33882402371003
short,all,3,ret_3,>=,0.8,0.0012043458111605345,14881,57.06695073235685,0.012943123084920702,0.522075129359586,6355,71.45746300706674,0.048254915144785866,0.5362706530291109,200.0764560230261
short,all,6,high_break_12,>=,0.8,-0.5768100246600709,14883,57.070820850808865,0.03021010073345276,0.5263723711617282,4694,52.78894138779336,0.1719856837384413,0.5453770771197273,199.9627129209353
short,all,3,macd_hist,>=,0.8,0.19509046656077775,14883,57.10199296600234,0.006922118990309999,0.5183766713700195,5057,56.82687580475243,0.06150619112287221,0.5333201502867313,199.9175051045483
long,all,3,ema20_slope_3,<=,0.2,-0.34026827589632325,14883,57.09818966550773,0.051212651114441655,0.5314788685076933,5183,58.51446491571933,0.004839524912100658,0.5554698051321628,199.6658926743375
short,all,3,tick_flow_signed_3,>=,0.8,0.41758918614942275,14886,57.0846049372853,0.0018192602876399722,0.5197501007658203,5018,56.39962535123321,0.06486841295846432,0.5394579513750498,199.2941620462672
long,all,3,ret_6,<=,0.2,-0.0016435243052270062,14885,57.10510190488877,0.02226486054522905,0.5247564662411824,6709,75.51754865942313,0.027046021129721796,0.5424057236547921,199.17636723287043
short,all,6,ret_1,>=,0.8,0.0006927994746452895,14883,57.07462050599201,0.023800897904680297,0.5101793993146543,6233,70.09386958219446,0.05865374735416179,0.5150008021819349,198.9734018623564
long,all,12,range_compression_24,>=,0.8,0.010804117427765596,14881,57.440197287299625,0.00033567170293580457,0.514750352798871,10157,114.6738798071269,0.05768167478796281,0.5112730136851432,198.9662341183816
short,all,12,macd_line_atr,<=,0.2,-0.5863421525924175,14883,57.12939169376765,0.002686176265888353,0.47490425317476315,5313,59.98447606727037,0.13825543360352313,0.45511010728402035,198.87147691227258
long,all,6,high_break_24,<=,0.2,-4.21445282321777,14881,57.088235294117645,0.03754225666014124,0.5263759155970701,5297,59.72422973025878,0.0021769275965046984,0.5567302246554654,198.74155976254428
long,all,12,atr_pct,>=,0.8,0.0019542267425278503,14883,57.4394489634563,0.036798732066487545,0.5216018275885238,11006,124.26894577958991,0.037057928793673485,0.5084499363983281,198.3516387835883
long,all,12,spread_atr,<=,0.2,1268967.2750507817,14883,57.438679245283026,0.03183514158020172,0.5209299200430021,10913,123.21888109146508,0.036744160253231246,0.5084761293869696,198.09489557989167
short,all,6,bb_z,>=,0.8,1.2268639469523823,14882,57.074585525001666,0.009704158026524945,0.5235183443085607,4748,53.36080543198314,0.1374863735264396,0.5501263689974726,197.95952578573846
