feature,horizon,train_pearson,train_spearman,test_pearson,test_spearman,abs_consistency
roc_atr_6,6,-0.014666257945812456,-0.04447276017400941,-0.021255711989335062,-0.058907058283247035,0.04447276017400941
high_break_12,3,-0.018995767106552833,-0.04425218956888008,-0.020788722476378283,-0.059396493002877186,0.04425218956888008
high_break_12,6,-0.016182650164484363,-0.04369630283454293,-0.019993168173609743,-0.05641497457888999,0.04369630283454293
rsi7,6,-0.018007528014224717,-0.04273522191461398,-0.027310288753623263,-0.06054162441850963,0.04273522191461398
rsi7,3,-0.021302200501081853,-0.041374957756759104,-0.02874492054721024,-0.060691959393841394,0.041374957756759104
bb_z,6,-0.009658479507864009,-0.040377160808778075,-0.009596868775300617,-0.050751674569814866,0.040377160808778075
stoch_k,6,-0.012264098759829214,-0.040267796048898616,-0.018560776009409422,-0.05380406929489382,0.040267796048898616
close_vs_ema20,3,-0.009335966936411469,-0.0401402196537305,-0.02195010158616585,-0.0658190828544181,0.0401402196537305
stoch_k,3,-0.01375143761091117,-0.039967796007804264,-0.018106723155481726,-0.05605277462251857,0.039967796007804264
bb_z,3,-0.01388416753069912,-0.03992891648128131,-0.010602477927285537,-0.05222006037432635,0.03992891648128131
roc_atr_3,3,-0.014936355205524549,-0.039914196021433895,-0.02074072087577043,-0.052920901778265486,0.039914196021433895
close_vs_ema20,6,-0.002997872575848198,-0.03919833482832571,-0.018894723945036978,-0.06446271099286227,0.03919833482832571
ret_6,6,-0.006239463938225171,-0.038669835425857675,-0.018713068544409902,-0.0541020631586636,0.038669835425857675
roc_atr_6,3,-0.015160979200873446,-0.03862778849723039,-0.02745354699453537,-0.06258186432939736,0.03862778849723039
high_break_24,3,-0.011743560389190083,-0.038444557166973134,-0.02238250114734646,-0.06425722894899862,0.038444557166973134
roc_atr_3,6,-0.011720719579626707,-0.03829536194114422,-0.02462500682083475,-0.055492758604453296,0.03829536194114422
high_break_24,6,-0.008345683345626518,-0.03813542699210142,-0.025333271472281007,-0.06682483412207954,0.03813542699210142
stoch_d,6,-0.010003865400039676,-0.036703828154953703,-0.01588107329201396,-0.0515726505646976,0.036703828154953703
ret_3,3,-0.010756375081053503,-0.036316760684804335,-0.013992000580276448,-0.04676411086779565,0.036316760684804335
stoch_d,3,-0.012040385069033606,-0.036139183310907846,-0.017961780794211363,-0.05428762943582594,0.036139183310907846
low_break_12,3,-0.00731499719018486,-0.03485765510412641,-0.022335820434681516,-0.05401101678156923,0.03485765510412641
close_vs_ema50,6,0.000995208835463357,-0.0345937475253039,-0.01708019478748711,-0.0648728657317491,0.0345937475253039
ema20_slope_3,6,-4.824668662758944e-05,-0.034489893742133654,-0.01525193869101184,-0.05968027454046434,0.034489893742133654
ema20_slope_3,3,-0.005206871441781658,-0.034434433489498095,-0.020616812761205635,-0.06134661790105666,0.034434433489498095
ret_3,6,-0.005419500795116695,-0.03401916324161332,-0.020960685694771244,-0.051920998045733906,0.03401916324161332
ret_6,3,-0.0065019653392212814,-0.03361564165382137,-0.02101221130699509,-0.058905793483898364,0.03361564165382137
close_vs_ema50,3,-0.0038857828871032953,-0.033392753847471125,-0.019254110798656538,-0.06388608477600052,0.033392753847471125
tick_flow_signed_3,3,-0.012970047632702623,-0.03275687678213215,-0.019475711830638377,-0.04565845248800479,0.03275687678213215
high_break_12,12,-0.005454304969931918,-0.032715678999260964,-0.013126684576762181,-0.048042705054836043,0.032715678999260964
low_break_24,3,-0.0013917770744523298,-0.0318516343937368,-0.020542064365434494,-0.05584911580782029,0.0318516343937368
low_break_12,6,0.0022830953119974966,-0.03165000094880989,-0.017131028883560082,-0.04821022347887533,0.03165000094880989
breakout_followthrough_down,6,0.012028647847420366,0.029612684757273584,-0.0010174693357444527,0.0397505917315783,0.029612684757273584
tick_flow_signed_3,6,-0.00956245562461489,-0.02940345465281127,-0.025672139648699938,-0.04874938957294946,0.02940345465281127
macd_hist,3,-0.010133465451515862,-0.029304776352261985,-0.014196711656806683,-0.03773693968531505,0.029304776352261985
breakout_persist_down_3,6,0.00995712244114865,0.02920759549672531,0.007869983812067114,0.03970549839599501,0.02920759549672531
breakout_followthrough_down,3,0.012639802394188616,0.02893204869688118,0.005201419360908938,0.041834678731336214,0.02893204869688118
roc_atr_12,3,-0.002408525435298648,-0.02874649021048698,-0.011164453136361245,-0.04700396268963719,0.02874649021048698
low_break_24,6,0.006399729975561175,-0.02840315451134891,-0.02082986389318294,-0.056529730549580146,0.02840315451134891
breakout_persist_down_3,3,0.010418867492493263,0.028283814786485128,0.01570887677163095,0.04208964122058169,0.028283814786485128
close_vs_ema50,12,0.009452677925329554,-0.028095574202601028,-0.010408549306360855,-0.05735239699131284,0.028095574202601028
breakout_persist_up_3,3,-0.007914038249570245,-0.02750855282538363,-0.025561723334104645,-0.04526835881584351,0.02750855282538363
rsi14,3,-3.3614689540704476e-05,-0.02730916664059951,-0.006913969473513964,-0.042504177021622264,0.02730916664059951
breakout_down_12,3,0.012070696424106159,0.027298619459847517,0.011978287166578845,0.03180244875815234,0.027298619459847517
breakout_followthrough_up,3,0.0021959870564265504,-0.02726976987357831,-0.019315471851465604,-0.04551401014400458,0.02726976987357831
high_break_24,12,0.002441727158141926,-0.02720152066948607,-0.024210334092532575,-0.06549764284236413,0.02720152066948607
stoch_k,12,0.0017086544016408716,-0.026660343469703165,-0.012862777456495321,-0.04655757745311703,0.026660343469703165
ret_12,3,-0.0022770885370853094,-0.026601318837599967,-0.009450600518168137,-0.04037958340573007,0.026601318837599967
body_atr,3,-0.009809783199252192,-0.02648653895203914,-0.004876977257032302,-0.02852756527433955,0.02648653895203914
breakout_persist_down_6,6,0.008479236131480999,0.026409385473808715,-0.0014279086498058628,0.03982037714191388,0.026409385473808715
breakout_down_24,3,0.011885346822121244,0.02611730345516335,0.010448918120766044,0.030702230310861844,0.02611730345516335
ret_1,3,-0.01210906868931521,-0.026105218924258388,-0.005766546514876705,-0.028684017849802075,0.026105218924258388
breakout_down_12,6,0.010497958259509364,0.025996769085052388,0.006831492557308361,0.031657523325173804,0.025996769085052388
ema_gap_10_20,3,0.0016754322856211742,-0.025959145079390542,-0.014593045385960523,-0.0540399692640555,0.025959145079390542
roc_atr_3,12,0.001561254626933445,-0.025856550385863066,-0.003548492443269149,-0.0359271741919449,0.025856550385863066
bb_z,12,0.00583933477177701,-0.025832792461213942,-0.0024736621144016715,-0.045556704031632395,0.025832792461213942
breakout_persist_down_6,3,0.009450558484241131,0.02577060293819895,0.009913411977212218,0.04252034755986206,0.02577060293819895
close_vs_ema20,12,0.010440019640997012,-0.025680976483613865,-0.00788665040847104,-0.054186662563393544,0.025680976483613865
breakout_up_12,3,-0.004564127663974772,-0.02539428865732599,-0.020033560730666228,-0.04027014132679156,0.02539428865732599
ema_gap_50_100,12,-0.00213769812684592,-0.028664636670017805,-0.00265855293047375,-0.025246806431836476,0.025246806431836476
breakout_persist_up_3,6,-0.001214326917350391,-0.025206344359755235,-0.017840514730839658,-0.036968282529185284,0.025206344359755235
breakout_up_24,3,-0.004854184989700764,-0.02491786378252636,-0.026494126653501537,-0.04318143958986991,0.02491786378252636
ema_gap_10_20,6,0.007223070494658397,-0.02478780259129111,-0.011160443825551793,-0.054469788269100226,0.02478780259129111
breakout_followthrough_up,6,0.014268610803022257,-0.024732303735395304,-0.014355720848727589,-0.03665802536267398,0.024732303735395304
ret_24,3,-0.0013717632409295478,-0.024608496915140974,-0.01511013448041766,-0.0481271764353583,0.024608496915140974
roc_atr_12,6,0.005847074804236018,-0.024560762283941096,-0.004509976996288556,-0.03895021431947152,0.024560762283941096
ret_3,12,-0.0016163787256328877,-0.02454628214948933,-0.008844147960797927,-0.032324298891766155,0.02454628214948933
breakout_persist_up_6,3,-0.0023644740661486504,-0.024510050404211444,-0.017196764087082733,-0.03701210420266127,0.024510050404211444
ret_24,6,0.00048190708046015276,-0.02428242748777667,-0.01831084407868931,-0.05410069278760581,0.02428242748777667
ret_12,6,0.0016901691514487156,-0.024234292901123975,-0.007877972485155316,-0.031756350994045064,0.024234292901123975
rsi14,6,0.007938839723270844,-0.02394918281838287,-0.004722324093288905,-0.040932071173196825,0.02394918281838287
body_atr,6,-0.004482748634077323,-0.023721718756617726,-0.010282310966189808,-0.029687325003474856,0.023721718756617726
breakout_persist_up_6,6,0.00638058588237759,-0.023645009323765866,-0.01460624968153536,-0.038481388581964183,0.023645009323765866
ret_1,6,-0.004792316263262822,-0.023570070958926055,-0.010409133113485168,-0.02794522593382761,0.023570070958926055
macd_hist,6,-0.003314544814751746,-0.023294613937796436,-0.008639222436845137,-0.03321517558077617,0.023294613937796436
ema50_slope_6,6,0.007007447950939894,-0.022855450930982287,-0.009232735653772224,-0.05157177720586097,0.022855450930982287
roc_atr_6,12,0.00592821132296759,-0.02278742332291023,-0.00034002764008012173,-0.036946806802155945,0.02278742332291023
rsi7,12,0.003081378698226134,-0.022429361294075204,-0.00778748323871413,-0.038101335484961224,0.022429361294075204
macd_line_atr,6,0.007994504784004536,-0.022422009683416667,-0.0102669292133998,-0.05247818436404234,0.022422009683416667
ret_6,12,0.0011466769145770518,-0.02232822270696235,-0.007900178179872446,-0.03369182569458263,0.02232822270696235
breakout_up_12,6,-0.003463511035827341,-0.02222472098479602,-0.01739042537409602,-0.03202459233539374,0.02222472098479602
macd_line_atr,3,0.00351435578152874,-0.02221839303895897,-0.012951823616192607,-0.05129273609168929,0.02221839303895897
ema_gap_20_50,12,0.005487238908461162,-0.022126916438723845,-0.010101146301785434,-0.04123187188981256,0.022126916438723845
ema50_slope_6,3,0.002417997776046713,-0.022008457371166513,-0.012218960577223367,-0.050384964390489236,0.022008457371166513
breakout_down_24,6,0.007667017714294067,0.021596381842482113,0.012080983177339789,0.03428308913434379,0.021596381842482113
