side,context,horizon,rule_a,rule_b,train_trades,train_tpd,train_expectancy,train_hit_rate,test_trades,test_tpd,test_expectancy,test_hit_rate,score
long,all,3,all:breakout_persist_down_6 >= 1.0000,all:ema20_slope_3 <= -0.3403,12177,46.71670063541542,0.04646668707152331,0.5313295557197997,4230,47.75539004312035,0.01969402465794302,0.5614657210401891,166.95015973285086
long,all,3,all:breakout_persist_down_6 >= 1.0000,all:high_break_12 <= -3.0687,11878,45.57020301593222,0.04564629378681355,0.5316551608014818,4162,46.93433572183719,0.03515973074600324,0.5598270062469967,164.49140860260587
long,all,3,all:close_vs_ema20 <= -1.1293,all:ema20_slope_3 <= -0.3403,11922,45.739009964299036,0.059754557530892996,0.5365710451266567,4104,46.33470539809479,0.015305140148321263,0.5628654970760234,164.1334543763999
long,all,3,all:breakout_persist_down_6 >= 1.0000,all:close_vs_ema20 <= -1.1293,11825,45.36626303800504,0.05173345432757097,0.534799154334038,4052,45.690301867585454,0.027143506835645457,0.5624383020730503,163.64036203068406
long,all,3,all:roc_atr_6 <= -1.3739,all:ret_6 <= -0.0016,11421,43.815745304382574,0.025214732261116497,0.5307766395236845,4512,50.78777456421481,0.03875622967474461,0.5529698581560284,157.46474800241126
long,all,6,all:roc_atr_6 <= -1.3739,all:ret_6 <= -0.0016,11421,43.815745304382574,0.04225692572217882,0.5356798879257508,4512,50.78777456421481,0.021389418287178316,0.5589539007092199,157.20428879349893
long,all,3,all:high_break_12 <= -3.0687,all:close_vs_ema20 <= -1.1293,11233,43.09564661373688,0.05736530219278574,0.5377014154722692,3880,43.75768492775189,0.02567907657841757,0.5626288659793814,156.28561834150506
long,all,3,all:roc_atr_6 <= -1.3739,all:rsi7 <= 29.5772,10784,41.37580432436753,0.06425478013015522,0.5391320474777448,3863,43.482529508324866,0.05161536139010487,0.5581154543101217,153.02790242223043
long,all,6,all:roc_atr_6 <= -1.3739,all:rsi7 <= 29.5772,10784,41.37580432436753,0.0934751072502001,0.5413575667655787,3863,43.482529508324866,0.028999276433943587,0.5596686513072742,152.17944748264472
long,all,3,all:breakout_persist_down_6 >= 1.0000,all:roc_atr_6 <= -1.3739,10699,41.04913140786528,0.05500875759870983,0.5391158052154407,3848,43.38660298320479,0.039363117463881825,0.560031185031185,150.53485078829033
long,all,3,all:breakout_persist_down_6 >= 1.0000,all:rsi7 <= 29.5772,10361,39.75231802195459,0.06976554621504254,0.5404883698484703,3755,42.33636078922643,0.04671977057108357,0.5536617842876165,146.95603886825916
long,all,3,all:high_break_12 <= -3.0687,all:ema20_slope_3 <= -0.3403,10453,40.10636540459886,0.05495641323253943,0.5361140342485411,3645,41.15898843364047,0.016855469749236074,0.5618655692729767,145.2028064834607
short,all,3,all:breakout_persist_up_6 >= 1.0000,all:ret_6 >= 0.0017,10095,38.712666941851644,0.0037253176760430884,0.5265973254086181,3863,43.409575090717546,0.06812757341537456,0.5594097851410821,143.0088647185376
short,all,3,all:breakout_persist_up_6 >= 1.0000,all:rsi7 >= 70.3714,10511,40.30795861573082,0.012448820979091455,0.5305870040909524,3319,37.29650005852745,0.09600747933364656,0.5670382645375113,142.3476742516757
long,all,3,all:roc_atr_6 <= -1.3739,all:close_vs_ema20 <= -1.1293,9898,37.991603694374476,0.07025849323212972,0.5456657910689028,3521,39.70275243725774,0.03880665288715834,0.5674524282874184,141.90155847074723
long,all,3,all:high_break_12 <= -3.0687,all:rsi7 <= 29.5772,9824,37.6935026178708,0.075320821845681,0.5423452768729642,3479,39.17088236443958,0.0496140402439712,0.5599310146593849,141.3061581653174
long,all,3,all:roc_atr_6 <= -1.3739,all:high_break_12 <= -3.0687,9716,37.278126373845964,0.07378437164225383,0.5451832029641828,3431,38.6894283476899,0.05088727871902246,0.5677645001457301,140.88430211688592
long,all,3,all:breakout_persist_down_6 >= 1.0000,all:ret_6 <= -0.0016,10116,38.8164570454061,0.03194379991428424,0.5335112692763938,4245,47.862819559174724,0.028252662533159355,0.5559481743227326,140.42647660456998
long,all,3,all:rsi7 <= 29.5772,all:close_vs_ema20 <= -1.1293,9723,37.30597780471883,0.07438423318585768,0.5449964002879769,3465,39.07129713010454,0.04612997617215459,0.5619047619047619,139.9319584957078
short,all,6,all:rsi7 >= 70.3714,all:ret_6 >= 0.0017,9498,36.42230004127665,0.0183645850916038,0.51842493156454,3743,42.0660266916413,0.1223886182175586,0.5460860272508683,139.72671201734394
