"target","source","log_path","errors","warnings","status"
"ExpectedValue_MultiCurrency_TickShockResearch","mql/Experts/ExpectedValue_MultiCurrency_TickShockResearch.mq5","reports/compile/tick_shock/step15c_ExpectedValue_MultiCurrency_TickShockResearch.log","0","0","PASS"
"ExpectedValue_TickShock_ControlFunnelHarness","mql/Experts/tests/ExpectedValue_TickShock_ControlFunnelHarness.mq5","reports/compile/tick_shock/step15c_ExpectedValue_TickShock_ControlFunnelHarness.log","0","0","PASS"
"ExpectedValue_TickShock_DetectorHarness","mql/Experts/tests/ExpectedValue_TickShock_DetectorHarness.mq5","reports/compile/tick_shock/step15c_ExpectedValue_TickShock_DetectorHarness.log","0","0","PASS"
"ExpectedValue_TickShock_DomainUnitHarness","mql/Experts/tests/ExpectedValue_TickShock_DomainUnitHarness.mq5","reports/compile/tick_shock/step15c_ExpectedValue_TickShock_DomainUnitHarness.log","0","0","PASS"
"ExpectedValue_TickShock_EventResponseHarness","mql/Experts/tests/ExpectedValue_TickShock_EventResponseHarness.mq5","reports/compile/tick_shock/step15c_ExpectedValue_TickShock_EventResponseHarness.log","0","0","PASS"
"ExpectedValue_TickShock_ExecutionHarness","mql/Experts/tests/ExpectedValue_TickShock_ExecutionHarness.mq5","reports/compile/tick_shock/step15c_ExpectedValue_TickShock_ExecutionHarness.log","0","0","PASS"
"ExpectedValue_TickShock_IntegrityRegressionHarness","mql/Experts/tests/ExpectedValue_TickShock_IntegrityRegressionHarness.mq5","reports/compile/tick_shock/step15c_ExpectedValue_TickShock_IntegrityRegressionHarness.log","0","0","PASS"
"ExpectedValue_TickShock_MultiCurrencyMergeHarness","mql/Experts/tests/ExpectedValue_TickShock_MultiCurrencyMergeHarness.mq5","reports/compile/tick_shock/step15c_ExpectedValue_TickShock_MultiCurrencyMergeHarness.log","0","0","PASS"
"ExpectedValue_TickShock_OrderLifecycleHarness","mql/Experts/tests/ExpectedValue_TickShock_OrderLifecycleHarness.mq5","reports/compile/tick_shock/step15c_ExpectedValue_TickShock_OrderLifecycleHarness.log","0","0","PASS"
"ExpectedValue_TickShock_OrderReachabilityHarness","mql/Experts/tests/ExpectedValue_TickShock_OrderReachabilityHarness.mq5","reports/compile/tick_shock/step15c_ExpectedValue_TickShock_OrderReachabilityHarness.log","0","0","PASS"
"ExpectedValue_TickShock_ReachabilityHarness","mql/Experts/tests/ExpectedValue_TickShock_ReachabilityHarness.mq5","reports/compile/tick_shock/step15c_ExpectedValue_TickShock_ReachabilityHarness.log","0","0","PASS"
"ExpectedValue_TickShock_ResearchReachabilityHarness","mql/Experts/tests/ExpectedValue_TickShock_ResearchReachabilityHarness.mq5","reports/compile/tick_shock/step15c_ExpectedValue_TickShock_ResearchReachabilityHarness.log","0","0","PASS"
"ExpectedValue_TickShock_StateMachineHarness","mql/Experts/tests/ExpectedValue_TickShock_StateMachineHarness.mq5","reports/compile/tick_shock/step15c_ExpectedValue_TickShock_StateMachineHarness.log","0","0","PASS"
"ExpectedValue_TickShock_SyntheticIntegrationHarness","mql/Experts/tests/ExpectedValue_TickShock_SyntheticIntegrationHarness.mq5","reports/compile/tick_shock/step15c_ExpectedValue_TickShock_SyntheticIntegrationHarness.log","0","0","PASS"
