section,metric,baseline,ideal,realizable,ideal_minus_baseline,realizable_minus_baseline,realizable_minus_ideal,unit,note
overall,raw shock candidates,62577,62577,62577,0.000000,0.000000,0.000000,count,
overall,event rows,19,19,19,0.000000,0.000000,0.000000,count,
overall,ticks,10587794,10587794,10587794,0.000000,0.000000,0.000000,count,
overall,valid scenario cells,7452,7128,7128,-324.000000,-324.000000,0.000000,correlated cells,
overall,invalid scenario cells,0,324,324,324.000000,324.000000,0.000000,correlated cells,
overall,diagnostic ExpectancyR,-0.338143,-0.302408,-0.292362,0.035735,0.045781,0.010046,R,
overall,average memory,11.000,10.000,10.000,-1.000000,-1.000000,0.000000,MB,
overall,max memory,11,10,10,-1.000000,-1.000000,0.000000,MB,
overall,events CSV,2852152,5159137,5149590,2306985.000000,2297438.000000,-9547.000000,bytes,
overall,runtime,380.828,353.297,351.390,-27.531000,-29.438000,-1.907000,seconds,
event_funnel,valid_bursts,19,19,19,0.000000,0.000000,0.000000,count,
event_funnel,valid_pullbacks,14,14,14,0.000000,0.000000,0.000000,count,
event_funnel,reacceleration_signals,5,5,5,0.000000,0.000000,0.000000,count,
event_funnel,detection_time_continuation_signals,19,19,19,0.000000,0.000000,0.000000,count,
event_funnel,post_burst_continuation_signals,19,19,19,0.000000,0.000000,0.000000,count,
event_funnel,pullback_continuation_signals,5,5,5,0.000000,0.000000,0.000000,count,
event_funnel,failed_shock_reversal_signals,11,11,11,0.000000,0.000000,0.000000,count,
cluster,symbol clusters,17,17,17,0.000000,0.000000,0.000000,count,baseline called these independent clusters
cluster,market clusters,,15,15,,,0.000000,independent n,formal statistical unit after Step 6
execution_outcome,INVALID_BROKER_STOP,0,324,324,324.000000,324.000000,0.000000,cells,
execution_outcome,INVALID_BROKER_TARGET,0,0,0,0.000000,0.000000,0.000000,cells,
execution_outcome,INVALID_SPREAD,0,0,0,0.000000,0.000000,0.000000,cells,
execution_outcome,INVALID_STALE_QUOTE,0,0,0,0.000000,0.000000,0.000000,cells,
execution_outcome,OTHER_INVALID,0,0,0,0.000000,0.000000,0.000000,cells,
execution_outcome,SL_GAP,3111,2840,2820,-271.000000,-291.000000,-20.000000,cells,
execution_outcome,TIME_MARKET,2961,2987,3081,26.000000,120.000000,94.000000,cells,
execution_outcome,TP_LIMIT,1380,1301,1227,-79.000000,-153.000000,-74.000000,cells,
strategy,detection_time_continuation valid,,2508,2508,,,0.000000,cells,
strategy,detection_time_continuation ExpectancyR,,-0.392150,-0.319703,,,0.072447,R,
strategy,post_burst_continuation valid,,2508,2508,,,0.000000,cells,
strategy,post_burst_continuation ExpectancyR,,-0.335052,-0.339913,,,-0.004862,R,
strategy,pullback_continuation valid,,660,660,,,0.000000,cells,
strategy,pullback_continuation ExpectancyR,,-0.131387,-0.218739,,,-0.087352,R,
strategy,failed_shock_reversal valid,,1452,1452,,,0.000000,cells,
strategy,failed_shock_reversal ExpectancyR,,-0.168752,-0.196465,,,-0.027713,R,
delay,d0 ExpectancyR,,-0.311509,-0.292284,,,0.019225,R,
delay,d100 ExpectancyR,,-0.303744,-0.292284,,,0.011461,R,
delay,d250 ExpectancyR,,-0.291972,-0.292518,,,-0.000546,R,
policy_mask,0,,2048,2037,,,-11.000000,valid cells,
policy_mask,1,,4362,4353,,,-9.000000,valid cells,
policy_mask,2,,706,717,,,11.000000,valid cells,
policy_mask,3,,12,21,,,9.000000,valid cells,
identity,matched event identities,,19,19,,,0.000000,events,
identity,detector metric differences,,0,0,,,0.000000,field differences,
entry,matched signaled scenarios,,7452,7452,,,0.000000,cells,
entry,entry quote changed,,0,6204,,,6204.000000,cells,
entry,mean realizable minus ideal entry,,0,399.500000,,,399.500000,ms,
entry,scenario status changed,,0,767,,,767.000000,cells,
entry,unique decision actual delay mean,,276.160494,675.660494,,,399.500000,ms,
entry,unique decision processing-to-entry mean,,-307.080247,92.419753,,,399.500000,ms,
tick_quality,generated fallback minutes,179,179,179,0.000000,0.000000,0.000000,minutes,GBPUSD only
commission,configured round-turn commission,0,0.0,0.0,0.000000,0.000000,0.000000,account currency/lot,source remains ORDER_HARNESS_REQUIRED
