entry_time,exit_time,strategy,symbol,direction,server_time,server_hour,utc_hour,jst_hour,session_label,session_start_utc,minutes_from_session_start,trade_window_label,is_within_first_60min,is_within_first_120min,broker_utc_offset_used,selected_symbol_for_session,selected_reason,session_candidate_symbol_map,entry_pattern,entry_trigger,neckline_level,ltf_wave3_timeframe,htf_alignment_mode,htf_wave3_direction,htf_wave3_confirmed,htf_fractal_alignment,wave3_alignment_passed,htf_nearest_resistance,htf_nearest_support,nearest_obstacle_price,nearest_obstacle_type,nearest_obstacle_distance_r,retest_reference_type,retest_reference_price,clean_path_to_target,hard_obstacle_present_before_target,soft_obstacle_present_before_target,obstacle_blocked,target_reward_multiple,target_price,entry,exit,stop_loss,take_profit,risk_price,result_r,initial_stop_loss_price,current_stop_loss_price,break_even_enabled,break_even_triggered,break_even_trigger_type,break_even_trigger_r,break_even_trigger_time,bars_to_break_even,max_favorable_r_before_exit,max_adverse_r_before_exit,exit_type,full_sl_exit,break_even_exit,tp_exit,time_exit,result_r_before_be,result_r_after_be,profit,commission,swap,net_profit,volume,reward_r,holding_bars,atr,spread_points,score,failure_type,session_invalidated,invalidation_reason,exit_reason,position_id,break_even_mode
2025.06.23 10:45:00,2025.06.23 11:51:23,session_reversal_pullback_all_symbols_first120,USDJPY,LONG,2025.06.23 10:30:00,10,7,16,london,2025.06.23 07:00,30,first_120min,true,true,3,USDJPY,all_symbols_symbol_session_one_shot,london=USDJPY|EURJPY|GBPJPY|AUDJPY|EURUSD|GBPUSD,inverse_head_and_shoulders,right_shoulder_entry,147.18000000,PERIOD_M5,h1_confirmed_h4_not_opposite,LONG,true,H4_LONG_confirmed_break_above_swing_high|H1_LONG_confirmed_break_above_swing_high,true,147.26400000,147.19800000,147.38800000,current_day_high,0.7895,session_high|opening_range_high|neckline_level,147.26400000,false,true,true,false,1.50,147.52300000,147.23800000,147.52900000,147.04800000,147.52300000,0.19000000,1.5316,147.04800000,147.04800000,false,false,none,0.0000,,-1,1.5316,0.0000,tp,false,false,true,false,1.5316,0.0000,35.50,0.00,0.00,35.50,0.180,1.500,4,0.15107143,15.00,4.700,other,false,not_invalidated,DEAL_REASON_TP,630,no_break_even
2025.06.23 18:00:00,2025.06.24 00:01:00,session_reversal_pullback_all_symbols_first120,EURUSD,LONG,2025.06.23 17:45:00,17,14,23,london_newyork_overlap,2025.06.23 13:00,105,first_120min,false,true,3,EURUSD,all_symbols_symbol_session_one_shot,london_newyork_overlap=USDJPY|EURJPY|GBPJPY|AUDJPY|EURUSD|GBPUSD,choch_up,first_pullback_after_choch,1.15226000,PERIOD_M15,h1_confirmed_h4_not_opposite,LONG,false,H4_NONE_no_confirmed_wave3_break|H1_LONG_confirmed_break_above_swing_high,true,1.15399000,1.15226000,1.15399000,current_day_high,0.1941,opening_range_high|neckline_level,1.15226000,false,true,true,false,1.50,1.15931000,1.15320000,1.15742000,1.14913000,1.15931000,0.00407000,1.0369,1.14913000,1.14913000,false,false,none,0.0000,,-1,1.0369,0.0000,time,false,false,false,true,1.0369,0.0000,21.10,0.00,-0.30,20.80,0.050,1.501,24,0.00135714,18.00,3.100,other,false,not_invalidated,DEAL_REASON_EXPERT,632,no_break_even
2025.06.24 11:15:00,2025.06.24 12:39:14,session_reversal_pullback_all_symbols_first120,EURJPY,SHORT,2025.06.24 11:00:00,11,8,17,london,2025.06.24 07:00,60,first_120min,false,true,3,EURJPY,all_symbols_symbol_session_one_shot,london=USDJPY|EURJPY|GBPJPY|AUDJPY|EURUSD|GBPUSD,double_top,neckline_break_retest,168.24900000,PERIOD_M5,h1_confirmed_h4_not_opposite,SHORT,false,H4_NONE_no_confirmed_wave3_break|H1_SHORT_confirmed_break_below_swing_low,true,168.18400000,168.17100000,168.17100000,current_day_low,0.0235,session_low|opening_range_low|neckline_level,168.18400000,false,true,true,false,1.50,167.66800000,168.17900000,168.51900000,168.51900000,167.66800000,0.34000000,-1.0000,168.51900000,168.51900000,false,false,none,0.0000,,-1,0.0000,1.0000,full_sl,true,false,false,false,-1.0000,0.0000,-23.04,0.00,0.00,-23.04,0.100,1.503,5,0.15207143,30.00,4.200,neckline_retest_failed,false,not_invalidated,DEAL_REASON_SL,634,no_break_even
2025.06.24 21:00:00,2025.06.24 22:50:49,session_reversal_pullback_all_symbols_first120,EURUSD,LONG,2025.06.24 20:45:00,20,17,2,new_york,2025.06.24 16:00,105,first_120min,false,true,3,EURUSD,all_symbols_symbol_session_one_shot,new_york=USDJPY|EURJPY|GBPJPY|AUDJPY|EURUSD|GBPUSD,double_bottom,neckline_break_retest,1.16242000,PERIOD_M15,h1_confirmed_h4_not_opposite,LONG,true,H4_LONG_confirmed_break_above_swing_high|H1_LONG_confirmed_break_above_swing_high,true,1.16303000,1.16242000,1.16303000,recent_rejection_zone,0.2520,opening_range_high|neckline_level,1.16242000,false,true,true,false,1.50,1.16461000,1.16271000,1.16144000,1.16144000,1.16461000,0.00127000,-1.0000,1.16144000,1.16144000,false,false,none,0.0000,,-1,0.0000,1.0000,full_sl,true,false,false,false,-1.0000,0.0000,-22.86,0.00,0.00,-22.86,0.180,1.496,7,0.00098000,18.00,4.200,neckline_retest_failed,false,not_invalidated,DEAL_REASON_SL,638,no_break_even
2025.06.24 21:00:00,2025.06.25 00:01:00,session_reversal_pullback_all_symbols_first120,USDJPY,SHORT,2025.06.24 20:45:00,20,17,2,new_york,2025.06.24 16:00,105,first_120min,false,true,3,USDJPY,all_symbols_symbol_session_one_shot,new_york=USDJPY|EURJPY|GBPJPY|AUDJPY|EURUSD|GBPUSD,head_and_shoulders,right_shoulder_entry,144.71500000,PERIOD_M15,h1_confirmed_h4_not_opposite,SHORT,false,H4_NONE_break_below_without_lower_pullback|H1_SHORT_confirmed_break_below_swing_low,true,144.74900000,144.71500000,144.67833333,recent_equal_highs,0.1770,opening_range_low|neckline_level,144.71500000,false,true,true,false,1.50,144.33700000,144.72400000,144.99900000,144.98200000,144.33700000,0.25800000,-1.0659,144.98200000,144.98200000,false,false,none,0.0000,,-1,0.0000,1.0659,full_sl,true,false,false,false,-1.0659,0.0000,-24.66,0.00,-1.58,-26.24,0.130,1.500,12,0.12378571,15.00,4.500,no_followthrough_after_retest,false,not_invalidated,DEAL_REASON_SL,637,no_break_even
2025.06.24 19:15:00,2025.06.25 01:15:00,session_reversal_pullback_all_symbols_first120,GBPUSD,LONG,2025.06.24 19:00:00,19,16,1,new_york,2025.06.24 16:00,0,first_120min,true,true,3,GBPUSD,all_symbols_symbol_session_one_shot,new_york=USDJPY|EURJPY|GBPJPY|AUDJPY|EURUSD|GBPUSD,inverse_head_and_shoulders,right_shoulder_entry,1.36063000,PERIOD_M15,h1_confirmed_h4_not_opposite,LONG,false,H4_NONE_break_above_without_higher_pullback|H1_LONG_confirmed_break_above_swing_high,true,1.36182000,1.36160600,1.36182000,failed_breakout_level,0.0340,session_high|opening_range_high|neckline_level,1.36153000,false,true,true,false,1.50,1.36613000,1.36172000,1.36126000,1.35878000,1.36613000,0.00294000,-0.1565,1.35878000,1.35878000,false,false,none,0.0000,,-1,0.0000,0.1565,time,false,false,false,true,-0.1565,0.0000,-3.68,0.00,-0.09,-3.77,0.080,1.500,24,0.00126071,21.00,4.700,no_followthrough_after_retest,false,not_invalidated,DEAL_REASON_EXPERT,636,no_break_even
2025.06.25 11:15:00,2025.06.25 12:13:01,session_reversal_pullback_all_symbols_first120,USDJPY,LONG,2025.06.25 11:00:00,11,8,17,london,2025.06.25 07:00,60,first_120min,false,true,3,USDJPY,all_symbols_symbol_session_one_shot,london=USDJPY|EURJPY|GBPJPY|AUDJPY|EURUSD|GBPUSD,double_bottom,neckline_break_retest,145.34200000,PERIOD_M5,h1_confirmed_h4_not_opposite,LONG,false,H4_NONE_break_below_without_lower_pullback|H1_LONG_confirmed_break_above_swing_high,true,145.50000000,145.36500000,145.50000000,round_number,0.8160,session_high|opening_range_high|neckline_level,145.36500000,false,false,true,false,1.50,145.61200000,145.36700000,145.61300000,145.20400000,145.61200000,0.16300000,1.5092,145.20400000,145.20400000,false,false,none,0.0000,,-1,1.5092,0.0000,tp,false,false,true,false,1.5092,0.0000,33.79,0.00,0.00,33.79,0.200,1.503,3,0.12300000,15.00,4.200,other,false,not_invalidated,DEAL_REASON_TP,642,no_break_even
2025.06.25 16:30:00,2025.06.25 17:03:40,session_reversal_pullback_all_symbols_first120,USDJPY,LONG,2025.06.25 16:15:00,16,13,22,london_newyork_overlap,2025.06.25 13:00,15,first_120min,true,true,3,USDJPY,all_symbols_symbol_session_one_shot,london_newyork_overlap=USDJPY|EURJPY|GBPJPY|AUDJPY|EURUSD|GBPUSD,double_bottom,neckline_break_retest,145.79300000,PERIOD_M15,h1_confirmed_h4_not_opposite,LONG,false,H4_NONE_no_confirmed_wave3_break|H1_LONG_confirmed_break_above_swing_high,true,145.91200000,145.81600000,145.91200000,pre_session_high,0.3132,neckline_level,145.79300000,false,true,true,false,1.50,146.12800000,145.85500000,145.66400000,145.67300000,146.12800000,0.18200000,-1.0495,145.67300000,145.67300000,false,false,none,0.0000,,-1,0.0000,1.0495,full_sl,true,false,false,false,-1.0495,0.0000,-23.60,0.00,0.00,-23.60,0.180,1.500,2,0.08471429,15.00,4.400,neckline_retest_failed,false,not_invalidated,DEAL_REASON_SL,644,no_break_even
2025.06.26 10:15:00,2025.06.26 11:39:49,session_reversal_pullback_all_symbols_first120,EURJPY,SHORT,2025.06.26 10:00:00,10,7,16,london,2025.06.26 07:00,0,first_120min,true,true,3,EURJPY,all_symbols_symbol_session_one_shot,london=USDJPY|EURJPY|GBPJPY|AUDJPY|EURUSD|GBPUSD,double_top,neckline_break_retest,168.64400000,PERIOD_M5,h1_confirmed_h4_not_opposite,SHORT,false,H4_NONE_no_confirmed_wave3_break|H1_SHORT_confirmed_break_below_swing_low,true,168.82200000,168.64400000,168.63400000,recent_equal_lows,0.0568,neckline_level,168.64400000,false,true,true,false,1.50,168.25300000,168.64900000,168.91500000,168.91300000,168.25300000,0.26400000,-1.0076,168.91300000,168.91300000,false,false,none,0.0000,,-1,0.0000,1.0076,full_sl,true,false,false,false,-1.0076,0.0000,-21.91,0.00,0.00,-21.91,0.120,1.500,5,0.15707143,30.00,4.400,neckline_retest_failed,false,not_invalidated,DEAL_REASON_SL,646,no_break_even
2025.06.27 17:00:00,2025.06.27 23:00:00,session_reversal_pullback_all_symbols_first120,USDJPY,LONG,2025.06.27 16:45:00,16,13,22,london_newyork_overlap,2025.06.27 13:00,45,first_120min,true,true,3,USDJPY,all_symbols_symbol_session_one_shot,london_newyork_overlap=USDJPY|EURJPY|GBPJPY|AUDJPY|EURUSD|GBPUSD,inverse_head_and_shoulders,right_shoulder_entry,144.61400000,PERIOD_M15,h1_confirmed_h4_not_opposite,LONG,false,H4_NONE_no_confirmed_wave3_break|H1_LONG_confirmed_break_above_swing_high,true,144.74000000,144.62300000,144.74000000,failed_breakout_level,0.0098,neckline_level,144.61400000,false,true,true,false,1.50,145.34600000,144.73600000,144.74600000,144.32900000,145.34600000,0.40700000,0.0246,144.32900000,144.32900000,false,false,none,0.0000,,-1,0.0246,0.0000,time,false,false,false,true,0.0246,0.0000,0.55,0.00,0.00,0.55,0.080,1.499,24,0.13692857,15.00,4.700,target_not_reached_before_session_end,false,not_invalidated,DEAL_REASON_EXPERT,648,no_break_even
