t0_msc,expected_direction,actual_direction,long_error,short_error
1748888659000,0,0,4.128641872824801e-16,-4.926614671774132e-16
1748890629500,0,0,-3.469446951953614e-16,-3.400058012914542e-16
1748891783750,0,0,-3.0531133177191805e-16,-1.8301332671555315e-16
1748893088250,0,0,-3.885780586188048e-16,-2.949029909160572e-16
1748950365000,0,0,-1.3877787807814457e-16,1.0755285551056204e-16
1748969160250,0,0,-9.020562075079397e-17,0.0
1748970206250,-1,-1,1.942890293094024e-16,-3.400058012914542e-16
1748971597250,0,0,3.8250652645288596e-16,4.3021142204224816e-16
1748972710000,0,0,3.400058012914542e-16,3.0184188481996443e-16
1748974295500,0,0,-3.148523108897905e-16,-1.8735013540549517e-16
1748976214750,0,0,9.71445146547012e-17,2.7755575615628914e-17
1748977245000,0,0,1.4224732503009818e-16,9.020562075079397e-17
1748978982500,0,0,-2.7755575615628914e-17,3.469446951953614e-17
1749024038250,0,0,2.1510571102112408e-16,1.3877787807814457e-17
1749026050250,0,0,-3.608224830031759e-16,-3.400058012914542e-16
1749027380000,0,0,2.194425197110661e-16,1.3877787807814457e-16
1749028402250,0,0,-4.135147085859714e-16,-1.5265566588595902e-16
1749030897500,0,0,-2.498001805406602e-16,-1.6653345369377348e-16
1749032100750,0,0,-4.440892098500626e-16,2.1033522146218786e-16
1749033737500,0,0,-5.551115123125783e-17,1.2836953722228372e-16
1749035069250,0,0,2.0816681711721685e-16,4.2934406030425976e-17
1749036115250,0,0,1.734723475976807e-17,-3.3306690738754696e-16
1749041759000,0,0,-1.942890293094024e-16,1.457167719820518e-16
1749044423000,0,0,1.5265566588595902e-16,-3.0184188481996443e-16
1749045603250,0,0,2.498001805406602e-16,-1.2836953722228372e-16
1749047392250,0,0,-2.636779683484747e-16,3.7470027081099033e-16
1749049209500,0,0,1.3877787807814457e-17,1.942890293094024e-16
1749050378250,0,0,-2.7755575615628914e-17,-3.8163916471489756e-17
1749051723000,-1,-1,-6.938893903907228e-17,-3.5388358909926865e-16
1749052822750,-1,-1,2.7755575615628914e-17,-3.8163916471489756e-16
1749054781000,0,0,-9.71445146547012e-17,4.753142324176451e-16
1749055743500,0,0,3.191891195797325e-16,-2.393918396847994e-16
1749057601500,-1,-1,4.2327252813834093e-16,2.671474153004283e-16
1749059049500,0,0,3.2959746043559335e-16,1.0408340855860843e-17
1749061046750,1,1,-1.1449174941446927e-16,-3.191891195797325e-16
1749062670500,1,1,2.949029909160572e-16,-4.163336342344337e-16
1749063728250,0,0,-1.734723475976807e-16,-1.6653345369377348e-16
1749114623250,0,0,-1.0408340855860843e-16,1.6653345369377348e-16
1749115871250,0,0,1.5265566588595902e-16,-3.0531133177191805e-16
1749116950750,0,0,-1.3877787807814457e-16,2.949029909160572e-17
1749119804000,0,0,4.163336342344337e-17,9.367506770274758e-17
1749120967000,0,0,-4.996003610813204e-16,-4.3194614551822497e-16
1749122904000,0,0,-2.7755575615628914e-17,-4.163336342344337e-17
1749130146750,0,0,1.249000902703301e-16,4.0245584642661925e-16
1749136130250,0,0,-4.163336342344337e-16,4.926614671774132e-16
1749137186000,1,1,-1.214306433183765e-16,-2.7755575615628914e-17
1749138164250,-1,-1,-1.1102230246251565e-16,4.579669976578771e-16
1749139204250,-1,-1,3.7470027081099033e-16,-3.122502256758253e-16
1749140287750,0,0,3.3480163086352377e-16,4.2674197509029455e-16
1749141278500,0,0,-3.0878077872387166e-16,2.8275992658421956e-16
1749142244750,0,0,-3.139849491518021e-16,3.5388358909926865e-16
1749143400250,0,0,-3.469446951953614e-17,1.734723475976807e-16
1749144400000,0,0,3.0531133177191805e-16,-3.677613769070831e-16
1749145564000,0,0,-1.942890293094024e-16,4.540638698369293e-16
1749147441500,-1,-1,-1.249000902703301e-16,4.85722573273506e-17
1749148477500,-1,-1,3.3306690738754696e-16,-1.249000902703301e-16
1749149761500,0,0,-3.2612801348363973e-16,1.1275702593849246e-17
1749197748750,0,0,3.8163916471489756e-16,3.608224830031759e-16
1749204061000,0,0,2.3592239273284576e-16,1.0408340855860843e-16
1749213787500,0,0,-1.6653345369377348e-16,-3.608224830031759e-16
1749223802250,0,0,4.996003610813204e-16,-2.220446049250313e-16
1749224860000,-1,-1,4.718447854656915e-16,-3.191891195797325e-16
1749226107750,-1,-1,-3.677613769070831e-16,-2.5673907444456745e-16
1749227418750,-1,-1,2.1510571102112408e-16,-4.649058915617843e-16
1749229130500,1,1,-1.8041124150158794e-16,9.71445146547012e-17
1749230277250,1,1,2.42861286636753e-17,-2.0816681711721685e-17
1749232631750,0,0,1.3183898417423734e-16,4.111294638065033e-16
1749233824250,0,0,2.498001805406602e-16,4.477754972365133e-16
1749236948500,0,0,3.885780586188048e-16,-3.365363543395006e-16
1749465886500,0,0,4.961309141293668e-16,6.938893903907228e-17
1749478600750,0,0,4.3021142204224816e-16,4.787836793695988e-16
1749484820500,0,0,-6.938893903907228e-17,5.134781488891349e-16
1749486936500,0,0,-6.938893903907228e-18,6.938893903907228e-17
1749488574250,0,0,4.0245584642661925e-16,2.636779683484747e-16
1749490410250,0,0,8.326672684688674e-17,7.979727989493313e-17
1749492262250,0,0,2.3592239273284576e-16,9.020562075079397e-17
1749494349750,0,0,1.249000902703301e-16,1.5959455978986625e-16
1749531617000,-1,-1,1.3877787807814457e-17,1.3877787807814457e-17
1749539377250,0,0,-3.2612801348363973e-16,4.440892098500626e-16
1749542063000,0,0,-2.3592239273284576e-16,-2.914335439641036e-16
1749543120750,0,0,3.9898639947466563e-16,4.440892098500626e-16
1749544110000,0,0,-2.3592239273284576e-16,4.3021142204224816e-16
1749545214250,0,0,-2.7755575615628914e-16,1.951563910473908e-16
1749546183000,0,0,2.0816681711721685e-16,3.885780586188048e-16
1749547621750,0,0,-4.579669976578771e-16,-1.6132928326584306e-16
1749548882250,0,0,-1.2836953722228372e-16,-1.3877787807814457e-17
1749549926750,0,0,-3.0531133177191805e-16,4.85722573273506e-16
1749551311250,0,0,0.0,-1.2750217548429532e-16
1749552459750,0,0,1.3877787807814457e-16,-2.3678975447083417e-16
1749553893250,0,0,4.2327252813834093e-16,3.122502256758253e-16
1749555205000,0,0,-4.891920202254596e-16,-1.0408340855860843e-16
1749556757500,0,0,-2.3592239273284576e-16,2.220446049250313e-16
1749571201000,0,0,-2.7755575615628914e-16,-2.3245294578089215e-16
1749573022500,0,0,-2.0816681711721685e-17,4.163336342344337e-17
1749574163250,0,0,1.942890293094024e-16,-3.157196726277789e-16
1749575462250,0,0,4.0245584642661925e-16,1.4184074921541612e-16
1749577867250,-1,-1,-4.0245584642661925e-16,-2.393918396847994e-16
1749580351500,0,0,-2.255140518769849e-16,-4.718447854656915e-16
1749582069500,0,0,-1.5959455978986625e-16,-1.734723475976807e-16
1749617873750,0,0,-6.938893903907228e-18,4.0245584642661925e-16
1749623126250,0,0,1.1102230246251565e-16,4.883246584874712e-16
