field,value
総損益:,-48.47
残高絶対ドローダウン:,77.22
証拠金絶対ドローダウン:,80.03
残高最大ドローダウン:,77.22 (0.77%)
証拠金最大ドローダウン:,82.10 (0.82%)
残高相対ドローダウン:,0.77% (77.22)
証拠金相対ドローダウン:,0.82% (82.10)
プロフィットファクター:,0.64
