episode_id,symbol,direction,signal_msc,processing_msc,request_msc,quote_msc,entry_msc,exit_msc,requested_volume,filled_volume,closed_volume,entry_price,exit_price,sl,tp,risk_amount,gross_profit,commission,fee,swap,net_profit,gross_r,net_r,hold_seconds,exit_reason,entry_deals,exit_deals,position_identifier,month
usdjpy_only_ml_202506_20260912_USDJPY_mh_29,USDJPY,-1,1749051723000,1749051723135,1749051724763,1749051724722,1749051724763,1749052625012,0.06,0.06,0.06,143.624,143.56,143.837,143.411,8.89,2.67,0,0,0,2.67,0.30033745781777,0.30033745781777,900.249,TIME,1,1,4,202506
usdjpy_only_ml_202506_20260912_USDJPY_mh_30,USDJPY,-1,1749052822750,1749052822810,1749052822855,1749052822853,1749052822855,1749053722986,0.06,0.06,0.06,143.52,143.681,143.728,143.312,8.68,-6.72,0,0,0,-6.72,-0.7741935483871,-0.7741935483871,900.131,TIME,1,1,6,202506
usdjpy_only_ml_202506_20260912_USDJPY_mh_33,USDJPY,-1,1749057601500,1749057601958,1749057603491,1749057603079,1749057603491,1749058504184,0.05,0.05,0.05,143.254,143.181,143.503,143.005,8.68,2.55,0,0,0,2.55,0.29377880184332,0.29377880184332,900.693,TIME,1,1,8,202506
usdjpy_only_ml_202506_20260912_USDJPY_mh_35,USDJPY,1,1749061046750,1749061047125,1749061048821,1749061048759,1749061048821,1749061949293,0.06,0.06,0.06,143.133,142.998,142.917,143.349,9.07,-5.66,0,0,0,-5.66,-0.62403528114664,-0.62403528114664,900.472,TIME,1,1,10,202506
usdjpy_only_ml_202506_20260912_USDJPY_mh_36,USDJPY,1,1749062670500,1749062670572,1749062671216,1749062670766,1749062671216,1749063573555,0.06,0.06,0.06,142.939,142.947,142.728,143.15,8.87,0.34,0,0,0,0.34,0.038331454340473,0.038331454340473,902.339,TIME,1,1,12,202506
usdjpy_only_ml_202506_20260912_USDJPY_mh_48,USDJPY,-1,1749139204250,1749139204941,1749139205011,1749139204993,1749139205011,1749140105107,0.05,0.05,0.05,143.425,143.25,143.703,143.147,9.67,6.11,0,0,0,6.11,0.63185108583247,0.63185108583247,900.096,TIME,1,1,18,202506
usdjpy_only_ml_202506_20260912_USDJPY_mh_55,USDJPY,-1,1749147441500,1749147441569,1749147443643,1749147443642,1749147443643,1749148343646,0.04,0.04,0.04,143.701,143.762,143.996,143.406,8.19,-1.7,0,0,0,-1.7,-0.20757020757021,-0.20757020757021,900.003,TIME,1,1,20,202506
usdjpy_only_ml_202506_20260912_USDJPY_mh_56,USDJPY,-1,1749148477500,1749148478236,1749148479000,1749148478699,1749148479000,1749149388420,0.05,0.05,0.05,143.759,143.919,144.03,143.488,9.41,-5.56,0,0,0,-5.56,-0.59086078639745,-0.59086078639745,909.42,TIME,1,1,22,202506
usdjpy_only_ml_202506_20260912_USDJPY_mh_62,USDJPY,-1,1749224860000,1749224860033,1749224860093,1749224860070,1749224860093,1749225760094,0.05,0.05,0.05,144.505,144.679,144.767,144.243,9.05,-6.01,0,0,0,-6.01,-0.66408839779006,-0.66408839779006,900.001,TIME,1,1,24,202506
usdjpy_only_ml_202506_20260912_USDJPY_mh_63,USDJPY,-1,1749226107750,1749226107805,1749226108028,1749226108008,1749226108028,1749227008094,0.05,0.05,0.05,144.671,144.84,144.949,144.393,9.59,-5.83,0,0,0,-5.83,-0.60792492179353,-0.60792492179353,900.066,TIME,1,1,26,202506
usdjpy_only_ml_202506_20260912_USDJPY_mh_64,USDJPY,-1,1749227418750,1749227419024,1749227419241,1749227419160,1749227419241,1749228319289,0.05,0.05,0.05,144.857,144.973,145.131,144.583,9.44,-4,0,0,0,-4,-0.42372881355932,-0.42372881355932,900.048,TIME,1,1,28,202506
usdjpy_only_ml_202506_20260912_USDJPY_mh_65,USDJPY,1,1749229130500,1749229130574,1749229131514,1749229131294,1749229131514,1749230031771,0.05,0.05,0.05,144.837,144.89,144.572,145.102,9.16,1.83,0,0,0,1.83,0.19978165938865,0.19978165938865,900.257,TIME,1,1,30,202506
