episode_id,symbol,direction,t0_msc,processing_msc,action_msc,quote_msc,status,retcode,detail
usdjpy_only_ml_202506_20260912_USDJPY_mh_7,USDJPY,-1,1748970206250,1748970207300,1748970207314,1748970207300,ENTRY,10009,order=2 deal=2 external=0 request=0
usdjpy_only_ml_202506_20260912_USDJPY_mh_29,USDJPY,-1,1749051723000,1749051723135,1749051724763,1749051724722,ENTRY,10009,order=4 deal=4 external=0 request=1
usdjpy_only_ml_202506_20260912_USDJPY_mh_29,USDJPY,-1,1749051723000,1749051723135,1749052625012,1749052624997,CLOSE_TIME,10009,order=5 deal=5 external=0 request=2
usdjpy_only_ml_202506_20260912_USDJPY_mh_30,USDJPY,-1,1749052822750,1749052822810,1749052822855,1749052822853,ENTRY,10009,order=6 deal=6 external=0 request=3
usdjpy_only_ml_202506_20260912_USDJPY_mh_30,USDJPY,-1,1749052822750,1749052822810,1749053722986,1749053722985,CLOSE_TIME,10009,order=7 deal=7 external=0 request=4
usdjpy_only_ml_202506_20260912_USDJPY_mh_33,USDJPY,-1,1749057601500,1749057601958,1749057603491,1749057603079,ENTRY,10009,order=8 deal=8 external=0 request=5
usdjpy_only_ml_202506_20260912_USDJPY_mh_33,USDJPY,-1,1749057601500,1749057601958,1749058504184,1749058504033,CLOSE_TIME,10009,order=9 deal=9 external=0 request=6
usdjpy_only_ml_202506_20260912_USDJPY_mh_35,USDJPY,1,1749061046750,1749061047125,1749061048821,1749061048759,ENTRY,10009,order=10 deal=10 external=0 request=7
usdjpy_only_ml_202506_20260912_USDJPY_mh_35,USDJPY,1,1749061046750,1749061047125,1749061949293,1749061947841,CLOSE_TIME,10009,order=11 deal=11 external=0 request=8
usdjpy_only_ml_202506_20260912_USDJPY_mh_36,USDJPY,1,1749062670500,1749062670572,1749062671216,1749062670766,ENTRY,10009,order=12 deal=12 external=0 request=9
usdjpy_only_ml_202506_20260912_USDJPY_mh_36,USDJPY,1,1749062670500,1749062670572,1749063573555,1749063573264,CLOSE_TIME,10009,order=13 deal=13 external=0 request=10
usdjpy_only_ml_202506_20260912_USDJPY_mh_46,USDJPY,1,1749137186000,1749137187139,1749137187210,1749137187190,ENTRY,10009,order=14 deal=14 external=0 request=11
