symbol,baseline_m1_minutes,current_m1_minutes,m1_difference,baseline_fallback_minutes,current_fallback_minutes,fallback_difference,baseline_status,current_status,status
AUDUSD,30193,30193,0,0,0,0,NO_DISCARD_WARNING_OBSERVED,NO_DISCARD_WARNING_OBSERVED,PASS
EURUSD,30192,30192,0,0,0,0,NO_DISCARD_WARNING_OBSERVED,NO_DISCARD_WARNING_OBSERVED,PASS
GBPUSD,30188,30188,0,179,179,0,GENERATED_TICK_FALLBACK_OBSERVED,GENERATED_TICK_FALLBACK_OBSERVED,PASS
USDCAD,30193,30193,0,0,0,0,NO_DISCARD_WARNING_OBSERVED,NO_DISCARD_WARNING_OBSERVED,PASS
USDCHF,30191,30191,0,0,0,0,NO_DISCARD_WARNING_OBSERVED,NO_DISCARD_WARNING_OBSERVED,PASS
USDJPY,30195,30195,0,0,0,0,NO_DISCARD_WARNING_OBSERVED,NO_DISCARD_WARNING_OBSERVED,PASS
