fold,candidate_id,value,label
0,SR-CLEAN-001,1.7905054945054946,0|SR-CLEAN-001
0,SR-CLEAN-002,1.0480326125487418,0|SR-CLEAN-002
0,SR-DEAD-001,1.1991040318566453,0|SR-DEAD-001
0,SR-NOTRADE-001,0.5805938494167551,0|SR-NOTRADE-001
0,SR-REV-001,1.8448475664111252,0|SR-REV-001
0,SR-WHIP-001,,0|SR-WHIP-001
1,SR-CLEAN-001,1.863470831290707,1|SR-CLEAN-001
1,SR-CLEAN-002,0.9948338826044358,1|SR-CLEAN-002
1,SR-DEAD-001,1.1700188560653677,1|SR-DEAD-001
1,SR-NOTRADE-001,0.9470270270270271,1|SR-NOTRADE-001
1,SR-REV-001,1.9928571428571429,1|SR-REV-001
1,SR-WHIP-001,,1|SR-WHIP-001
2,SR-CLEAN-001,1.8852566198103957,2|SR-CLEAN-001
2,SR-CLEAN-002,1.0520273571079628,2|SR-CLEAN-002
2,SR-DEAD-001,0.9523191943851084,2|SR-DEAD-001
2,SR-NOTRADE-001,1.0901548672566372,2|SR-NOTRADE-001
2,SR-REV-001,1.9553571428571428,2|SR-REV-001
2,SR-WHIP-001,,2|SR-WHIP-001
3,SR-CLEAN-001,1.7772592152199764,3|SR-CLEAN-001
3,SR-CLEAN-002,0.923444527736132,3|SR-CLEAN-002
3,SR-DEAD-001,1.0482648583964898,3|SR-DEAD-001
3,SR-NOTRADE-001,0.8036697247706422,3|SR-NOTRADE-001
3,SR-REV-001,2.045818505338078,3|SR-REV-001
3,SR-WHIP-001,,3|SR-WHIP-001
4,SR-CLEAN-001,1.5588580467394633,4|SR-CLEAN-001
4,SR-CLEAN-002,0.9658486938821668,4|SR-CLEAN-002
4,SR-DEAD-001,0.9450892857142859,4|SR-DEAD-001
4,SR-NOTRADE-001,1.0665584415584417,4|SR-NOTRADE-001
4,SR-REV-001,1.9918376865671643,4|SR-REV-001
4,SR-WHIP-001,,4|SR-WHIP-001
