checkpoint_name,primary_path_class,value
CONFIRMED_PLUS_1000MS,CLEAN_CONTINUATION,1078
CONFIRMED_PLUS_1000MS,DEAD_OR_TIMEOUT,568
CONFIRMED_PLUS_1000MS,FAILED_SHOCK_REVERSAL,1400
CONFIRMED_PLUS_1000MS,PULLBACK_CONTINUATION,239
