cohort,horizon_seconds,fold,episodes,market_clusters,mean_exec_spread_multiple,prob_positive
ALL,5,0,380,358,-0.9850846079364212,0.05789473684210526
ALL,5,1,307,281,-1.1098815415235175,0.029315960912052116
ALL,5,2,265,232,-1.0973535194286308,0.033962264150943396
ALL,5,3,230,216,-1.0709332191087146,0.013043478260869565
ALL,5,4,227,210,-1.0197668102691633,0.03524229074889868
ALL,10,0,351,329,-1.0557568842370435,0.07977207977207977
ALL,10,1,303,277,-1.0811016236945357,0.0627062706270627
ALL,10,2,262,230,-1.144333926869619,0.030534351145038167
ALL,10,3,214,198,-1.0379698347480895,0.028037383177570093
ALL,10,4,210,194,-0.9597219075309394,0.08571428571428572
ALL,30,0,349,328,-0.9839188476995487,0.14040114613180515
ALL,30,1,298,274,-1.0568808892648482,0.10738255033557047
ALL,30,2,260,229,-1.1027504035176237,0.08076923076923077
ALL,30,3,201,187,-0.971432313975677,0.11442786069651742
ALL,30,4,198,186,-0.8848836642808199,0.12121212121212122
ALL,60,0,332,312,-0.999660635326461,0.2319277108433735
ALL,60,1,275,257,-0.8391504815687894,0.18545454545454546
ALL,60,2,253,224,-1.0475985203380784,0.12648221343873517
ALL,60,3,199,187,-0.9195770533345522,0.12562814070351758
ALL,60,4,220,207,-0.898140955258806,0.16818181818181818
ALL,120,0,351,331,-0.9841064049137461,0.27350427350427353
ALL,120,1,264,247,-0.7979107070774368,0.23484848484848486
ALL,120,2,223,202,-1.0548769349513658,0.20179372197309417
ALL,120,3,198,193,-0.8588619979472809,0.20202020202020202
ALL,120,4,208,197,-0.9955669364145705,0.20192307692307693
ALL,180,0,354,332,-1.0672608474576466,0.3192090395480226
ALL,180,1,290,271,-0.9973370961952116,0.2827586206896552
ALL,180,2,217,197,-1.0119678669609413,0.2304147465437788
ALL,180,3,217,204,-0.7961977576074487,0.21658986175115208
ALL,180,4,194,186,-0.9219010513417285,0.25257731958762886
ALL,300,0,339,319,-1.0611244407621947,0.3185840707964602
ALL,300,1,264,247,-1.004700106201315,0.3106060606060606
ALL,300,2,223,206,-1.0306749589040418,0.26905829596412556
ALL,300,3,177,170,-0.7984376073398073,0.3050847457627119
ALL,300,4,201,196,-0.9675416190449734,0.2885572139303483
ALL,600,0,353,335,-1.2893141793294614,0.37110481586402266
ALL,600,1,257,246,-0.8121042531841827,0.33073929961089493
ALL,600,2,227,209,-0.8829644526640733,0.3656387665198238
ALL,600,3,174,168,-0.6949124967101913,0.3448275862068966
ALL,600,4,198,189,-0.7069337659162519,0.398989898989899
ALL,900,0,332,317,-1.5110142844718017,0.3855421686746988
ALL,900,1,275,259,-0.6515550690709544,0.37454545454545457
ALL,900,2,218,205,-0.700997320116451,0.3853211009174312
