cohort,entry_clock,direction,exit_horizon_seconds,episodes,gross_mid_mean,spread_only_mean,spread_125x_mean,prob_positive_spread_only,break_even_additional_cost_mean,formal_net_status
ALL,CAUSAL_STATE_TRANSITION,LONG,5,1131,0.00022186118479221932,-0.0071657117595048635,-0.008078524535809019,0.026525198938992044,0.00023451812555260834,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CAUSAL_STATE_TRANSITION,LONG,10,1304,0.00011436349693251542,-0.007239547546012271,-0.008150574194785277,0.03834355828220859,0.0003591180981595092,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CAUSAL_STATE_TRANSITION,LONG,30,1368,0.00012854166666666662,-0.007254780701754386,-0.00816311769005848,0.08406432748538012,0.0011192397660818713,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CAUSAL_STATE_TRANSITION,LONG,60,1375,0.00042872363636363637,-0.006971745454545455,-0.007885005454545456,0.1330909090909091,0.0019052000000000001,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CAUSAL_STATE_TRANSITION,LONG,120,1375,0.0003934545454545454,-0.007035214545454546,-0.007955524545454546,0.16945454545454544,0.0030496436363636366,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CAUSAL_STATE_TRANSITION,LONG,180,1375,0.0003334400000000003,-0.007060167272727272,-0.007971711818181819,0.20581818181818182,0.0040568290909090915,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CAUSAL_STATE_TRANSITION,LONG,300,1375,7.092727272727255e-05,-0.007310610909090909,-0.008219138181818181,0.248,0.006451381818181819,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CAUSAL_STATE_TRANSITION,LONG,600,1375,-0.0003155527272727273,-0.007689338181818182,-0.008595927272727271,0.31272727272727274,0.010158123636363637,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CAUSAL_STATE_TRANSITION,LONG,900,1375,-0.0009453709090909095,-0.008300814545454546,-0.009202818181818182,0.3396363636363636,0.011749658181818182,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CAUSAL_STATE_TRANSITION,SHORT,5,1131,-0.00010211317418213973,-0.007076003536693192,-0.007942848143236075,0.01856763925729443,6.53580901856764e-05,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CAUSAL_STATE_TRANSITION,SHORT,10,1299,-0.0004511277906081601,-0.007481039260969977,-0.008354917244033871,0.03387220939183987,0.00013880677444187836,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CAUSAL_STATE_TRANSITION,SHORT,30,1356,-0.0002299262536873156,-0.007382286135693216,-0.008264850663716813,0.08112094395280237,0.0006640560471976401,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CAUSAL_STATE_TRANSITION,SHORT,60,1359,-0.00024452170713760106,-0.007334746136865342,-0.00820364974245769,0.12214863870493009,0.0013938778513612952,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CAUSAL_STATE_TRANSITION,SHORT,120,1359,0.00026955849889624716,-0.006819985283296542,-0.00768871872700515,0.199411331861663,0.0025867328918322296,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CAUSAL_STATE_TRANSITION,SHORT,180,1359,0.0002842384105960265,-0.006775496688741722,-0.007636777961736571,0.24429727740986018,0.003714908020603385,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CAUSAL_STATE_TRANSITION,SHORT,300,1359,0.00024883370125091975,-0.006790242825607063,-0.0076463594554819735,0.2766740250183959,0.005517799852832965,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CAUSAL_STATE_TRANSITION,SHORT,600,1359,0.0011618285504047096,-0.005926475349521708,-0.006794898822663724,0.3370125091979397,0.009464061810154526,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CAUSAL_STATE_TRANSITION,SHORT,900,1359,0.000984021339220015,-0.006218013245033112,-0.007114869389256807,0.3465783664459161,0.011423245033112584,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED,LONG,5,2415,0.00016078053830227742,-0.006876790890269151,-0.007750664596273292,0.02401656314699793,0.0001831511387163561,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED,LONG,10,2637,0.00028660219946909365,-0.006848972317026924,-0.007735882631778535,0.04057641259006447,0.0003257413727720895,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED,LONG,30,2726,0.00019558143800440207,-0.007057369772560528,-0.007952240920763022,0.08290535583272193,0.000933558327219369,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED,LONG,60,2734,0.0003537893196781272,-0.006882264081931237,-0.007773475676664227,0.13752743233357717,0.0016836649597659107,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED,LONG,120,2734,8.051572787125097e-05,-0.007169381858083394,-0.008064054498902707,0.18361375274323335,0.00278008412582297,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED,LONG,180,2734,4.303584491587409e-05,-0.00717441111923921,-0.008060971104608633,0.21653255303584493,0.0037703145574250183,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED,LONG,300,2734,-7.138990490124377e-05,-0.007272498171177761,-0.00815497348207754,0.2556693489392831,0.005767962692026336,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED,LONG,600,2734,-0.0007195866861741038,-0.007941265544989027,-0.008828883504023409,0.3196781272860278,0.009555120702267739,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED,LONG,900,2734,-0.0009479553767373808,-0.008216942209217263,-0.009116387161667886,0.34162399414776884,0.011304389173372347,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED,SHORT,5,2415,-0.00016078053830227742,-0.007198351966873706,-0.008072225672877846,0.02360248447204969,0.00011523395445134574,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
