episode_id,anchor_event_id,market_cluster_id,symbol,shock_direction,anchor_msc,anchor_processing_msc,anchor_bid,anchor_ask,anchor_mid,initial_shock,severity,pre_m1_rms,pre_m1_count,pre_vol_status,step15d_path_class,sr_clean_001,sr_rev_001,repeat_count,same_direction_repeats,opposite_direction_repeats,max_repeat_severity,last_shock_msc,mfe,mae,time_to_mfe_ms,time_to_mae_ms,origin_recross_count,first_origin_recross_msc,realized_volatility,quote_count,average_spread,fallback_count,duplicate_same_msc,drops,capacity_losses,future_reads,backdates,episode_status,validation_status,schema_version,server_time,server_day,server_hour,session,fallback_interval_mappable,primary_episode,fold
ts15e_medium_horizon_202503_USDJPY_mh_1,ts15e_medium_horizon_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999587250_1,1,USDJPY,LONG,1740999587250,1740999587465,150.118,150.135,150.1265,0.005,2.8216307377,0.000180895482,10,AVAILABLE,FAILED_SHOCK_REVERSAL,False,True,7,5,2,3.2645595383,1741000392750,0.0075,0.179,65671,813351,8,1740999628749.0,0.000635820941,1791,0.0177766611,0,0,0,0,0,0,COMPLETE_900S,VALID,tickshock-medium-horizon-response-v1,2025-03-03 10:59:47.250000+00:00,2025-03-03,10,SERVER_HOUR_LONDON,True,True,0
ts15e_medium_horizon_202503_USDJPY_mh_2,ts15e_medium_horizon_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741001029000_9,8,USDJPY,LONG,1741001029000,1741001029236,150.102,150.117,150.1095,0.001,2.7229900728,0.000155376576,10,AVAILABLE,CLEAN_CONTINUATION,True,False,2,2,0,3.8135348007,1741001791750,0.1255,0.0275,898537,137889,3,1741001030981.0,0.000553589142,1365,0.0177091575,0,0,0,0,0,0,COMPLETE_900S,VALID,tickshock-medium-horizon-response-v1,2025-03-03 11:23:49+00:00,2025-03-03,11,SERVER_HOUR_LONDON,True,True,0
ts15e_medium_horizon_202503_USDJPY_mh_3,ts15e_medium_horizon_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741002078000_12,11,USDJPY,SHORT,1741002078000,1741002079487,150.21,150.225,150.2175,0.003,3.5369017882,0.000204509543,10,AVAILABLE,FAILED_SHOCK_REVERSAL,False,True,2,0,2,5.1930826645,1741002365000,0.0065,0.1525,90284,644994,8,1741002132357.0,0.000557866115,1460,0.0175828767,0,0,0,0,0,0,COMPLETE_900S,VALID,tickshock-medium-horizon-response-v1,2025-03-03 11:41:18+00:00,2025-03-03,11,SERVER_HOUR_LONDON,True,True,0
ts15e_medium_horizon_202503_USDJPY_mh_4,ts15e_medium_horizon_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741013614250_15,13,USDJPY,SHORT,1741013614250,1741013614311,151.252,151.272,151.262,0.0255,3.252416373,0.00018569695,10,AVAILABLE,PULLBACK_CONTINUATION,False,False,6,6,0,6.1438491111,1741014453500,0.0585,0.042,406752,282616,51,1741013805065.0,0.000613325808,1694,0.0176918536,0,0,0,0,0,0,COMPLETE_900S,VALID,tickshock-medium-horizon-response-v1,2025-03-03 14:53:34.250000+00:00,2025-03-03,14,SERVER_HOUR_OVERLAP,True,True,0
ts15e_medium_horizon_202503_USDJPY_mh_5,ts15e_medium_horizon_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741014606000_22,18,USDJPY,SHORT,1741014606000,1741014606129,151.277,151.297,151.287,0.0,3.0091036617,0.000190936533,10,AVAILABLE,CLEAN_CONTINUATION,True,False,16,12,4,4.0675785805,1741015358750,0.1775,0.0085,646989,358907,6,1741014961580.0,0.000728903592,1987,0.0175123301,0,0,0,0,0,0,COMPLETE_900S,VALID,tickshock-medium-horizon-response-v1,2025-03-03 15:10:06+00:00,2025-03-03,15,SERVER_HOUR_OVERLAP,True,True,0
ts15e_medium_horizon_202503_USDJPY_mh_6,ts15e_medium_horizon_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741015603500_39,32,USDJPY,SHORT,1741015603500,1741015605674,151.151,151.17,151.1605,0.0025,3.0580124625,0.000289827488,10,AVAILABLE,CLEAN_CONTINUATION,True,False,6,3,3,3.5576350405,1741016313250,0.15,0.0135,449717,52658,7,1741015608208.0,0.000720156656,1939,0.0179793708,0,0,0,0,0,0,COMPLETE_900S,VALID,tickshock-medium-horizon-response-v1,2025-03-03 15:26:43.500000+00:00,2025-03-03,15,SERVER_HOUR_OVERLAP,True,True,0
ts15e_medium_horizon_202503_USDJPY_mh_7,ts15e_medium_horizon_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741016712500_47,39,USDJPY,LONG,1741016712500,1741016712702,151.059,151.078,151.0685,0.0005,4.0933994772,0.000116846262,10,AVAILABLE,FAILED_SHOCK_REVERSAL,False,True,7,1,6,3.6216500725,1741017545250,0.0115,0.136,11424,891387,9,1741016713471.0,0.0007566384,1703,0.0177715796,0,0,0,0,0,0,COMPLETE_900S,VALID,tickshock-medium-horizon-response-v1,2025-03-03 15:45:12.500000+00:00,2025-03-03,15,SERVER_HOUR_OVERLAP,True,True,0
ts15e_medium_horizon_202503_USDJPY_mh_8,ts15e_medium_horizon_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741022591750_55,45,USDJPY,LONG,1741022591750,1741022592919,150.267,150.282,150.2745,0.0095,3.3163196258,0.000284487844,10,AVAILABLE,PULLBACK_CONTINUATION,False,False,23,9,14,4.6439606499,1741023436000,0.0375,0.1685,474035,880421,50,1741022592815.0,0.001070777996,2678,0.0181441374,0,0,0,0,0,0,COMPLETE_900S,VALID,tickshock-medium-horizon-response-v1,2025-03-03 17:23:11.750000+00:00,2025-03-03,17,SERVER_HOUR_NEW_YORK,True,True,0
ts15e_medium_horizon_202503_USDJPY_mh_9,ts15e_medium_horizon_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741024235000_79,64,USDJPY,SHORT,1741024235000,1741024235142,150.193,150.211,150.202,0.001,4.3683806728,0.000226956343,10,AVAILABLE,CLEAN_CONTINUATION,True,False,14,7,7,5.0299717302,1741025095500,0.0355,0.1735,97778,718449,46,1741024235567.0,0.001006697706,2772,0.018005772,0,0,0,0,0,0,COMPLETE_900S,VALID,tickshock-medium-horizon-response-v1,2025-03-03 17:50:35+00:00,2025-03-03,17,SERVER_HOUR_NEW_YORK,True,True,0
ts15e_medium_horizon_202503_USDJPY_mh_10,ts15e_medium_horizon_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741025468250_94,72,USDJPY,SHORT,1741025468250,1741025468589,150.267,150.286,150.2765,0.003,4.4671203992,0.000226894947,10,AVAILABLE,CLEAN_CONTINUATION,True,False,6,4,2,5.0444807346,1741026207250,0.1105,0.067,425377,154507,23,1741025471213.0,0.00091423475,2487,0.0176855649,0,0,0,0,0,0,COMPLETE_900S,VALID,tickshock-medium-horizon-response-v1,2025-03-03 18:11:08.250000+00:00,2025-03-03,18,SERVER_HOUR_NEW_YORK,True,True,0
ts15e_medium_horizon_202503_USDJPY_mh_11,ts15e_medium_horizon_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741026750500_101,78,USDJPY,LONG,1741026750500,1741026750957,150.187,150.206,150.1965,0.002,5.2996156209,0.000183300777,10,AVAILABLE,FAILED_SHOCK_REVERSAL,False,True,15,6,9,9.4883640591,1741027544250,0.0645,0.1445,213590,527731,29,1741026754468.0,0.000838264532,2451,0.0178078335,0,0,0,0,0,0,COMPLETE_900S,VALID,tickshock-medium-horizon-response-v1,2025-03-03 18:32:30.500000+00:00,2025-03-03,18,SERVER_HOUR_NEW_YORK,True,True,0
ts15e_medium_horizon_202503_USDJPY_mh_12,ts15e_medium_horizon_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741028146500_117,86,USDJPY,LONG,1741028146500,1741028146686,150.21,150.226,150.218,0.0015,4.1444160178,0.000152695567,10,AVAILABLE,DEAD_OR_TIMEOUT,False,False,6,4,2,4.969507987,1741029007750,0.0575,0.059,693721,249540,23,1741028146894.0,0.000719467288,2097,0.0177262756,0,0,0,0,0,0,COMPLETE_900S,VALID,tickshock-medium-horizon-response-v1,2025-03-03 18:55:46.500000+00:00,2025-03-03,18,SERVER_HOUR_NEW_YORK,True,True,0
ts15e_medium_horizon_202503_USDJPY_mh_13,ts15e_medium_horizon_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741030028500_124,90,USDJPY,SHORT,1741030028500,1741030028690,150.157,150.176,150.1665,0.0025,3.5742902642,0.000119607411,10,AVAILABLE,FAILED_SHOCK_REVERSAL,False,True,0,0,0,0.0,1741030028500,0.0005,0.1255,108,891459,1,1741030028811.0,0.000545857568,1762,0.0193700341,0,0,0,0,0,0,COMPLETE_900S,VALID,tickshock-medium-horizon-response-v1,2025-03-03 19:27:08.500000+00:00,2025-03-03,19,SERVER_HOUR_NEW_YORK,True,True,0
ts15e_medium_horizon_202503_USDJPY_mh_14,ts15e_medium_horizon_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741031040250_125,91,USDJPY,SHORT,1741031040250,1741031041395,150.272,150.29,150.281,0.0075,4.0691387059,0.000117635828,10,AVAILABLE,DEAD_OR_TIMEOUT,False,False,13,9,4,6.8995309732,1741031657000,0.151,0.0,613256,0,0,,0.000714944592,1811,0.0188663722,0,0,0,0,0,0,COMPLETE_900S,VALID,tickshock-medium-horizon-response-v1,2025-03-03 19:44:00.250000+00:00,2025-03-03,19,SERVER_HOUR_NEW_YORK,True,True,0
ts15e_medium_horizon_202503_USDJPY_mh_15,ts15e_medium_horizon_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741039054000_139,95,USDJPY,LONG,1741039054000,1741039055341,150.182,150.2,150.191,0.002,2.3700888781,0.000178222485,10,AVAILABLE,DEAD_OR_TIMEOUT,False,False,116,38,78,11.9767126608,1741039840500,0.079,0.6375,142051,897980,41,1741039061790.0,0.001929940703,3098,0.0181607489,0,0,0,0,0,0,COMPLETE_900S,VALID,tickshock-medium-horizon-response-v1,2025-03-03 21:57:34+00:00,2025-03-03,21,SERVER_HOUR_NEW_YORK,True,True,0
