cohort,horizon_seconds,omitted_symbol,episodes,mean_exec_spread_multiple,sign_positive
ALL,5,AUDUSD,1159,-1.0547001235390105,False
ALL,5,EURUSD,1261,-1.0285669537802302,False
ALL,5,GBPUSD,1409,-1.0529923159959202,False
ALL,5,USDCAD,1099,-1.0500082774642778,False
ALL,5,USDCHF,1229,-1.0566426340129982,False
ALL,5,USDJPY,888,-1.0840894447288356,False
ALL,10,AUDUSD,1111,-1.0678124437017715,False
ALL,10,EURUSD,1187,-1.0352188741710624,False
ALL,10,GBPUSD,1340,-1.060915740600056,False
ALL,10,USDCAD,1051,-1.054183837287809,False
ALL,10,USDCHF,1172,-1.069869666262137,False
ALL,10,USDJPY,839,-1.0840637415659953,False
ALL,30,AUDUSD,1067,-1.0017660045880672,False
ALL,30,EURUSD,1155,-1.0048982813994005,False
ALL,30,GBPUSD,1306,-1.0072880156197266,False
ALL,30,USDCAD,1039,-1.008254859820553,False
ALL,30,USDCHF,1142,-1.0091736276487686,False
ALL,30,USDJPY,821,-1.0139801090831035,False
ALL,60,AUDUSD,1055,-0.9318194445247456,False
ALL,60,EURUSD,1134,-0.9224177891266071,False
ALL,60,GBPUSD,1279,-0.9447091343048079,False
ALL,60,USDCAD,994,-0.9482074582321098,False
ALL,60,USDCHF,1134,-0.93875694397393,False
ALL,60,USDJPY,799,-0.9974618977610313,False
ALL,120,AUDUSD,1035,-0.9292354817185532,False
ALL,120,EURUSD,1113,-0.9276373910903074,False
ALL,120,GBPUSD,1244,-0.9392603936134365,False
ALL,120,USDCAD,949,-0.935829247465774,False
ALL,120,USDCHF,1091,-0.9228357252853289,False
ALL,120,USDJPY,788,-0.9957168104402692,False
ALL,180,AUDUSD,1063,-0.9563423457857763,False
ALL,180,EURUSD,1132,-0.9709383404315135,False
ALL,180,GBPUSD,1272,-0.9734739326951686,False
ALL,180,USDCAD,994,-0.9431628672157207,False
ALL,180,USDCHF,1118,-0.9626625519541877,False
ALL,180,USDJPY,781,-1.0545206549514152,False
ALL,300,AUDUSD,1003,-0.9705336114684181,False
ALL,300,EURUSD,1091,-0.9781922107687281,False
ALL,300,GBPUSD,1204,-0.9888719694504302,False
ALL,300,USDCAD,930,-1.0158488503223584,False
ALL,300,USDCHF,1058,-0.9483442054056518,False
ALL,300,USDJPY,734,-1.0540420851536696,False
ALL,600,AUDUSD,997,-0.9000966601035737,False
ALL,600,EURUSD,1085,-0.9525581506134573,False
ALL,600,GBPUSD,1209,-0.9306528446694546,False
ALL,600,USDCAD,954,-0.9534497337373243,False
ALL,600,USDCHF,1057,-0.908111141019936,False
ALL,600,USDJPY,743,-0.9424638913043586,False
ALL,900,AUDUSD,972,-0.8307569298459343,False
ALL,900,EURUSD,1068,-0.9297412719693988,False
ALL,900,GBPUSD,1185,-0.8682000857005506,False
ALL,900,USDCAD,933,-0.9386038072669863,False
ALL,900,USDCHF,1060,-0.8196339575680521,False
ALL,900,USDJPY,707,-0.8066190166121785,False
SR-CLEAN-001,5,AUDUSD,338,-0.894960680760643,False
SR-CLEAN-001,5,EURUSD,379,-0.8543321775873955,False
SR-CLEAN-001,5,GBPUSD,418,-0.9048063380424064,False
SR-CLEAN-001,5,USDCAD,332,-0.9116511060267888,False
SR-CLEAN-001,5,USDCHF,355,-0.9074480357579291,False
SR-CLEAN-001,5,USDJPY,268,-0.9766245220493454,False
SR-CLEAN-001,10,AUDUSD,318,-0.7418181549627285,False
SR-CLEAN-001,10,EURUSD,342,-0.7486765485702502,False
SR-CLEAN-001,10,GBPUSD,384,-0.7724973894394713,False
SR-CLEAN-001,10,USDCAD,309,-0.7884338361434469,False
SR-CLEAN-001,10,USDCHF,329,-0.7676841616712077,False
SR-CLEAN-001,10,USDJPY,238,-0.8336819022340437,False
SR-CLEAN-001,30,AUDUSD,311,-0.753263877145612,False
SR-CLEAN-001,30,EURUSD,342,-0.7719319894501315,False
SR-CLEAN-001,30,GBPUSD,387,-0.776029334567754,False
SR-CLEAN-001,30,USDCAD,314,-0.792752445958034,False
