repeat_bucket,horizon_seconds,episodes,mean_exec_spread_multiple,prob_positive
0,5,278,-1.0753256929507609,0.0
0,10,272,-1.05106332999873,0.01838235294117647
0,30,256,-1.0630051969097098,0.03515625
0,60,244,-0.9789409250890113,0.11065573770491803
0,120,262,-1.0570129587774135,0.16412213740458015
0,180,258,-1.08122300385687,0.17829457364341086
0,300,238,-1.1173603620798644,0.23529411764705882
0,600,236,-1.1645057183940148,0.25
0,900,244,-1.0882275471297225,0.29918032786885246
1,5,217,-1.0572223251600474,0.0
1,10,202,-1.0230791280326557,0.019801980198019802
1,30,195,-1.0167777161770741,0.07179487179487179
1,60,192,-0.9700282925564955,0.11458333333333333
1,120,171,-1.119685980713313,0.12280701754385964
1,180,189,-1.1300318345373839,0.164021164021164
1,300,183,-0.9994958565556007,0.2185792349726776
1,600,183,-1.0241685330708743,0.33879781420765026
1,900,182,-1.135606909397164,0.3021978021978022
2-3,5,273,-1.1108432774341335,0.007326007326007326
2-3,10,257,-1.0535768702854351,0.027237354085603113
2-3,30,246,-1.0912773717142512,0.06504065040650407
2-3,60,243,-1.1168162609719177,0.09465020576131687
2-3,120,233,-1.1446318873430512,0.20600858369098712
2-3,180,229,-1.1325723574799837,0.2314410480349345
2-3,300,214,-1.0828144674690685,0.2850467289719626
2-3,600,222,-0.8764692452298257,0.34234234234234234
2-3,900,212,-0.5805832227165174,0.42452830188679247
4+,5,641,-1.0172358366594247,0.07644305772230889
4+,10,609,-1.0809632629203076,0.10344827586206896
4+,30,609,-0.9469013627163249,0.180623973727422
4+,60,600,-0.8529826891118456,0.25
4+,120,578,-0.7497179965441614,0.29930795847750863
4+,180,596,-0.8160540617494966,0.3540268456375839
4+,300,569,-0.8963796964064232,0.3602811950790861
4+,600,568,-0.8245368409707601,0.4242957746478873
4+,900,547,-0.7925511505106303,0.4351005484460695
