cohort,horizon_seconds,omitted_server_day,episodes,mean_exec_spread_multiple
ALL,5,2025-03-03,1395,-1.0535032315649782
ALL,5,2025-03-04,1341,-1.0596247732644912
ALL,5,2025-03-05,1296,-1.0462156796557602
ALL,5,2025-03-06,1309,-1.0679673679434702
ALL,5,2025-03-07,1309,-1.0563182312147015
ALL,5,2025-03-10,1331,-1.0534137446055443
ALL,5,2025-03-11,1301,-1.0506900942709603
ALL,5,2025-03-12,1334,-1.039107141674707
ALL,5,2025-03-13,1329,-1.0524363905521357
ALL,5,2025-03-14,1355,-1.0520582809476993
ALL,5,2025-03-17,1356,-1.0548785871039144
ALL,5,2025-03-18,1353,-1.049885109001649
ALL,5,2025-03-19,1351,-1.0502425823432873
ALL,5,2025-03-20,1348,-1.0503828033397218
ALL,5,2025-03-21,1365,-1.0566622132532366
ALL,5,2025-03-24,1343,-1.0495257692621782
ALL,5,2025-03-25,1369,-1.05353702042488
ALL,5,2025-03-26,1349,-1.0541488905734493
ALL,5,2025-03-27,1340,-1.0555243320221817
ALL,5,2025-03-28,1365,-1.0586570881023987
ALL,5,2025-03-31,1341,-1.047977360364977
ALL,10,2025-03-03,1327,-1.062565985546577
ALL,10,2025-03-04,1280,-1.0587976087064093
ALL,10,2025-03-05,1251,-1.0539356203921728
ALL,10,2025-03-06,1230,-1.0721096038789175
ALL,10,2025-03-07,1245,-1.0561452019113127
ALL,10,2025-03-10,1258,-1.065637782068033
ALL,10,2025-03-11,1240,-1.0602663263791716
ALL,10,2025-03-12,1267,-1.0518265515808811
ALL,10,2025-03-13,1258,-1.061216295568275
ALL,10,2025-03-14,1281,-1.0572882315380645
ALL,10,2025-03-17,1288,-1.058898691380399
ALL,10,2025-03-18,1298,-1.0554848478568772
ALL,10,2025-03-19,1274,-1.0584082828062549
ALL,10,2025-03-20,1277,-1.057208868808692
ALL,10,2025-03-21,1307,-1.0698731701316304
ALL,10,2025-03-24,1284,-1.0556582703335153
ALL,10,2025-03-25,1298,-1.0639678055563055
ALL,10,2025-03-26,1287,-1.0653333934189462
ALL,10,2025-03-27,1286,-1.0640879167978596
ALL,10,2025-03-28,1297,-1.0709616491548242
ALL,10,2025-03-31,1267,-1.0592871901163379
ALL,30,2025-03-03,1294,-1.0087746566532456
ALL,30,2025-03-04,1245,-1.009897315646695
ALL,30,2025-03-05,1212,-1.0065683165826755
ALL,30,2025-03-06,1199,-0.9997553684087024
ALL,30,2025-03-07,1211,-1.0200948354773793
ALL,30,2025-03-10,1226,-1.0094322583555049
ALL,30,2025-03-11,1210,-1.0234029233113593
ALL,30,2025-03-12,1236,-0.9820355592879169
ALL,30,2025-03-13,1224,-0.996802772652919
ALL,30,2025-03-14,1257,-1.0033463947472696
ALL,30,2025-03-17,1253,-0.9968094641865589
ALL,30,2025-03-18,1253,-1.0019202163689993
ALL,30,2025-03-19,1247,-1.0107375132557312
ALL,30,2025-03-20,1243,-1.0123995601307447
ALL,30,2025-03-21,1267,-1.0102421643262836
ALL,30,2025-03-24,1259,-1.0134884479096937
ALL,30,2025-03-25,1277,-1.0048295659116322
ALL,30,2025-03-26,1248,-1.0096428199013636
ALL,30,2025-03-27,1258,-1.0174314473658836
ALL,30,2025-03-28,1258,-1.0279684710776724
ALL,30,2025-03-31,1243,-0.987312574837689
ALL,60,2025-03-03,1270,-0.9503140665380616
ALL,60,2025-03-04,1226,-0.9532590041198002
ALL,60,2025-03-05,1182,-0.9247803610784737
ALL,60,2025-03-06,1186,-0.9333901086038559
ALL,60,2025-03-07,1189,-0.9457654680458141
ALL,60,2025-03-10,1196,-0.9659716050810407
ALL,60,2025-03-11,1194,-0.965712104130168
ALL,60,2025-03-12,1207,-0.9270145860655707
ALL,60,2025-03-13,1200,-0.9336108320750285
ALL,60,2025-03-14,1228,-0.9392459140767486
ALL,60,2025-03-17,1231,-0.9408242136805072
ALL,60,2025-03-18,1227,-0.941908005554003
ALL,60,2025-03-19,1230,-0.9464718928454086
ALL,60,2025-03-20,1220,-0.9557869297129127
ALL,60,2025-03-21,1232,-0.9420848331274901
ALL,60,2025-03-24,1230,-0.9422587751526206
ALL,60,2025-03-25,1250,-0.9452253995711133
ALL,60,2025-03-26,1220,-0.9428082307706491
ALL,60,2025-03-27,1213,-0.9475540192326061
ALL,60,2025-03-28,1235,-0.9673892531795617
ALL,60,2025-03-31,1214,-0.9265845241562958
ALL,120,2025-03-03,1230,-0.9396803957892348
ALL,120,2025-03-04,1182,-0.9596821748361785
ALL,120,2025-03-05,1148,-0.924217405238755
ALL,120,2025-03-06,1146,-0.9197057116841431
ALL,120,2025-03-07,1157,-0.9404224767165014
ALL,120,2025-03-10,1171,-0.9607971550630434
ALL,120,2025-03-11,1164,-0.9598236204540617
ALL,120,2025-03-12,1174,-0.9318328460025336
ALL,120,2025-03-13,1166,-0.9091546986414752
ALL,120,2025-03-14,1190,-0.936332075271315
ALL,120,2025-03-17,1206,-0.9365496818694594
ALL,120,2025-03-18,1211,-0.9417628707177765
ALL,120,2025-03-19,1185,-0.952922757836397
ALL,120,2025-03-20,1192,-0.9453865195694093
ALL,120,2025-03-21,1201,-0.9386114777720741
ALL,120,2025-03-24,1198,-0.9391243104239424
ALL,120,2025-03-25,1210,-0.9437233046979182
ALL,120,2025-03-26,1184,-0.9394984742955246
ALL,120,2025-03-27,1186,-0.9431286610092703
ALL,120,2025-03-28,1197,-0.9460682865847756
ALL,120,2025-03-31,1182,-0.9148120025370198
ALL,180,2025-03-03,1261,-0.9762869765868166
ALL,180,2025-03-04,1211,-0.9911075600761828
ALL,180,2025-03-05,1172,-0.9586482112897323
ALL,180,2025-03-06,1169,-0.9530700419900784
ALL,180,2025-03-07,1179,-0.9533447817863845
ALL,180,2025-03-10,1190,-0.9845452784367158
ALL,180,2025-03-11,1171,-1.0164789724586458
ALL,180,2025-03-12,1205,-0.9358658719403337
ALL,180,2025-03-13,1207,-0.9442068604525619
ALL,180,2025-03-14,1224,-0.9728828139070502
ALL,180,2025-03-17,1230,-0.9767729069781906
ALL,180,2025-03-18,1231,-0.9705796558306241
ALL,180,2025-03-19,1221,-0.9838347040517201
ALL,180,2025-03-20,1225,-1.0040344563924863
