cohort,symbol,session,horizon_seconds,episodes,mean_exec_spread_multiple,prob_positive
ALL,AUDUSD,SERVER_HOUR_LONDON,5,64,-0.9901862177677341,0.0
ALL,AUDUSD,SERVER_HOUR_LONDON,10,58,-1.0123493448081096,0.017241379310344827
ALL,AUDUSD,SERVER_HOUR_LONDON,30,70,-1.0427129547471392,0.014285714285714285
ALL,AUDUSD,SERVER_HOUR_LONDON,60,57,-1.0796639160483312,0.017543859649122806
ALL,AUDUSD,SERVER_HOUR_LONDON,120,58,-0.9464654847900699,0.10344827586206896
ALL,AUDUSD,SERVER_HOUR_LONDON,180,61,-1.0142212266232429,0.11475409836065574
ALL,AUDUSD,SERVER_HOUR_LONDON,300,52,-0.970699137818721,0.19230769230769232
ALL,AUDUSD,SERVER_HOUR_LONDON,600,57,-1.063417767079113,0.19298245614035087
ALL,AUDUSD,SERVER_HOUR_LONDON,900,77,-0.9938875118858153,0.24675324675324675
ALL,AUDUSD,SERVER_HOUR_NEW_YORK,5,72,-1.0135941058857048,0.06944444444444445
ALL,AUDUSD,SERVER_HOUR_NEW_YORK,10,61,-1.017479728126276,0.04918032786885246
ALL,AUDUSD,SERVER_HOUR_NEW_YORK,30,69,-0.9481312871211841,0.08695652173913043
ALL,AUDUSD,SERVER_HOUR_NEW_YORK,60,64,-1.0133033403312577,0.140625
ALL,AUDUSD,SERVER_HOUR_NEW_YORK,120,62,-1.0962100348491959,0.12903225806451613
ALL,AUDUSD,SERVER_HOUR_NEW_YORK,180,63,-1.1975873858591988,0.20634920634920634
ALL,AUDUSD,SERVER_HOUR_NEW_YORK,300,61,-1.1385268354760474,0.2459016393442623
ALL,AUDUSD,SERVER_HOUR_NEW_YORK,600,64,-1.0369029071930487,0.34375
ALL,AUDUSD,SERVER_HOUR_NEW_YORK,900,52,-0.8892378739402899,0.3076923076923077
ALL,AUDUSD,SERVER_HOUR_OTHER,5,6,-1.1455259112866123,0.0
ALL,AUDUSD,SERVER_HOUR_OTHER,10,6,-1.2461415396196898,0.0
ALL,AUDUSD,SERVER_HOUR_OTHER,30,8,-1.274185958968436,0.0
ALL,AUDUSD,SERVER_HOUR_OTHER,60,5,-1.2356107660454447,0.0
ALL,AUDUSD,SERVER_HOUR_OTHER,120,6,-0.6478919631094145,0.16666666666666666
ALL,AUDUSD,SERVER_HOUR_OTHER,180,7,-0.9091850178804493,0.2857142857142857
ALL,AUDUSD,SERVER_HOUR_OTHER,300,7,-0.663292194347924,0.14285714285714285
ALL,AUDUSD,SERVER_HOUR_OTHER,600,8,-0.9906744071144526,0.25
ALL,AUDUSD,SERVER_HOUR_OTHER,900,7,-2.4388561748807653,0.14285714285714285
ALL,AUDUSD,SERVER_HOUR_OVERLAP,5,63,-1.0886041251058178,0.0
ALL,AUDUSD,SERVER_HOUR_OVERLAP,10,61,-1.0648844336413048,0.03278688524590164
ALL,AUDUSD,SERVER_HOUR_OVERLAP,30,51,-1.1062697795616778,0.09803921568627451
ALL,AUDUSD,SERVER_HOUR_OVERLAP,60,52,-0.9345592345220213,0.17307692307692307
ALL,AUDUSD,SERVER_HOUR_OVERLAP,120,47,-1.119903811884301,0.1702127659574468
ALL,AUDUSD,SERVER_HOUR_OVERLAP,180,40,-1.1357946271418478,0.175
ALL,AUDUSD,SERVER_HOUR_OVERLAP,300,52,-1.0260015211490279,0.15384615384615385
ALL,AUDUSD,SERVER_HOUR_OVERLAP,600,46,-1.2625342463709388,0.30434782608695654
ALL,AUDUSD,SERVER_HOUR_OVERLAP,900,49,-0.9098480570802367,0.3469387755102041
ALL,AUDUSD,SERVER_HOUR_TOKYO,5,45,-1.0991738032499168,0.0
ALL,AUDUSD,SERVER_HOUR_TOKYO,10,43,-0.9783754034185165,0.0
ALL,AUDUSD,SERVER_HOUR_TOKYO,30,41,-1.0148685227034333,0.04878048780487805
ALL,AUDUSD,SERVER_HOUR_TOKYO,60,46,-0.9575234300198916,0.043478260869565216
ALL,AUDUSD,SERVER_HOUR_TOKYO,120,36,-0.7582876350199903,0.2222222222222222
ALL,AUDUSD,SERVER_HOUR_TOKYO,180,38,-0.856719696683939,0.18421052631578946
ALL,AUDUSD,SERVER_HOUR_TOKYO,300,29,-1.3529318042999103,0.1724137931034483
ALL,AUDUSD,SERVER_HOUR_TOKYO,600,37,-0.9401175596828153,0.1891891891891892
