feature,horizon,train_pearson,train_spearman,test_pearson,test_spearman,abs_consistency
spread_z,12,0.015956723980418253,0.0383004214673916,0.0514622788529885,0.06519094460691079,0.0383004214673916
spread_change_3,3,-0.004060979556015556,-0.031097175368132744,-0.013208566718703721,-0.04157921755232727,0.031097175368132744
high_break_12,12,-0.018500249145853347,-0.026565516657417264,-0.03896246685612227,-0.02842968392707679,0.026565516657417264
spread_z,6,-0.002655988417756259,0.02608717742591539,0.010103384251941924,0.03161492682556936,0.02608717742591539
spread_change_3,6,-0.0006465637627544225,-0.025349988744055692,-0.016090984211525966,-0.03094873117914942,0.025349988744055692
bb_width,12,0.013562641340328557,0.024124595756504382,-0.03918591101225443,-0.03622347909783789,0.024124595756504382
roc_atr_12,12,-0.014392033063082458,-0.02373347666051411,-0.03816914581285039,-0.026173336558267334,0.02373347666051411
adx14,12,0.017708754919700406,0.0241928712369501,-0.02241569662702544,-0.023496420882481897,0.023496420882481897
stoch_k,12,-0.014462626382226396,-0.02358673024511784,-0.03382963681661724,-0.02310505336942094,0.02310505336942094
stoch_d,12,-0.01356393755435919,-0.022064795844700617,-0.036672156691923335,-0.02560108748514577,0.022064795844700617
rsi14,12,-0.011347372668398758,-0.021044612871183657,-0.04179680166287087,-0.02845092279140014,0.021044612871183657
bb_z,12,-0.009847949616742948,-0.02008988962264556,-0.03238302508283166,-0.025701186225419725,0.02008988962264556
high_break_24,12,-0.01329599573423912,-0.019818256987849708,-0.03226200537375739,-0.02636157003687544,0.019818256987849708
close_vs_ema20,12,-0.006892340263081571,-0.019519203824740438,-0.04873285054612491,-0.04021375986025143,0.019519203824740438
high_break_24,6,-0.00987277203576071,-0.018472911535595656,-0.023263255466605223,-0.019308368934704594,0.018472911535595656
high_break_12,6,-0.009962798828164051,-0.01784840673373619,-0.027629885878349695,-0.02252141707795573,0.01784840673373619
low_break_24,3,-0.005818189405025852,-0.017444231171467817,-0.02579698903259938,-0.025831023664285552,0.017444231171467817
close_vs_ema20,3,-0.006907970167968182,-0.01741821651241437,-0.022272562584882066,-0.01972731957738603,0.01741821651241437
ema20_slope_3,12,-0.004895497377389176,-0.017412420244284077,-0.05166904883177629,-0.0431729383419951,0.017412420244284077
close_vs_ema20,6,-0.004438622660677514,-0.017287199537659056,-0.02790925145666618,-0.025474212425508392,0.017287199537659056
range_compression_24,12,0.01465312439315619,0.01702014023815967,-0.0478548872498841,-0.04258868881568162,0.01702014023815967
roc_atr_6,12,-0.008707277257146743,-0.01697909567335577,-0.024421012497053897,-0.016938782927715442,0.016938782927715442
breakout_down_12,3,0.010772522585697665,0.01938961339488034,0.017892055098231555,0.01672474980739638,0.01672474980739638
low_break_12,12,-0.008109814626451665,-0.016485744921181412,-0.029851701012020143,-0.01893698978546645,0.016485744921181412
