"scenario","mode","trades","sum_r","avg_r","median_r","min_r","max_r","stdev_r","p25_r","p75_r","avg_win_r","avg_loss_r","payoff_r"
"A","wave3_start_pullback_only","446","-57.2214","-0.128299103139013","-0.1477","-3.4711","2.6217","0.890784421711181","-1.0014","0.366","0.745904918032787","-0.736585551330799","1.01265211717112"
"B","wave4_continuation_only","356","-58.5867","-0.164569382022472","-0.2961","-1.3","1.7458","0.891666957048918","-1.0011","0.4202","0.829702985074627","-0.764715765765766","1.08498218843937"
"C","abc_completion_reentry_only","601","-57.8805000000002","-0.0963069883527457","-0.1919","-1.6618","3.7222","0.892900441494113","-1","0.4792","0.78850705882353","-0.748409826589595","1.05357657103014"
"D","combined_roadmap_triggers","551","-61.9754999999999","-0.112478221415608","-0.1151","-3.4711","3.7222","0.887512374309743","-1","0.395","0.730066379310345","-0.727518553459119","1.00350207680493"
