"mode","year","trades","win_rate","net_profit","gross_profit","gross_loss","profit_factor_from_trades","sum_r","avg_r","r_profit_factor"
"wave3_start_pullback_only","2025","446","0.408071748878924","-1277.96","3063.58","-4341.54","0.705643619545138","-57.2214","-0.128299103139013","0.704621054913743"
"wave4_continuation_only","2025","356","0.376404494382022","-1317.17","2549.55","-3866.72","0.659357284727107","-58.5867","-0.164569382022472","0.654899158787726"
"abc_completion_reentry_only","2025","601","0.420965058236273","-1386.13","4451.85","-5837.98","0.762566846751787","-57.8805","-0.0963069883527454","0.776479842811232"
"combined_roadmap_triggers","2025","551","0.417422867513612","-1412.68","3648.89","-5061.57","0.72090082721369","-61.9755","-0.112478221415608","0.732114722700452"
