"mode","setup_type","trades","win_rate","net_profit","gross_profit","gross_loss","profit_factor_from_trades","sum_r","avg_r","r_profit_factor"
"wave3_start_pullback_only","wave3_start_pullback","446","0.408071748878924","-1277.96","3063.58","-4341.54","0.705643619545138","-57.2214","-0.128299103139013","0.704621054913743"
"wave4_continuation_only","wave4_continuation","356","0.376404494382022","-1317.17","2549.55","-3866.72","0.659357284727107","-58.5867","-0.164569382022472","0.654899158787726"
"abc_completion_reentry_only","abc_completion_reentry","601","0.420965058236273","-1386.13","4451.85","-5837.98","0.762566846751787","-57.8805","-0.0963069883527454","0.776479842811232"
"combined_roadmap_triggers","wave3_start_pullback","347","0.429394812680115","-959.179999999999","2173.28","-3132.46","0.693793376451735","-42.8318","-0.123434582132565","0.703321509637317"
"combined_roadmap_triggers","abc_completion_reentry","123","0.422764227642276","-73.25","977.83","-1051.08","0.930309776610724","-1.9811","-0.0161065040650406","0.958358819140104"
"combined_roadmap_triggers","wave4_continuation","81","0.358024691358025","-380.25","497.78","-878.03","0.566928237076182","-17.1626","-0.211883950617284","0.564448550031342"
