"mode","month","trades","win_rate","net_profit","gross_profit","gross_loss","profit_factor_from_trades","sum_r","avg_r","r_profit_factor"
"wave3_start_pullback_only","2025-01","342","0.421052631578947","-800.38","2562.05","-3362.43","0.761963817834126","-34.1146","-0.0997502923976608","0.767195268921108"
"wave3_start_pullback_only","2025-02","104","0.365384615384615","-477.58","501.53","-979.11","0.512230495041415","-23.1068","-0.222180769230769","0.51028937407544"
"wave4_continuation_only","2025-01","118","0.466101694915254","65.3099999999999","1186.28","-1120.97","1.058262040911","3.5675","0.0302330508474577","1.0761547558565"
"wave4_continuation_only","2025-02","116","0.362068965517241","-531.36","656.22","-1187.58","0.552569090082353","-22.5514","-0.194408620689655","0.558499579083381"
"wave4_continuation_only","2025-03","122","0.30327868852459","-851.12","707.05","-1558.17","0.453769485999602","-39.6028","-0.324613114754098","0.448755263249469"
"abc_completion_reentry_only","2025-01","144","0.395833333333333","-367.66","1076.69","-1444.35","0.74544951016028","-14.019","-0.0973541666666667","0.775132932863891"
"abc_completion_reentry_only","2025-02","109","0.522935779816514","247.56","1175.56","-928","1.26676724137931","11.4961","0.10546880733945","1.28394055478577"
"abc_completion_reentry_only","2025-03","107","0.420560747663551","-184.49","792.89","-977.38","0.811240254558104","-8.3233","-0.0777878504672897","0.808526839322932"
"abc_completion_reentry_only","2025-04","122","0.483606557377049","-119.83","881.56","-1001.39","0.880336332497828","-4.4184","-0.0362163934426229","0.901370596901647"
"abc_completion_reentry_only","2025-05","108","0.296296296296296","-838.98","513.88","-1352.86","0.379847138654406","-36.9269","-0.341915740740741","0.399163020610455"
"abc_completion_reentry_only","2025-06","11","0.272727272727273","-122.73","11.27","-134","0.0841044776119403","-5.689","-0.517181818181818","0.109939452727756"
"combined_roadmap_triggers","2025-01","419","0.417661097852029","-943.350000000001","2971.55","-3914.9","0.75903599070219","-40.0857","-0.0956699284009546","0.771123789121247"
"combined_roadmap_triggers","2025-02","132","0.416666666666667","-469.33","677.34","-1146.67","0.590701771215781","-21.8898","-0.165831818181818","0.610567608678248"
