"mode","event","count"
"wave3_start_pullback_only","signal","24263"
"wave3_start_pullback_only","order_failed","5"
"wave3_start_pullback_only","order_sent","446"
"wave3_start_pullback_only","blocked","23812"
"wave4_continuation_only","signal","6920"
"wave4_continuation_only","order_sent","356"
"wave4_continuation_only","blocked","6563"
"wave4_continuation_only","order_failed","1"
"abc_completion_reentry_only","signal","7118"
"abc_completion_reentry_only","order_failed","3"
"abc_completion_reentry_only","order_sent","601"
"abc_completion_reentry_only","blocked","6514"
"combined_roadmap_triggers","signal","30653"
"combined_roadmap_triggers","order_failed","7"
"combined_roadmap_triggers","diagnostic","10160"
"combined_roadmap_triggers","order_sent","551"
"combined_roadmap_triggers","blocked","30095"
