"mode","symbol","trades","win_rate","net_profit","gross_profit","gross_loss","profit_factor_from_trades","sum_r","avg_r","r_profit_factor"
"wave3_start_pullback_only","USDJPY","77","0.428571428571429","-259.8","459.66","-719.46","0.638895838545576","-11.4849","-0.149154545454545","0.642935755857335"
"wave3_start_pullback_only","AUDJPY","75","0.36","-131.84","455.32","-587.16","0.775461543701887","-6.2736","-0.083648","0.763324681595944"
"wave3_start_pullback_only","GBPUSD","70","0.442857142857143","-52.47","646.22","-698.69","0.924902317193605","-3.11189999999999","-0.0444557142857142","0.900780517666864"
"wave3_start_pullback_only","EURUSD","71","0.408450704225352","-212.58","563.67","-776.25","0.726144927536232","-9.4175","-0.132640845070423","0.723557833433137"
"wave3_start_pullback_only","EURJPY","75","0.453333333333333","-296.9","376.48","-673.38","0.559089964061897","-12.6644","-0.168858666666667","0.575704986247031"
"wave3_start_pullback_only","GBPJPY","78","0.358974358974359","-324.37","562.23","-886.6","0.634141664786826","-14.2691","-0.182937179487179","0.641221182108707"
"wave4_continuation_only","EURUSD","65","0.323076923076923","-249.16","491.88","-741.04","0.663769836985857","-11.0272","-0.169649230769231","0.655895725220854"
"wave4_continuation_only","GBPUSD","48","0.395833333333333","-158.99","363","-521.99","0.695415620988908","-6.1083","-0.12725625","0.722241421646644"
"wave4_continuation_only","GBPJPY","73","0.383561643835616","-303.75","568.36","-872.11","0.651706780108014","-14.2789","-0.195601369863014","0.637563773891413"
"wave4_continuation_only","USDJPY","52","0.346153846153846","-284.52","324.85","-609.37","0.533091553571722","-12.8895","-0.247875","0.519229693287231"
"wave4_continuation_only","AUDJPY","75","0.453333333333333","-140.09","551.87","-691.96","0.79754610093069","-5.7358","-0.0764773333333333","0.809773650609402"
"wave4_continuation_only","EURJPY","43","0.325581395348837","-180.66","249.59","-430.25","0.580104590354445","-8.547","-0.198767441860465","0.558746089272992"
"abc_completion_reentry_only","GBPJPY","103","0.504854368932039","-78.87","808.68","-887.55","0.91113740070982","-2.4578","-0.0238621359223301","0.938654073671021"
"abc_completion_reentry_only","USDJPY","81","0.530864197530864","74.35","717.29","-642.94","1.11564065076057","3.8368","0.0473679012345679","1.13594248805082"
"abc_completion_reentry_only","GBPUSD","109","0.376146788990826","-268.13","780.05","-1048.18","0.744194699383694","-12.221","-0.112119266055046","0.739942204650015"
"abc_completion_reentry_only","EURUSD","117","0.444444444444444","-54.69","1001.37","-1056.06","0.948213169706267","-1.2636","-0.0108","0.972753853186479"
"abc_completion_reentry_only","AUDJPY","113","0.300884955752212","-801.11","681.26","-1482.37","0.459574869971734","-34.6614","-0.306738053097345","0.465661752577161"
"abc_completion_reentry_only","EURJPY","78","0.397435897435897","-257.68","463.2","-720.88","0.642547996892687","-11.1135","-0.142480769230769","0.657234062239768"
"combined_roadmap_triggers","USDJPY","93","0.440860215053763","-315.61","521.42","-837.03","0.622940635341625","-13.0669","-0.140504301075269","0.653906461062523"
"combined_roadmap_triggers","GBPJPY","91","0.395604395604396","-405.97","495.3","-901.27","0.549557846150432","-18.6885","-0.205368131868132","0.55506643588895"
"combined_roadmap_triggers","AUDJPY","86","0.383720930232558","-205.51","502.05","-707.56","0.70955113347278","-9.0995","-0.105808139534884","0.716777938590348"
"combined_roadmap_triggers","GBPUSD","101","0.465346534653465","131.71","1020.81","-889.1","1.14813856709032","5.347","0.0529405940594059","1.13038919235271"
"combined_roadmap_triggers","EURUSD","99","0.373737373737374","-351.54","689.64","-1041.18","0.662363856393707","-14.953","-0.151040404040404","0.681609900264881"
"combined_roadmap_triggers","EURJPY","81","0.444444444444444","-265.76","419.67","-685.43","0.612272588010446","-11.5146","-0.142155555555556","0.634360799829797"
