"mode","setup_type","fib_confluence","trades","win_rate","net_profit","gross_profit","gross_loss","profit_factor_from_trades","sum_r","avg_r","r_profit_factor"
"wave3_start_pullback_only","wave3_start_pullback","False","346","0.42485549132948","-1091.42","2438.2","-3529.62","0.690782577161281","-47.7886","-0.138117341040462","0.694076405679758"
"wave3_start_pullback_only","wave3_start_pullback","True","100","0.35","-186.54","625.38","-811.92","0.770248300325155","-9.4328","-0.094328","0.748533100868809"
"wave4_continuation_only","wave4_continuation","False","193","0.347150259067358","-808.91","1287.25","-2096.16","0.614099114571407","-36.1594","-0.187354404145078","0.609214308872798"
"wave4_continuation_only","wave4_continuation","True","163","0.411042944785276","-508.26","1262.3","-1770.56","0.712938279414423","-22.4273","-0.137590797546012","0.709629723616562"
"abc_completion_reentry_only","abc_completion_reentry","False","310","0.403225806451613","-1174.63","2083.04","-3257.67","0.639426338456627","-49.3361","-0.159148709677419","0.657635457724976"
"abc_completion_reentry_only","abc_completion_reentry","True","291","0.439862542955326","-211.5","2368.81","-2580.31","0.918033104549454","-8.5444","-0.0293621993127148","0.925601110358411"
"combined_roadmap_triggers","wave3_start_pullback","False","249","0.433734939759036","-798.32","1580.5","-2378.82","0.664405041154858","-35.1216","-0.141050602409639","0.678372742782261"
"combined_roadmap_triggers","wave3_start_pullback","True","98","0.418367346938776","-160.86","592.78","-753.64","0.78655591529112","-7.7102","-0.0786755102040816","0.780782112739328"
"combined_roadmap_triggers","abc_completion_reentry","False","51","0.431372549019608","-23.24","507.17","-530.41","0.956184838144077","-0.5989","-0.011743137254902","0.974957558727849"
"combined_roadmap_triggers","abc_completion_reentry","True","72","0.416666666666667","-50.01","470.66","-520.67","0.903950678932913","-1.3822","-0.0191972222222222","0.94158097387585"
"combined_roadmap_triggers","wave4_continuation","True","58","0.379310344827586","-263.55","366.52","-630.07","0.581713142984113","-12.0753","-0.208194827586207","0.573689060232797"
"combined_roadmap_triggers","wave4_continuation","False","23","0.304347826086957","-116.7","131.26","-247.96","0.529359574124859","-5.0873","-0.221186956521739","0.540824247238068"
