"mode","fib_zone","trades","win_rate","net_profit","gross_profit","gross_loss","profit_factor_from_trades","sum_r","avg_r","r_profit_factor"
"wave3_start_pullback_only","wave2_382_786","204","0.436274509803922","-718.53","1458.09","-2176.62","0.669887256388345","-32.3676","-0.158664705882353","0.664147673917893"
"wave3_start_pullback_only","wave2_other","142","0.408450704225352","-372.89","980.11","-1353","0.72439763488544","-15.421","-0.108598591549296","0.742280618486406"
"wave3_start_pullback_only","wave2_50_618","100","0.35","-186.54","625.38","-811.92","0.770248300325155","-9.4328","-0.094328","0.748533100868809"
"wave4_continuation_only","wave4_shallow","193","0.347150259067358","-808.91","1287.25","-2096.16","0.614099114571407","-36.1594","-0.187354404145078","0.609214308872798"
"wave4_continuation_only","wave4_382","163","0.411042944785276","-508.26","1262.3","-1770.56","0.712938279414423","-22.4273","-0.137590797546012","0.709629723616562"
"abc_completion_reentry_only","abc_other","114","0.324561403508772","-1057.96","447.19","-1505.15","0.297106600671029","-45.8211","-0.401939473684211","0.311637877936585"
"abc_completion_reentry_only","abc_382_886","196","0.448979591836735","-116.67","1635.85","-1752.52","0.933427293269121","-3.515","-0.0179336734693877","0.954667739680624"
"abc_completion_reentry_only","abc_50_786","291","0.439862542955326","-211.5","2368.81","-2580.31","0.918033104549454","-8.5444","-0.0293621993127148","0.925601110358411"
"combined_roadmap_triggers","wave2_382_786","160","0.43125","-669.699999999999","989.62","-1659.32","0.596400935322903","-30.4167","-0.190104375","0.598749683397357"
"combined_roadmap_triggers","abc_other","18","0.222222222222222","-240.08","74.99","-315.07","0.238010600818866","-10.1853","-0.56585","0.24973481835057"
"combined_roadmap_triggers","wave4_382","58","0.379310344827586","-263.55","366.52","-630.07","0.581713142984113","-12.0753","-0.208194827586207","0.573689060232797"
"combined_roadmap_triggers","wave2_50_618","98","0.418367346938776","-160.86","592.78","-753.64","0.78655591529112","-7.7102","-0.0786755102040816","0.780782112739328"
"combined_roadmap_triggers","wave2_other","89","0.438202247191011","-128.62","590.88","-719.5","0.821236970118137","-4.7049","-0.0528640449438202","0.859113217886563"
"combined_roadmap_triggers","abc_382_886","33","0.545454545454545","216.84","432.18","-215.34","2.00696572861521","9.5864","0.29049696969697","1.92713592139113"
"combined_roadmap_triggers","abc_50_786","72","0.416666666666667","-50.01","470.66","-520.67","0.903950678932913","-1.3822","-0.0191972222222222","0.94158097387585"
"combined_roadmap_triggers","wave4_shallow","23","0.304347826086957","-116.7","131.26","-247.96","0.529359574124859","-5.0873","-0.221186956521739","0.540824247238068"
