"mode","failure_type","trades","win_rate","net_profit","gross_profit","gross_loss","profit_factor_from_trades","sum_r","avg_r","r_profit_factor"
"wave3_start_pullback_only","wave3_unconfirmed_too_early","208","0","-3870.11","0","-3870.11","0","-170.7761","-0.821038942307692","0"
"wave3_start_pullback_only","other","183","0.994535519125683","3062.7","3063.58","-0.88","3481.34090909091","136.5006","0.745904918032787","∞"
"wave3_start_pullback_only","target_blocked","50","0","-390.45","0","-390.45","0","-19.1594","-0.383188","0"
"wave3_start_pullback_only","fib_not_aligned","5","0","-80.1","0","-80.1","0","-3.7865","-0.7573","0"
"wave4_continuation_only","target_blocked","114","0","-1526.29","0","-1526.29","0","-68.8582","-0.604019298245614","0"
"wave4_continuation_only","fib_not_aligned","40","0","-896.35","0","-896.35","0","-38.8445","-0.9711125","0"
"wave4_continuation_only","other","134","1","2549.55","2549.55","0","∞","111.1802","0.829702985074627","∞"
"wave4_continuation_only","no_follow_through","37","0","-872.36","0","-872.36","0","-37.7639","-1.02064594594595","0"
"wave4_continuation_only","divergence_against_continuation","31","0","-571.72","0","-571.72","0","-24.3003","-0.78388064516129","0"
"abc_completion_reentry_only","fib_not_aligned","103","0","-2333.86","0","-2333.86","0","-100.7396","-0.978054368932039","0"
"abc_completion_reentry_only","other","255","0.992156862745098","4449.36","4451.85","-2.49","1787.89156626506","201.0693","0.78850705882353","∞"
"abc_completion_reentry_only","target_blocked","173","0","-2055.68","0","-2055.68","0","-95.8547","-0.554073410404624","0"
"abc_completion_reentry_only","no_follow_through","70","0","-1445.95","0","-1445.95","0","-62.3555","-0.890792857142857","0"
"combined_roadmap_triggers","wave3_unconfirmed_too_early","152","0","-2761.04","0","-2761.04","0","-125.7585","-0.827358552631579","0"
"combined_roadmap_triggers","fib_not_aligned","29","0","-580.08","0","-580.08","0","-25.4289","-0.876858620689655","0"
"combined_roadmap_triggers","other","232","0.987068965517241","3646.37","3648.86","-2.49","1465.40562248996","169.3754","0.730066379310345","∞"
"combined_roadmap_triggers","target_blocked","103","0.00970873786407767","-1000","0.03","-1000.03","2.99991000269992E-05","-48.2266","-0.468219417475728","0"
"combined_roadmap_triggers","no_follow_through","26","0","-553.75","0","-553.75","0","-24.5414","-0.9439","0"
"combined_roadmap_triggers","divergence_against_continuation","9","0","-164.18","0","-164.18","0","-7.3955","-0.821722222222222","0"
