"mode","setup_type","room_to_2r_bucket","trades","win_rate","net_profit","gross_profit","gross_loss","profit_factor_from_trades","sum_r","avg_r","r_profit_factor"
"wave3_start_pullback_only","wave3_start_pullback",">=2r","173","0.375722543352601","-699.19","1721.87","-2421.06","0.711205009376058","-30.2657","-0.174946242774566","0.711807112814932"
"wave3_start_pullback_only","wave3_start_pullback","<1r","205","0.414634146341463","-705.15","667.08","-1372.23","0.486128418705319","-31.4827","-0.153574146341463","0.50697504705886"
"wave3_start_pullback_only","wave3_start_pullback","1_to_2r","68","0.470588235294118","126.38","674.63","-548.25","1.23051527587779","4.527","0.0665735294117647","1.18219576687635"
"wave4_continuation_only","wave4_continuation","<1r","176","0.414772727272727","-334.8","950.97","-1285.77","0.739611283511048","-15.0881","-0.0857278409090909","0.739636342301394"
"wave4_continuation_only","wave4_continuation",">=2r","126","0.246031746031746","-1248.11","926.37","-2174.48","0.426019094220227","-53.9371","-0.428072222222222","0.422928330778062"
"wave4_continuation_only","wave4_continuation","1_to_2r","54","0.555555555555556","265.74","672.21","-406.47","1.65377518636062","10.4385","0.193305555555555","1.5688586858784"
"abc_completion_reentry_only","abc_completion_reentry",">=2r","265","0.343396226415094","-1378.07","2403.88","-3781.95","0.635619191158","-58.4954","-0.220737358490566","0.641341769311279"
"abc_completion_reentry_only","abc_completion_reentry","<1r","205","0.507317073170732","252.25","1165.34","-913.09","1.27625973343263","11.7852","0.0574887804878049","1.26982251772075"
"abc_completion_reentry_only","abc_completion_reentry","1_to_2r","131","0.442748091603053","-260.31","882.63","-1142.94","0.772245262218489","-11.1703","-0.085269465648855","0.785915660318415"
"combined_roadmap_triggers","wave3_start_pullback",">=2r","127","0.393700787401575","-437.55","1283.25","-1720.8","0.745728730822873","-19.8817","-0.156548818897638","0.740338627987221"
"combined_roadmap_triggers","wave3_start_pullback","<1r","170","0.482352941176471","-296.16","595.87","-892.03","0.667993228927279","-12.3762","-0.0728011764705882","0.715714469477011"
"combined_roadmap_triggers","wave3_start_pullback","1_to_2r","50","0.34","-225.47","294.16","-519.63","0.56609510613321","-10.5739","-0.211478","0.56430246117459"
"combined_roadmap_triggers","abc_completion_reentry",">=2r","50","0.32","-195.01","486.09","-681.1","0.713683746880047","-8.1322","-0.162644","0.730167894352645"
"combined_roadmap_triggers","abc_completion_reentry","<1r","52","0.557692307692308","191.9","356.22","-164.32","2.16784323271665","9.1951","0.176828846153846","2.12916139648545"
"combined_roadmap_triggers","abc_completion_reentry","1_to_2r","21","0.333333333333333","-70.14","135.52","-205.66","0.658951667801225","-3.044","-0.144952380952381","0.67248391469949"
"combined_roadmap_triggers","wave4_continuation","<1r","41","0.365853658536585","-195.35","116.11","-311.46","0.372792653952353","-9.2125","-0.22469512195122","0.384984612098029"
"combined_roadmap_triggers","wave4_continuation",">=2r","30","0.233333333333333","-281.48","242.38","-523.86","0.462680868934448","-12.0642","-0.40214","0.460130221734947"
"combined_roadmap_triggers","wave4_continuation","1_to_2r","10","0.7","96.58","139.29","-42.71","3.26129712011239","4.1141","0.41141","2.97936011546789"
