"mode","divergence_type","trades","win_rate","net_profit","gross_profit","gross_loss","profit_factor_from_trades","sum_r","avg_r","r_profit_factor"
"wave3_start_pullback_only","none","446","0.408071748878924","-1277.96","3063.58","-4341.54","0.705643619545138","-57.2214","-0.128299103139013","0.704621054913743"
"wave4_continuation_only","none","310","0.383870967741935","-1119","2176","-3295","0.660394537177542","-50.052","-0.161458064516129","0.655921015545836"
"wave4_continuation_only","bullish_rsi","21","0.285714285714286","-130.03","123.63","-253.66","0.487384688165261","-5.54","-0.263809523809524","0.48782427010336"
"wave4_continuation_only","bullish_macd","14","0.5","25.11","185.61","-160.5","1.15644859813084","0.9727","0.0694785714285714","1.14548309901286"
"wave4_continuation_only","bearish_rsi","7","0.285714285714286","-23.53","64.31","-87.84","0.732126593806922","-0.8192","-0.117028571428571","0.775530894643102"
"wave4_continuation_only","bearish_rsi_macd","1","0","-25.8","0","-25.8","0","-1.0661","-1.0661","0"
"wave4_continuation_only","bearish_macd","3","0","-43.92","0","-43.92","0","-2.0821","-0.694033333333333","0"
"abc_completion_reentry_only","none","424","0.424528301886792","-844.82","3140.51","-3985.33","0.788017554380692","-35.5726","-0.0838976415094339","0.798929776397087"
"abc_completion_reentry_only","bullish_rsi","42","0.428571428571429","-171.99","294.7","-466.69","0.631468426578671","-7.1941","-0.171288095238095","0.648306576194294"
"abc_completion_reentry_only","bullish_rsi_macd","38","0.394736842105263","-143.19","278.53","-421.72","0.660461917860192","-5.3126","-0.139805263157895","0.705793746608039"
"abc_completion_reentry_only","bearish_rsi","38","0.473684210526316","7.43999999999998","357.62","-350.18","1.02124621623165","-0.106900000000001","-0.00281315789473686","0.993381706516759"
"abc_completion_reentry_only","bearish_rsi_macd","45","0.355555555555556","-202.28","273.41","-475.69","0.57476507809708","-8.5214","-0.189364444444444","0.594284734852453"
"abc_completion_reentry_only","bearish_macd","7","0.428571428571429","-10.29","45.95","-56.24","0.817034139402561","-0.5339","-0.0762714285714286","0.795150212945555"
"abc_completion_reentry_only","bullish_macd","7","0.428571428571429","-21","61.13","-82.13","0.744307804699866","-0.639","-0.0912857142857143","0.829989889852605"
"combined_roadmap_triggers","none","504","0.418650793650794","-1183.9","3377.87","-4561.77","0.740473544260232","-52.1954","-0.103562301587302","0.750490935617164"
"combined_roadmap_triggers","bullish_rsi_macd","15","0.2","-182.26","59.66","-241.92","0.24661044973545","-7.5947","-0.506313333333333","0.276260994692053"
"combined_roadmap_triggers","bullish_macd","9","0.444444444444444","-18.42","107.07","-125.49","0.853215395649056","-0.7524","-0.0836","0.857828502324175"
"combined_roadmap_triggers","bullish_rsi","9","0.666666666666667","1.82","23.69","-21.87","1.08321902149063","0.2452","0.0272444444444444","1.22272685984195"
"combined_roadmap_triggers","bearish_rsi","10","0.5","-14.79","70.53","-85.32","0.826652601969058","-0.9091","-0.09091","0.775458789240991"
"combined_roadmap_triggers","bearish_rsi_macd","4","0.25","-15.13","10.07","-25.2","0.399603174603175","-0.7691","-0.192275","0.37113654946852"
