"scenario","mode","entry_time","exit_time","strategy","symbol","direction","base_currency","quote_currency","wave_stage","setup_type","wave_tf","fib_zone","divergence_type","m15_confirmation_type","failure_type","wave_size_atr","retracement_ratio","extension_ratio","wave_rule_validity","wave3_break_confirmed","pivot_confirmation_delay_bars","entry_delay_from_pivot","pivot_time","pivot_confirmed_time","room_to_1r","room_to_2r","entry","exit","stop_loss","take_profit","risk_price","result_r","profit","commission","swap","net_profit","volume","reward_r","holding_bars","atr","spread_points","score","exit_reason","position_id"
"A","wave3_start_pullback_only","2025.01.02 16:30:00","2025.01.02 19:21:44","wave3_start_pullback_only","AUDJPY","SHORT","AUD","JPY","possible_wave3_start","wave3_start_pullback","H4","wave2_50_618","none","ma_reclaim","wave3_unconfirmed_too_early","4.1020","0.5531","0.2540","valid_wave2","false","3","3","2025.01.02 00:00:00","2025.01.02 12:00:00","0.8913","0.8913","97.42300000","97.98800000","97.98400000","96.63800000","0.56100000","-1.0071","-21.49","0.00","0.00","-21.49","0.060","1.400","11","0.43857143","28.00","1.3946","DEAL_REASON_SL","22"
"A","wave3_start_pullback_only","2025.01.02 16:30:00","2025.01.02 19:26:27","wave3_start_pullback_only","USDJPY","SHORT","USD","JPY","possible_wave3_start","wave3_start_pullback","H4","wave2_other","none","candle_reversal","wave3_unconfirmed_too_early","4.2706","0.8577","0.4636","valid_wave2","false","3","3","2025.01.02 00:00:00","2025.01.02 12:00:00","0.6722","0.6722","156.74900000","157.84600000","157.84100000","155.22000000","1.09200000","-1.0046","-20.85","0.00","0.00","-20.85","0.030","1.400","11","0.47885714","18.00","1.0336","DEAL_REASON_SL","20"
"A","wave3_start_pullback_only","2025.01.02 19:45:00","2025.01.03 03:45:02","wave3_start_pullback_only","GBPJPY","SHORT","GBP","JPY","possible_wave3_start","wave3_start_pullback","H4","wave2_50_618","none","candle_reversal","target_blocked","4.2237","0.5551","0.9321","valid_wave2","true","3","3","2025.01.02 00:00:00","2025.01.02 12:00:00","0.2343","0.2343","194.83300000","194.89700000","197.62000000","190.93100000","2.78700000","-0.0230","-0.41","0.00","-0.14","-0.55","0.010","1.400","32","0.76000000","38.00","1.5617","DEAL_REASON_EXPERT","26"
"A","wave3_start_pullback_only","2025.01.02 20:00:00","2025.01.03 04:00:00","wave3_start_pullback_only","AUDJPY","SHORT","AUD","JPY","possible_wave3_start","wave3_start_pullback","H4","wave2_50_618","none","ma_reclaim","other","4.1020","0.5531","0.1151","valid_wave2","false","3","4","2025.01.02 00:00:00","2025.01.02 12:00:00","2.9590","2.9590","97.71600000","97.71300000","97.98400000","97.34100000","0.26800000","0.0112","0.27","0.00","-1.15","-0.88","0.140","1.400","32","0.43857143","28.00","1.4979","DEAL_REASON_EXPERT","27"
"A","wave3_start_pullback_only","2025.01.02 20:30:00","2025.01.03 04:30:00","wave3_start_pullback_only","USDJPY","SHORT","USD","JPY","possible_wave3_start","wave3_start_pullback","H4","wave2_other","none","ma_reclaim","other","4.2706","0.8577","0.1012","valid_wave2","false","3","4","2025.01.02 00:00:00","2025.01.02 12:00:00","5.3183","5.3183","157.55200000","157.31700000","157.84100000","157.14800000","0.28900000","0.8131","19.42","0.00","-1.45","17.97","0.130","1.400","32","0.47885714","16.00","1.1500","DEAL_REASON_EXPERT","28"
"A","wave3_start_pullback_only","2025.01.03 09:00:00","2025.01.03 09:10:30","wave3_start_pullback_only","EURJPY","LONG","EUR","JPY","possible_wave3_start","wave3_start_pullback","H1","wave2_other","none","ma_reclaim","wave3_unconfirmed_too_early","2.8177","0.3406","0.1449","valid_wave2","false","3","3","2025.01.03 05:00:00","2025.01.03 08:00:00","10.0939","10.0939","161.56600000","161.37700000","161.38500000","161.82000000","0.18100000","-1.0442","-25.27","0.00","0.00","-25.27","0.210","1.400","0","0.29385714","30.00","1.1500","DEAL_REASON_SL","35"
"A","wave3_start_pullback_only","2025.01.03 10:45:00","2025.01.03 10:53:27","wave3_start_pullback_only","EURUSD","SHORT","EUR","USD","possible_wave3_start","wave3_start_pullback","H1","wave2_other","none","ma_reclaim","wave3_unconfirmed_too_early","9.4758","0.3342","0.0405","valid_wave2","false","3","5","2025.01.03 04:00:00","2025.01.03 07:00:00","9.5179","9.5179","1.02768000","1.02829000","1.02824000","1.02690000","0.00056000","-1.0893","-26.84","0.00","0.00","-26.84","0.440","1.400","0","0.00159143","18.00","1.1500","DEAL_REASON_SL","38"
"A","wave3_start_pullback_only","2025.01.03 04:00:00","2025.01.03 12:00:00","wave3_start_pullback_only","GBPJPY","SHORT","GBP","JPY","possible_wave3_start","wave3_start_pullback","H4","wave2_50_618","none","ma_reclaim","target_blocked","4.2237","0.5551","0.8498","valid_wave2","true","3","6","2025.01.02 00:00:00","2025.01.02 12:00:00","0.2108","0.2108","194.77900000","195.10900000","197.62000000","190.80200000","2.84100000","-0.1162","-2.10","0.00","0.00","-2.10","0.010","1.400","32","0.76000000","38.00","1.5605","DEAL_REASON_EXPERT","31"
"A","wave3_start_pullback_only","2025.01.03 04:15:00","2025.01.03 12:15:00","wave3_start_pullback_only","AUDJPY","LONG","AUD","JPY","possible_wave3_start","wave3_start_pullback","H4","wave2_other","none","candle_reversal","wave3_unconfirmed_too_early","2.1600","0.8784","0.6472","valid_wave2","false","3","4","2025.01.02 08:00:00","2025.01.02 20:00:00","0.3632","0.3632","97.74600000","97.72600000","96.97500000","98.82600000","0.77100000","-0.0259","-0.64","0.00","0.00","-0.64","0.050","1.400","32","0.46064286","30.00","1.0182","DEAL_REASON_EXPERT","32"
"A","wave3_start_pullback_only","2025.01.03 05:00:00","2025.01.03 13:00:00","wave3_start_pullback_only","USDJPY","LONG","USD","JPY","possible_wave3_start","wave3_start_pullback","H4","wave2_382_786","none","ma_reclaim","other","3.2842","0.7657","0.4812","valid_wave2","false","3","4","2025.01.02 08:00:00","2025.01.02 20:00:00","0.5271","0.5271","157.32500000","157.36500000","156.34600000","158.69600000","0.97900000","0.0409","0.76","0.00","0.00","0.76","0.030","1.400","32","0.53407143","22.00","1.0264","DEAL_REASON_EXPERT","34"
"A","wave3_start_pullback_only","2025.01.03 12:15:00","2025.01.03 13:12:47","wave3_start_pullback_only","GBPJPY","SHORT","GBP","JPY","possible_wave3_start","wave3_start_pullback","H1","wave2_382_786","none","ma_reclaim","wave3_unconfirmed_too_early","1.7934","0.7417","0.1039","valid_wave2","false","3","6","2025.01.03 05:00:00","2025.01.03 08:00:00","3.1909","3.1909","194.94900000","195.19300000","195.19000000","194.61100000","0.24100000","-1.0124","-24.81","0.00","0.00","-24.81","0.160","1.400","3","0.35407143","38.00","1.1500","DEAL_REASON_SL","42"
"A","wave3_start_pullback_only","2025.01.03 09:30:00","2025.01.03 13:19:04","wave3_start_pullback_only","EURJPY","LONG","EUR","JPY","possible_wave3_start","wave3_start_pullback","H1","wave2_other","none","ma_reclaim","other","2.8177","0.3406","0.1449","valid_wave2","false","3","3","2025.01.03 05:00:00","2025.01.03 08:00:00","7.7686","7.7686","161.61400000","161.93600000","161.38500000","161.93500000","0.22900000","1.4061","32.74","0.00","0.00","32.74","0.160","1.400","15","0.29385714","30.00","1.1500","DEAL_REASON_TP","37"
"A","wave3_start_pullback_only","2025.01.03 14:15:00","2025.01.03 17:14:30","wave3_start_pullback_only","USDJPY","SHORT","USD","JPY","possible_wave3_start","wave3_start_pullback","H1","wave2_other","none","candle_reversal","wave3_unconfirmed_too_early","2.3671","0.9190","0.4238","valid_wave2","false","3","3","2025.01.03 10:00:00","2025.01.03 13:00:00","3.2324","3.2324","157.20500000","157.44600000","157.44600000","156.86800000","0.24100000","-1.0000","-24.49","0.00","0.00","-24.49","0.160","1.400","11","0.17742857","17.00","1.1500","DEAL_REASON_SL","47"
"A","wave3_start_pullback_only","2025.01.03 17:15:00","2025.01.03 18:32:26","wave3_start_pullback_only","GBPUSD","SHORT","GBP","USD","possible_wave3_start","wave3_start_pullback","H1","wave2_other","none","ma_reclaim","wave3_unconfirmed_too_early","14.5721","0.3432","0.0286","valid_wave2","false","3","3","2025.01.03 13:00:00","2025.01.03 16:00:00","2.0550","2.0550","1.23959000","1.24177000","1.24177000","1.23653000","0.00218000","-1.0000","-23.98","0.00","0.00","-23.98","0.110","1.400","5","0.00129357","20.00","1.1028","DEAL_REASON_SL","49"
"A","wave3_start_pullback_only","2025.01.03 18:45:00","2025.01.03 19:15:31","wave3_start_pullback_only","USDJPY","SHORT","USD","JPY","possible_wave3_start","wave3_start_pullback","H1","wave2_other","none","ma_reclaim","other","2.3671","0.9190","0.0619","valid_wave2","false","3","7","2025.01.03 10:00:00","2025.01.03 13:00:00","3.4348","3.4348","157.21600000","156.89500000","157.44600000","156.89500000","0.23000000","1.3957","32.74","0.00","0.00","32.74","0.160","1.400","2","0.17742857","18.00","1.1500","DEAL_REASON_TP","51"
"A","wave3_start_pullback_only","2025.01.03 13:30:00","2025.01.03 21:30:00","wave3_start_pullback_only","EURJPY","LONG","EUR","JPY","possible_wave3_start","wave3_start_pullback","H1","wave2_382_786","none","micro_bos","fib_not_aligned","4.2965","0.4034","0.4952","valid_wave2","true","3","3","2025.01.03 09:00:00","2025.01.03 12:00:00","2.2931","2.2931","161.96900000","161.87800000","161.34800000","162.83800000","0.62100000","-0.1465","-3.48","0.00","0.00","-3.48","0.060","1.400","32","0.19271429","30.00","1.3147","DEAL_REASON_EXPERT","46"
"A","wave3_start_pullback_only","2025.01.03 21:15:00","2025.01.06 05:15:00","wave3_start_pullback_only","GBPUSD","LONG","GBP","USD","possible_wave3_start","wave3_start_pullback","H1","wave2_382_786","none","ma_reclaim","other","4.2052","0.4451","0.4961","valid_wave2","true","3","3","2025.01.03 17:00:00","2025.01.03 20:00:00","2.8532","2.8532","1.24249000","1.24364000","1.23847000","1.24812000","0.00402000","0.2861","6.90","0.00","-0.07","6.83","0.060","1.400","32","0.00153857","20.00","1.3427","DEAL_REASON_EXPERT","53"
"A","wave3_start_pullback_only","2025.01.03 21:30:00","2025.01.06 05:30:00","wave3_start_pullback_only","EURUSD","LONG","EUR","USD","possible_wave3_start","wave3_start_pullback","H1","wave2_other","none","ma_reclaim","other","3.1306","0.7932","0.5864","valid_wave2","false","3","3","2025.01.03 17:00:00","2025.01.03 20:00:00","2.0116","2.0116","1.03049000","1.03147000","1.02704000","1.03532000","0.00345000","0.2841","6.86","0.00","-0.42","6.44","0.070","1.400","32","0.00131286","18.00","1.1006","DEAL_REASON_EXPERT","55"
"A","wave3_start_pullback_only","2025.01.03 23:00:00","2025.01.06 07:00:00","wave3_start_pullback_only","EURJPY","LONG","EUR","JPY","possible_wave3_start","wave3_start_pullback","H1","wave2_382_786","none","micro_bos","other","2.9910","0.6545","0.7595","valid_wave2","true","3","3","2025.01.03 19:00:00","2025.01.03 22:00:00","1.9267","1.9267","162.16700000","162.67700000","161.58000000","162.98900000","0.58700000","0.8688","19.51","0.00","0.06","19.57","0.060","1.400","32","0.22935714","32.00","1.2963","DEAL_REASON_EXPERT","56"
"A","wave3_start_pullback_only","2025.01.03 23:00:00","2025.01.06 07:00:00","wave3_start_pullback_only","AUDJPY","LONG","AUD","JPY","possible_wave3_start","wave3_start_pullback","H1","wave2_other","none","micro_bos","other","2.7848","0.9154","0.7438","valid_wave2","false","3","3","2025.01.03 19:00:00","2025.01.03 22:00:00","0.5510","0.5510","97.83700000","98.13300000","97.49400000","98.31700000","0.34300000","0.8630","20.76","0.00","0.19","20.95","0.110","1.400","32","0.14435714","28.00","1.0276","DEAL_REASON_EXPERT","57"
"A","wave3_start_pullback_only","2025.01.06 06:30:00","2025.01.06 10:29:33","wave3_start_pullback_only","GBPUSD","LONG","GBP","USD","possible_wave3_start","wave3_start_pullback","H1","wave2_382_786","none","candle_reversal","other","2.8257","0.4078","0.4447","valid_wave2","true","3","5","2025.01.06 00:00:00","2025.01.06 03:00:00","3.9496","3.9496","1.24377000","1.24739000","1.24119000","1.24739000","0.00258000","1.4031","32.58","0.00","0.00","32.58","0.090","1.400","15","0.00163143","20.00","1.3500","DEAL_REASON_TP","61"
"A","wave3_start_pullback_only","2025.01.06 06:00:00","2025.01.06 11:03:59","wave3_start_pullback_only","EURUSD","LONG","EUR","USD","possible_wave3_start","wave3_start_pullback","H1","wave2_382_786","none","candle_reversal","other","2.8946","0.3951","0.5722","valid_wave2","true","3","3","2025.01.06 02:00:00","2025.01.06 05:00:00","2.2903","2.2903","1.03175000","1.03524000","1.02927000","1.03522000","0.00248000","1.4073","31.41","0.00","0.00","31.41","0.090","1.400","20","0.00126786","18.00","1.3145","DEAL_REASON_TP","60"
"A","wave3_start_pullback_only","2025.01.06 10:15:00","2025.01.06 14:39:17","wave3_start_pullback_only","USDJPY","LONG","USD","JPY","possible_wave3_start","wave3_start_pullback","H4","wave2_382_786","none","ma_reclaim","wave3_unconfirmed_too_early","2.6141","0.6905","0.6410","valid_wave2","false","3","3","2025.01.03 16:00:00","2025.01.06 04:00:00","0.1652","0.1652","157.69100000","156.77600000","156.78300000","158.96200000","0.90800000","-1.0077","-23.35","0.00","0.00","-23.35","0.040","1.400","17","0.54128571","19.00","1.0083","DEAL_REASON_SL","65"
"A","wave3_start_pullback_only","2025.01.06 07:15:04","2025.01.06 15:15:00","wave3_start_pullback_only","AUDJPY","LONG","AUD","JPY","possible_wave3_start","wave3_start_pullback","H4","wave2_50_618","none","candle_reversal","other","2.3968","0.5540","0.6680","valid_wave2","true","3","4","2025.01.03 08:00:00","2025.01.03 20:00:00","0.1284","0.1284","98.18400000","98.51500000","97.42100000","99.25300000","0.76300000","0.4338","10.56","0.00","0.00","10.56","0.050","1.400","32","0.40971429","28.00","1.5564","DEAL_REASON_EXPERT","64"
"A","wave3_start_pullback_only","2025.01.06 16:15:00","2025.01.06 16:15:45","wave3_start_pullback_only","USDJPY","LONG","USD","JPY","possible_wave3_start","wave3_start_pullback","H1","wave2_other","none","ma_reclaim","other","5.6699","0.3103","0.9592","valid_wave2","false","3","6","2025.01.06 09:00:00","2025.01.06 12:00:00","19.3729","19.3729","156.81200000","156.91500000","156.75300000","156.89500000","0.05900000","1.7458","43.32","0.00","0.00","43.32","0.660","1.400","0","0.16878571","18.00","1.1500","DEAL_REASON_TP","72"
"A","wave3_start_pullback_only","2025.01.06 16:30:00","2025.01.06 16:30:22","wave3_start_pullback_only","USDJPY","LONG","USD","JPY","possible_wave3_start","wave3_start_pullback","H1","wave2_other","none","micro_bos","wave3_unconfirmed_too_early","5.6699","0.3103","0.9592","valid_wave2","false","3","6","2025.01.06 09:00:00","2025.01.06 12:00:00","13.0000","13.0000","157.18800000","157.11400000","157.12900000","157.27100000","0.05900000","-1.2542","-31.09","0.00","0.00","-31.09","0.660","1.400","0","0.16878571","19.00","1.1500","DEAL_REASON_SL","74"
"A","wave3_start_pullback_only","2025.01.06 10:30:00","2025.01.06 18:30:01","wave3_start_pullback_only","GBPUSD","LONG","GBP","USD","possible_wave3_start","wave3_start_pullback","H1","wave2_382_786","none","micro_bos","other","2.8257","0.4078","0.8113","valid_wave2","true","3","9","2025.01.06 00:00:00","2025.01.06 03:00:00","0.8721","0.8721","1.24768000","1.25224000","1.24119000","1.25677000","0.00649000","0.7026","13.68","0.00","0.00","13.68","0.030","1.400","32","0.00163143","20.00","1.2436","DEAL_REASON_EXPERT","67"
"A","wave3_start_pullback_only","2025.01.06 15:45:00","2025.01.06 23:45:01","wave3_start_pullback_only","AUDJPY","LONG","AUD","JPY","possible_wave3_start","wave3_start_pullback","H4","wave2_50_618","none","candle_reversal","target_blocked","2.3968","0.5540","1.0397","valid_wave2","true","3","6","2025.01.03 08:00:00","2025.01.03 20:00:00","0.2845","0.2845","98.57400000","98.39800000","97.42100000","100.18900000","1.15300000","-0.1526","-3.35","0.00","0.00","-3.35","0.030","1.400","32","0.40971429","28.00","1.5642","DEAL_REASON_EXPERT","71"
"A","wave3_start_pullback_only","2025.01.06 17:15:00","2025.01.07 01:15:00","wave3_start_pullback_only","USDJPY","LONG","USD","JPY","possible_wave3_start","wave3_start_pullback","H4","wave2_382_786","none","candle_reversal","other","2.6141","0.6905","0.1823","valid_wave2","false","3","5","2025.01.03 16:00:00","2025.01.06 04:00:00","0.8086","0.8086","157.43100000","157.75900000","156.78300000","158.33800000","0.64800000","0.5062","12.47","0.00","0.29","12.76","0.060","1.400","32","0.54128571","18.00","1.0404","DEAL_REASON_EXPERT","76"
"A","wave3_start_pullback_only","2025.01.06 20:15:04","2025.01.07 04:15:01","wave3_start_pullback_only","EURJPY","LONG","EUR","JPY","possible_wave3_start","wave3_start_pullback","H1","wave2_50_618","none","ma_reclaim","other","5.9602","0.5956","0.4245","valid_wave2","false","3","3","2025.01.06 16:00:00","2025.01.06 19:00:00","0.2953","0.2953","163.67100000","164.27700000","162.52300000","165.27900000","1.14800000","0.5279","11.49","0.00","0.03","11.52","0.030","1.400","32","0.40200000","30.00","1.3648","DEAL_REASON_EXPERT","78"
"A","wave3_start_pullback_only","2025.01.07 01:15:00","2025.01.07 09:15:00","wave3_start_pullback_only","USDJPY","LONG","USD","JPY","possible_wave3_start","wave3_start_pullback","H4","wave2_382_786","none","micro_bos","wave3_unconfirmed_too_early","2.6141","0.6905","0.5435","valid_wave2","false","3","7","2025.01.03 16:00:00","2025.01.06 04:00:00","0.1791","0.1791","157.77700000","157.69200000","156.78300000","159.16900000","0.99400000","-0.0855","-1.62","0.00","0.00","-1.62","0.030","1.400","32","0.54128571","18.00","1.0090","DEAL_REASON_EXPERT","81"
"A","wave3_start_pullback_only","2025.01.07 01:15:00","2025.01.07 09:15:00","wave3_start_pullback_only","AUDJPY","LONG","AUD","JPY","possible_wave3_start","wave3_start_pullback","H4","wave2_50_618","none","ma_reclaim","other","2.3968","0.5540","0.9389","valid_wave2","true","3","9","2025.01.03 08:00:00","2025.01.03 20:00:00","0.4159","0.4159","98.46700000","98.88900000","97.42100000","99.93200000","1.04600000","0.4034","8.03","0.00","0.00","8.03","0.030","1.400","32","0.40971429","28.00","1.5708","DEAL_REASON_EXPERT","82"
"A","wave3_start_pullback_only","2025.01.07 07:15:00","2025.01.07 11:00:01","wave3_start_pullback_only","EURUSD","LONG","EUR","USD","possible_wave3_start","wave3_start_pullback","H1","wave2_382_786","none","candle_reversal","other","6.4847","0.4698","0.1209","valid_wave2","false","3","3","2025.01.07 03:00:00","2025.01.07 06:00:00","1.9041","1.9041","1.03943000","1.04249000","1.03724000","1.04249000","0.00219000","1.3973","33.66","0.00","0.00","33.66","0.110","1.400","15","0.00198929","18.00","1.0952","DEAL_REASON_TP","86"
"A","wave3_start_pullback_only","2025.01.07 04:30:02","2025.01.07 12:30:00","wave3_start_pullback_only","EURJPY","LONG","EUR","JPY","possible_wave3_start","wave3_start_pullback","H1","wave2_other","none","candle_reversal","target_blocked","3.1025","0.2751","0.6838","valid_wave2","true","3","3","2025.01.07 00:00:00","2025.01.07 03:00:00","0.0000","0.0000","164.37100000","164.35800000","163.42400000","165.69700000","0.94700000","-0.0137","-0.33","0.00","0.00","-0.33","0.040","1.400","32","0.40064286","30.00","1.2000","DEAL_REASON_EXPERT","84"
"A","wave3_start_pullback_only","2025.01.07 06:00:00","2025.01.07 14:00:02","wave3_start_pullback_only","GBPUSD","LONG","GBP","USD","possible_wave3_start","wave3_start_pullback","H1","wave2_other","none","micro_bos","other","5.1903","0.3446","0.2106","valid_wave2","false","3","3","2025.01.07 02:00:00","2025.01.07 05:00:00","0.4696","0.4696","1.25339000","1.25389000","1.24994000","1.25822000","0.00345000","0.1449","3.50","0.00","0.00","3.50","0.070","1.400","32","0.00261643","20.00","1.0235","DEAL_REASON_EXPERT","85"
"A","wave3_start_pullback_only","2025.01.07 14:00:02","2025.01.07 16:03:25","wave3_start_pullback_only","EURJPY","LONG","EUR","JPY","possible_wave3_start","wave3_start_pullback","H1","wave2_382_786","none","candle_reversal","wave3_unconfirmed_too_early","4.0109","0.6622","0.4849","valid_wave2","false","3","3","2025.01.07 10:00:00","2025.01.07 13:00:00","0.5505","0.5505","164.25800000","163.75300000","163.75300000","164.96400000","0.50500000","-1.0000","-22.42","0.00","0.00","-22.42","0.070","1.400","8","0.22364286","31.00","1.0275","DEAL_REASON_SL","94"
"A","wave3_start_pullback_only","2025.01.07 14:00:02","2025.01.07 17:00:02","wave3_start_pullback_only","GBPUSD","SHORT","GBP","USD","possible_wave3_start","wave3_start_pullback","H4","wave2_other","none","candle_reversal","other","5.3535","0.9162","0.0576","valid_wave2","false","3","5","2025.01.06 12:00:00","2025.01.07 00:00:00","8.7803","8.7803","1.25389000","1.25141000","1.25562000","1.25147000","0.00173000","1.4335","34.72","0.00","0.00","34.72","0.140","1.400","12","0.00405714","20.00","1.1500","DEAL_REASON_TP","95"
"A","wave3_start_pullback_only","2025.01.07 11:15:00","2025.01.07 17:00:30","wave3_start_pullback_only","EURUSD","LONG","EUR","USD","possible_wave3_start","wave3_start_pullback","H1","wave2_382_786","none","micro_bos","wave3_unconfirmed_too_early","6.4847","0.4698","0.3806","valid_wave2","false","3","7","2025.01.07 03:00:00","2025.01.07 06:00:00","0.1585","0.1585","1.04273000","1.03718000","1.03724000","1.05041000","0.00549000","-1.0109","-22.20","0.00","0.00","-22.20","0.040","1.400","23","0.00198929","18.00","1.0079","DEAL_REASON_SL","91"
"A","wave3_start_pullback_only","2025.01.07 16:30:00","2025.01.07 17:04:59","wave3_start_pullback_only","USDJPY","LONG","USD","JPY","possible_wave3_start","wave3_start_pullback","H1","wave2_382_786","none","candle_reversal","other","9.1969","0.4777","0.1354","valid_wave2","false","3","4","2025.01.07 11:00:00","2025.01.07 14:00:00","1.7474","1.7474","157.72400000","158.27600000","157.33200000","158.27200000","0.39200000","1.4082","34.88","0.00","0.00","34.88","0.100","1.400","2","0.23692857","18.00","1.0874","DEAL_REASON_TP","98"
