"scenario","mode","signals","diagnostic_signals","wave5_exhaustion_diagnostics","orders_sent","orders_failed","blocked","closed_trades","mt5_total_trades","net_profit","gross_profit","gross_loss","profit_factor","expected_payoff","balance_max_dd","equity_max_dd","recovery_factor","avg_r","r_profit_factor","win_rate_from_trades","final_equity","peak_equity","daily_stopped","drawdown_stopped","pivot_future_reference_policy","pivot_confirmation_delay_bars","single_setup_candidate_gate","passed_trade_count","passed_pf_floor","passed_avg_r","passed_net","passed_dd_stop","passed_direction_balance","passed_currency_concentration","passed_2025_shallow_gate","promoted_to_3y_oos","failed_conditions"
"A","wave3_start_pullback_only","24263","0","0","446","5","23812","446","446","-1277.96","3063.58","-4341.54","0.71","-2.87","1498.12","1546.01","-0.83","-0.128299103139013","0.704621054913743","0.408071748878924","8722.04","10262.63","false","true","confirmed_pivots_only_no_repaint_zigzag","3","False","True","False","False","False","False","False","False","False","False","pf_lt_1.05;avg_r_le_0;net_le_0;dd_stopped"
"B","wave4_continuation_only","6920","0","0","356","1","6563","356","356","-1317.17","2549.55","-3866.72","0.66","-3.7","1524.15","1535.32","-0.86","-0.164569382022472","0.654899158787726","0.376404494382022","8682.83","10214.58","false","true","confirmed_pivots_only_no_repaint_zigzag","3","False","True","False","False","False","False","False","False","False","False","pf_lt_1.05;avg_r_le_0;net_le_0;dd_stopped"
"C","abc_completion_reentry_only","7118","0","0","601","3","6514","601","601","-1386.13","4451.85","-5837.98","0.76","-2.31","1528.34","1535.54","-0.9","-0.0963069883527454","0.776479842811232","0.420965058236273","8613.87","10149.78","false","true","confirmed_pivots_only_no_repaint_zigzag","3","False","True","False","False","False","False","False","False","False","False","pf_lt_1.05;avg_r_le_0;net_le_0;dd_stopped"
"D","combined_roadmap_triggers","30653","10160","10160","551","7","30095","551","551","-1412.68","3648.89","-5061.57","0.72","-2.56","1495.8","1496.78","-0.94","-0.112478221415608","0.732114722700452","0.417422867513612","8587.32","10006.86","false","true","confirmed_pivots_only_no_repaint_zigzag","3","False","True","False","False","False","False","False","False","False","False","pf_lt_1.05;avg_r_le_0;net_le_0;dd_stopped;direction_balance_failed;currency_concentration_or_negative_net"
