"mode","wave_stage","event","count"
"wave3_start_pullback_only","possible_wave3_start","signal","24263"
"wave3_start_pullback_only","possible_wave3_start","order_failed","5"
"wave3_start_pullback_only","possible_wave3_start","order_sent","446"
"wave3_start_pullback_only","possible_wave3_start","blocked","23812"
"wave4_continuation_only","possible_wave4_pullback","signal","6920"
"wave4_continuation_only","possible_wave4_pullback","order_sent","356"
"wave4_continuation_only","possible_wave4_pullback","blocked","6563"
"wave4_continuation_only","possible_wave4_pullback","order_failed","1"
"abc_completion_reentry_only","possible_abc_completion","signal","7118"
"abc_completion_reentry_only","possible_abc_completion","order_failed","3"
"abc_completion_reentry_only","possible_abc_completion","order_sent","601"
"abc_completion_reentry_only","possible_abc_completion","blocked","6514"
"combined_roadmap_triggers","possible_wave3_start","signal","20134"
"combined_roadmap_triggers","possible_wave3_start","order_failed","5"
"combined_roadmap_triggers","possible_wave5_exhaustion","diagnostic","10160"
"combined_roadmap_triggers","possible_abc_completion","signal","6131"
"combined_roadmap_triggers","possible_abc_completion","order_failed","2"
"combined_roadmap_triggers","possible_wave3_start","order_sent","347"
"combined_roadmap_triggers","possible_abc_completion","order_sent","123"
"combined_roadmap_triggers","possible_wave3_start","blocked","19782"
"combined_roadmap_triggers","possible_wave4_pullback","signal","4388"
"combined_roadmap_triggers","possible_wave4_pullback","order_sent","81"
"combined_roadmap_triggers","possible_wave4_pullback","blocked","4307"
"combined_roadmap_triggers","possible_abc_completion","blocked","6006"
