horizon_seconds,feature,kind,accepted_n,excluded_n,accepted_mean,excluded_mean,effect,threshold,major
300,severity,CONTINUOUS,1204,1530,3.2322352098049003,2.947248442641242,0.2122576940007724,0.5,False
300,anchor_spread,CONTINUOUS,1204,1530,0.007530598006644751,0.007058699346405359,0.044508755289385894,0.5,False
300,pre_m1_rms,CONTINUOUS,1204,1530,0.00017135273745182722,0.0001333470843254902,0.44986889508495365,0.5,False
300,symbol,CATEGORICAL_MAX_SHARE_DELTA,1204,1530,,,0.033056478405315615,0.2,False
300,server_hour,CATEGORICAL_MAX_SHARE_DELTA,1204,1530,,,0.07296484485266976,0.2,False
600,severity,CONTINUOUS,1209,1525,3.2385566187971877,2.941302529652721,0.22150379260819314,0.5,False
600,anchor_spread,CONTINUOUS,1209,1525,0.007438420181969091,0.007130229508196619,0.029064001245563093,0.5,False
600,pre_m1_rms,CONTINUOUS,1209,1525,0.00017287697176095946,0.00013201408265639344,0.4855962870181504,0.5,False
600,symbol,CATEGORICAL_MAX_SHARE_DELTA,1209,1525,,,0.046131066183948244,0.2,False
600,server_hour,CATEGORICAL_MAX_SHARE_DELTA,1209,1525,,,0.060485159120801636,0.2,False
900,severity,CONTINUOUS,1185,1549,3.166644129819325,3.0009218954230463,0.12297747928114267,0.5,False
900,anchor_spread,CONTINUOUS,1185,1549,0.007790236286920177,0.006865861846352529,0.08724577034079439,0.5,False
900,pre_m1_rms,CONTINUOUS,1185,1549,0.00016780164298396623,0.0001365298824880568,0.36719084605608354,0.5,False
900,symbol,CATEGORICAL_MAX_SHARE_DELTA,1185,1549,,,0.054763519679226824,0.2,False
900,server_hour,CATEGORICAL_MAX_SHARE_DELTA,1185,1549,,,0.07330331532797803,0.2,False
