stage,horizon_seconds,reason,episodes
ALL_TO_PRIMARY,0,PRIMARY_POPULATION,2734
ALL_TO_PRIMARY,0,FALLBACK_CONTAMINATION,417
PRIMARY_TO_HORIZON,300,ELIGIBLE,1204
PRIMARY_TO_HORIZON,300,STALE_QUOTE,1530
PRIMARY_TO_HORIZON,600,ELIGIBLE,1209
PRIMARY_TO_HORIZON,600,STALE_QUOTE,1525
PRIMARY_TO_HORIZON,900,ELIGIBLE,1185
PRIMARY_TO_HORIZON,900,STALE_QUOTE,1549
