clock,horizon_seconds,episodes,market_clusters,server_days,actual_bidask_mean,actual_bidask_median,positive_fraction,ci_low,ci_high,p_raw,positive_folds,folds,all_loso_positive,stress_125_mean,p_holm,candidate_gate
CONFIRMED,300,532,532,21,-0.006737763157894839,-0.00019999999999997797,0.34210526315789475,-0.0118280727507254,-0.0023242896136575673,0.9994290964650018,0,5,False,-0.008498940319548728,1.0,False
CONFIRMED,600,550,550,21,-0.006609963636363448,-0.0002500000000000835,0.37636363636363634,-0.011434131646351516,-0.001955524549348721,0.9875481788263316,1,5,False,-0.008364306818181086,1.0,False
CONFIRMED,900,526,526,21,-0.005929391634981306,-0.0003049999999999442,0.37072243346007605,-0.013376080180660603,0.00267858814232911,0.9608808024264247,1,5,False,-0.007754270437262653,1.0,False
CONFIRMED_PLUS_30S,300,532,532,21,-0.007160357142857193,-0.00023499999999998522,0.32894736842105265,-0.012216097664577565,-0.003176693099529813,0.9998163062949996,0,5,False,-0.008916134868421017,1.0,False
CONFIRMED_PLUS_30S,600,550,550,21,-0.0075888545454543856,-0.00025999999999992696,0.36727272727272725,-0.012685505310054798,-0.002355061802327469,0.9953144279664916,2,5,False,-0.00934229772727176,1.0,False
CONFIRMED_PLUS_30S,900,526,526,21,-0.006372851711026859,-0.00026500000000007073,0.37832699619771865,-0.013976477977057061,0.002827171184624332,0.9691005816265699,1,5,False,-0.008192017585550802,1.0,False
CONFIRMED_PLUS_60S,300,532,532,21,-0.007281879699247867,-0.0002300000000000635,0.3383458646616541,-0.012275390082598385,-0.0033051095735166145,0.9998990927382254,0,5,False,-0.009042046522555247,1.0,False
CONFIRMED_PLUS_60S,600,550,550,21,-0.007956490909090098,-0.000250000000000028,0.37454545454545457,-0.012593470423345828,-0.0030891179802153648,0.9975950542861414,1,5,False,-0.009719602272725841,1.0,False
CONFIRMED_PLUS_60S,900,526,526,21,-0.00677389733840314,-0.000260000000000038,0.36311787072243346,-0.014220409268386884,0.001989663072022547,0.9775834090881272,1,5,False,-0.00861323906844083,1.0,False
CONFIRMED_PLUS_120S,300,532,532,21,-0.007581296992481533,-0.000250000000000028,0.2669172932330827,-0.012123689145516085,-0.0039057464593209223,0.9999985790557228,0,5,False,-0.00933114191729351,1.0,False
CONFIRMED_PLUS_120S,600,550,550,21,-0.0074997636363633964,-0.00024500000000005073,0.32727272727272727,-0.011864751914626171,-0.002554123498965116,0.9974903381628405,1,5,False,-0.009255127272726699,1.0,False
CONFIRMED_PLUS_120S,900,526,526,21,-0.006095285171103301,-0.00025500000000006073,0.3726235741444867,-0.013953497853861005,0.002576198951676383,0.9715423039431854,2,5,False,-0.007924593631179574,1.0,False
CAUSAL_STATE_TRANSITION,300,532,532,21,-0.007039924812030304,-0.00021999999999999797,0.33646616541353386,-0.01208144620664745,-0.002670003251579022,0.999643394121902,0,5,False,-0.008812509398495844,1.0,False
CAUSAL_STATE_TRANSITION,600,550,550,21,-0.007005636363636174,-0.00025999999999998247,0.37454545454545457,-0.011741666843358188,-0.002349360380026209,0.9912054900764173,1,5,False,-0.008772838636362437,1.0,False
CAUSAL_STATE_TRANSITION,900,526,526,21,-0.006298460076045786,-0.00030999999999997696,0.3650190114068441,-0.013780379620776979,0.002254787364371056,0.9689377177495946,1,5,False,-0.008138956749048867,1.0,False
