episode_id,first_exclusion_reason,horizon_seconds
ts15e_medium_horizon_202503_USDJPY_mh_1,ELIGIBLE,300
ts15e_medium_horizon_202503_USDJPY_mh_2,STALE_QUOTE,300
ts15e_medium_horizon_202503_USDJPY_mh_3,ELIGIBLE,300
ts15e_medium_horizon_202503_USDJPY_mh_4,ELIGIBLE,300
ts15e_medium_horizon_202503_USDJPY_mh_5,STALE_QUOTE,300
ts15e_medium_horizon_202503_USDJPY_mh_6,ELIGIBLE,300
ts15e_medium_horizon_202503_USDJPY_mh_7,ELIGIBLE,300
ts15e_medium_horizon_202503_USDJPY_mh_8,ELIGIBLE,300
ts15e_medium_horizon_202503_USDJPY_mh_9,ELIGIBLE,300
ts15e_medium_horizon_202503_USDJPY_mh_10,ELIGIBLE,300
ts15e_medium_horizon_202503_USDJPY_mh_11,ELIGIBLE,300
ts15e_medium_horizon_202503_USDJPY_mh_12,STALE_QUOTE,300
ts15e_medium_horizon_202503_USDJPY_mh_13,STALE_QUOTE,300
ts15e_medium_horizon_202503_USDJPY_mh_14,ELIGIBLE,300
ts15e_medium_horizon_202503_USDJPY_mh_15,ELIGIBLE,300
ts15e_medium_horizon_202503_USDJPY_mh_16,ELIGIBLE,300
ts15e_medium_horizon_202503_USDJPY_mh_17,ELIGIBLE,300
ts15e_medium_horizon_202503_USDJPY_mh_18,ELIGIBLE,300
ts15e_medium_horizon_202503_USDCAD_mh_1,STALE_QUOTE,300
ts15e_medium_horizon_202503_USDJPY_mh_19,STALE_QUOTE,300
ts15e_medium_horizon_202503_USDCAD_mh_2,STALE_QUOTE,300
ts15e_medium_horizon_202503_USDJPY_mh_20,STALE_QUOTE,300
ts15e_medium_horizon_202503_USDJPY_mh_21,STALE_QUOTE,300
ts15e_medium_horizon_202503_USDJPY_mh_22,STALE_QUOTE,300
ts15e_medium_horizon_202503_USDJPY_mh_23,STALE_QUOTE,300
ts15e_medium_horizon_202503_USDJPY_mh_24,STALE_QUOTE,300
ts15e_medium_horizon_202503_USDJPY_mh_25,ELIGIBLE,300
ts15e_medium_horizon_202503_USDJPY_mh_26,ELIGIBLE,300
ts15e_medium_horizon_202503_USDJPY_mh_27,ELIGIBLE,300
ts15e_medium_horizon_202503_USDJPY_mh_28,ELIGIBLE,300
ts15e_medium_horizon_202503_USDJPY_mh_29,STALE_QUOTE,300
ts15e_medium_horizon_202503_USDJPY_mh_30,STALE_QUOTE,300
ts15e_medium_horizon_202503_USDJPY_mh_31,ELIGIBLE,300
ts15e_medium_horizon_202503_USDJPY_mh_32,STALE_QUOTE,300
ts15e_medium_horizon_202503_USDJPY_mh_33,STALE_QUOTE,300
ts15e_medium_horizon_202503_USDJPY_mh_34,STALE_QUOTE,300
ts15e_medium_horizon_202503_USDJPY_mh_35,ELIGIBLE,300
ts15e_medium_horizon_202503_USDJPY_mh_36,ELIGIBLE,300
ts15e_medium_horizon_202503_USDJPY_mh_37,STALE_QUOTE,300
ts15e_medium_horizon_202503_USDJPY_mh_38,STALE_QUOTE,300
ts15e_medium_horizon_202503_USDJPY_mh_39,STALE_QUOTE,300
ts15e_medium_horizon_202503_USDJPY_mh_40,STALE_QUOTE,300
ts15e_medium_horizon_202503_USDJPY_mh_41,STALE_QUOTE,300
ts15e_medium_horizon_202503_USDJPY_mh_42,ELIGIBLE,300
ts15e_medium_horizon_202503_USDJPY_mh_43,ELIGIBLE,300
ts15e_medium_horizon_202503_USDJPY_mh_44,ELIGIBLE,300
ts15e_medium_horizon_202503_USDJPY_mh_45,ELIGIBLE,300
ts15e_medium_horizon_202503_USDJPY_mh_46,ELIGIBLE,300
ts15e_medium_horizon_202503_USDJPY_mh_47,ELIGIBLE,300
ts15e_medium_horizon_202503_USDJPY_mh_48,ELIGIBLE,300
ts15e_medium_horizon_202503_USDJPY_mh_49,ELIGIBLE,300
ts15e_medium_horizon_202503_USDJPY_mh_50,ELIGIBLE,300
ts15e_medium_horizon_202503_USDJPY_mh_51,STALE_QUOTE,300
ts15e_medium_horizon_202503_USDJPY_mh_52,STALE_QUOTE,300
ts15e_medium_horizon_202503_USDJPY_mh_53,ELIGIBLE,300
ts15e_medium_horizon_202503_USDJPY_mh_54,ELIGIBLE,300
ts15e_medium_horizon_202503_USDJPY_mh_55,STALE_QUOTE,300
ts15e_medium_horizon_202503_USDJPY_mh_56,ELIGIBLE,300
ts15e_medium_horizon_202503_USDJPY_mh_57,STALE_QUOTE,300
