"path","classification","action","reason","sha256"
".company/qa/2026-08-21-tick-shock-validation-invalidation.md","tick_shock_document","commit","Preserved in a Step 1 logical pre-checkpoint commit","375876DEF938FE9A7348F7565587448BB99B1C88333731D72D709810B6D65B34"
".company/qa/2026-08-22-tick-shock-execution-revision.md","tick_shock_document","commit","Preserved in a Step 1 logical pre-checkpoint commit","FDEE25ED228E8C4C3278EF039854331114DE013EF372CA91C4B8E1A3306E6119"
".company/qa/2026-08-22-tick-shock-realizable-execution.md","tick_shock_document","commit","Preserved in a Step 1 logical pre-checkpoint commit","EEB17443DA4DCC188A77DAA7E88C6BBD2D8D599285262A0FBD72943CB04BECEF"
"content/seeds/2026-08-21-tick-shock-edge-can-fail-before-entry.md","tick_shock_document","commit","Preserved in a Step 1 logical pre-checkpoint commit","F934C19EDAE8FE3E9624904B14D7F428B443398D77DAB9C1B0B70906A389CAEA"
"docs/devlog/2026-08-21-multicurrency-tick-shock-scalper.md","tick_shock_document","commit","Preserved in a Step 1 logical pre-checkpoint commit","B9EB81622FE26EAB29F5E8AD0D93AE0F826463C5EAAB698456BA91B924F2E5D3"
"docs/devlog/2026-08-22-tick-shock-execution-revision.md","tick_shock_document","commit","Preserved in a Step 1 logical pre-checkpoint commit","A948A94A8CDE9F06D1C8B63F053C1FECCD2306CFDA255EE08E08AB87F676913F"
"docs/devlog/2026-08-22-tick-shock-realizable-execution.md","tick_shock_document","commit","Preserved in a Step 1 logical pre-checkpoint commit","10FE56195F76021C335FC3DBC861927F03F959493F03868D92EDEE76DE3C23BA"
"docs/research/tick_shock_scalper_csv_schema.md","tick_shock_document","commit","Preserved in a Step 1 logical pre-checkpoint commit","102FBD601D14986B056600C368FE612D62AD1BD7C5400A36D58BC5F48C3F5066"
"knowledge/experiments/2026-08-21-multicurrency-tick-shock-scalper-baseline.md","tick_shock_document","commit","Preserved in a Step 1 logical pre-checkpoint commit","43758300A44276748C351D535EB23AB62D85782C8CCD6CBE1F62C9F969F99C52"
"knowledge/experiments/2026-08-22-tick-shock-execution-revision.md","tick_shock_document","commit","Preserved in a Step 1 logical pre-checkpoint commit","CAF453F8306C80312BDE946378A70AE1362A842BA0BEB7110F5AD65C108F94A1"
"knowledge/experiments/2026-08-22-tick-shock-realizable-execution.md","tick_shock_document","commit","Preserved in a Step 1 logical pre-checkpoint commit","00A23C00B295C81AED3B6E603F0FD2F2328FC31609B05858999907CAE737A696"
"mql/Experts/ExpectedValue_MultiCurrency_TickShockResearch.ex5","generated_cache","exclude","Generated binary, compile log, Tester report image, HTML, or metadata; not needed for source restoration","A4DFE13908B9646C738B9BACD9EEC1ABBB851662FE651D53F788F7B86316A5E9"
"mql/Experts/ExpectedValue_MultiCurrency_TickShockResearch.mq5","tick_shock_source","commit","Preserved in a Step 1 logical pre-checkpoint commit","976148D017E067728DC8827724516A076E7561C89D8D57BCD850D40DCB54A32C"
"mql/Experts/ExpectedValue_MultiCurrency_TickShockScalper.ex5","generated_cache","exclude","Generated binary, compile log, Tester report image, HTML, or metadata; not needed for source restoration","9F38A34DF876A9B067450BE84DAE1FB7E16EBED2D5208B4135092168CB340E28"
"mql/Experts/ExpectedValue_MultiCurrency_TickShockScalper.mq5","tick_shock_source","commit","Preserved in a Step 1 logical pre-checkpoint commit","60A1A462CF19683A4C01BE8407B24BC3316A55F7D26DB1F54310329A775BCDF2"
"mql/Experts/tests/ExpectedValue_TickShock_OrderReachabilityHarness.ex5","generated_cache","exclude","Generated binary, compile log, Tester report image, HTML, or metadata; not needed for source restoration","F76E6015613A1C29A45C67D968E2BA5CACF6B29A9DAE5E171E6AC0B92F7AC82B"
"mql/Experts/tests/ExpectedValue_TickShock_OrderReachabilityHarness.mq5","tick_shock_test","commit","Preserved in a Step 1 logical pre-checkpoint commit","164A5C89E976E66FED7EE1AA3557DB784C7E3A8990B244F673E0C5A421F8917C"
"mql/Experts/tests/ExpectedValue_TickShock_ReachabilityHarness.ex5","generated_cache","exclude","Generated binary, compile log, Tester report image, HTML, or metadata; not needed for source restoration","DDE1C9AD8070D808053EE3256F4D86B4DB28768BE59A52104E1AEC59B7FA428F"
"mql/Experts/tests/ExpectedValue_TickShock_ReachabilityHarness.mq5","tick_shock_test","commit","Preserved in a Step 1 logical pre-checkpoint commit","04E116772925CA1D7ADC6BD8352894A9A23CC1248FFF890D7775EC2452DB0AB1"
"mql/Experts/tests/ExpectedValue_TickShock_ResearchReachabilityHarness.ex5","generated_cache","exclude","Generated binary, compile log, Tester report image, HTML, or metadata; not needed for source restoration","0448D14857A9F28CE163E34C5350B959A37A74BD0E8433A19AB81764BC6FD9EA"
"mql/Experts/tests/ExpectedValue_TickShock_ResearchReachabilityHarness.mq5","tick_shock_test","commit","Preserved in a Step 1 logical pre-checkpoint commit","E352D902FE01F7B721045175DCF139AC0B3CA0F938E2D459785B569684CCD594"
"mql/Include/TickShockResearchExecution.mqh","tick_shock_source","commit","Preserved in a Step 1 logical pre-checkpoint commit","14577A74598F7974DCDD87097E83A1E1152B02D204C69CD327B8ED61F4EBA660"
"mql/Include/TickShockStateMachine.mqh","tick_shock_source","commit","Preserved in a Step 1 logical pre-checkpoint commit","3F943BA650A45A5C4D7CA587C342A1AFF00D9FDF3C5533BE7AFDB5E6E173A6ED"
"reports/backtest/ExpectedValue_MultiCurrency_TickShockResearch_revision_202503_report.html","generated_cache","exclude","Generated binary, compile log, Tester report image, HTML, or metadata; not needed for source restoration","23668F97EF2F6F1D4F631A56869E4B24A53373A0037699830F8BD2D492BD0B21"
"reports/backtest/ExpectedValue_MultiCurrency_TickShockResearch_revision_202503_report.html.meta.json","generated_cache","exclude","Generated binary, compile log, Tester report image, HTML, or metadata; not needed for source restoration","93BF0FF4A60212A0EFF9D75E319631BB9BF4FED42042ED0F0117C719E4B234B3"
"reports/backtest/ExpectedValue_MultiCurrency_TickShockResearch_revision_202503_report.png","generated_cache","exclude","Generated binary, compile log, Tester report image, HTML, or metadata; not needed for source restoration","06AA980FBE864302877DDB986E353149C546CFF30EF6FD8B46241A7E63E5C4E4"
"reports/backtest/ExpectedValue_MultiCurrency_TickShockResearch_revision_202503_report-holding.png","generated_cache","exclude","Generated binary, compile log, Tester report image, HTML, or metadata; not needed for source restoration","420B97960777DF5CBF9051CA5847F1E510B4B403B710B00C9FA65D88215F2DFC"
