scenario,nearest_obstacle_type,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,recovery_factor
session_reversal_pullback_all_symbols_first120,current_day_high,24,11,0.4583333333333333,-17.439999999999984,234.44999999999996,-251.89,0.9307634284806859,-0.8375000000000018,-0.03489583333333341,0.924189620993365,153.67,-0.11348994598815634
session_reversal_pullback_all_symbols_first120,current_day_low,21,5,0.23809523809523808,-202.41000000000005,111.41,-313.82,0.35501242750621376,-8.9823,-0.42772857142857146,0.34688906501079764,263.65000000000003,-0.767722359188318
session_reversal_pullback_all_symbols_first120,failed_breakout_level,20,8,0.4,-126.42000000000002,172.51999999999998,-298.94,0.5771057737338596,-5.5116,-0.27558,0.5719777275586515,220.8,-0.572554347826087
session_reversal_pullback_all_symbols_first120,none,3,2,0.6666666666666666,-7.120000000000001,14.82,-21.94,0.6754785779398359,-0.31740000000000007,-0.10580000000000002,0.6826,21.94,-0.3245214220601641
session_reversal_pullback_all_symbols_first120,opening_range_high,1,0,0.0,-13.19,0,-13.19,0.0,-0.5616,-0.5616,0.0,13.19,-1.0
session_reversal_pullback_all_symbols_first120,pre_session_high,19,10,0.5263157894736842,80.74999999999997,265.96,-185.21,1.4359915771286647,3.6384999999999996,0.19149999999999998,1.449797260544924,94.75000000000001,0.8522427440633241
session_reversal_pullback_all_symbols_first120,pre_session_low,7,2,0.2857142857142857,-31.589999999999996,43.55,-75.13999999999999,0.5795847750865053,-1.5892,-0.2270285714285714,0.5360812704343765,68.87,-0.45869028604617385
session_reversal_pullback_all_symbols_first120,previous_day_high,1,1,1.0,33.8,33.8,0,inf,1.5134,1.5134,inf,0.0,inf
session_reversal_pullback_all_symbols_first120,previous_day_low,2,0,0.0,-46.76,0,-46.76,0.0,-2.002,-1.001,0.0,46.76,-1.0
session_reversal_pullback_all_symbols_first120,previous_week_high,1,1,1.0,35.25,35.25,0,inf,1.5061,1.5061,inf,0.0,inf
session_reversal_pullback_all_symbols_first120,recent_equal_highs,12,5,0.4166666666666667,4.840000000000018,152.51,-147.67000000000002,1.032775783842351,0.22330000000000028,0.018608333333333355,1.0345168719954245,97.21999999999998,0.04978399506274448
session_reversal_pullback_all_symbols_first120,recent_equal_lows,11,2,0.18181818181818182,-119.15,38.169999999999995,-157.32000000000002,0.24262649377065845,-5.0772,-0.4615636363636364,0.24193741041567132,119.15,-1.0
session_reversal_pullback_all_symbols_first120,recent_rejection_zone,8,3,0.375,7.280000000000001,102.85,-95.57,1.0761745317568274,0.2977999999999996,0.03722499999999995,1.0708271892688959,95.57,0.07617453175682748
session_reversal_pullback_all_symbols_first120,round_number,18,9,0.5,73.29,225.62,-152.33,1.4811265016739972,3.498700000000001,0.19437222222222228,1.53459340525013,55.31,1.3250768396311698
session_reversal_pullback_all_symbols_first120,session_high,2,1,0.5,7.049999999999997,34.73,-27.68,1.2546965317919074,0.34109999999999996,0.17054999999999998,1.2918128154675335,27.68,0.25469653179190743
session_reversal_pullback_all_symbols_first120,session_low,4,2,0.5,42.26000000000001,70.51,-28.25,2.495929203539823,1.7641,0.441025,2.4310862334712415,28.249999999999993,1.4959292035398237
session_reversal_pullback_all_symbols_first120,wick_cluster_zone,9,2,0.2222222222222222,-101.82000000000001,70.32,-172.14000000000001,0.4085047054722899,-4.328800000000001,-0.4809777777777779,0.40907787864309597,101.82000000000001,-1.0
session_reversal_pullback_one_symbol_first120,current_day_high,18,8,0.4444444444444444,25.100000000000005,227.66,-202.55999999999997,1.1239139020537126,1.2065999999999997,0.06703333333333332,1.1399459515883972,119.75999999999999,0.20958583834335343
session_reversal_pullback_one_symbol_first120,current_day_low,14,3,0.21428571428571427,-135.16,98.91999999999999,-234.07999999999998,0.4225905673274094,-5.9627,-0.4259071428571429,0.4060345858070686,196.39999999999998,-0.6881873727087577
session_reversal_pullback_one_symbol_first120,failed_breakout_level,12,5,0.4166666666666667,-65.51999999999998,99.97999999999999,-165.5,0.604108761329305,-2.6881000000000004,-0.22400833333333336,0.6130337143350704,146.51,-0.4472049689440993
session_reversal_pullback_one_symbol_first120,pre_session_high,14,7,0.5,42.02999999999999,183.38,-141.35,1.297347010965688,1.7832999999999994,0.1273785714285714,1.293064913722268,73.24000000000001,0.573866739486619
session_reversal_pullback_one_symbol_first120,pre_session_low,6,2,0.3333333333333333,-24.219999999999995,44.120000000000005,-68.33999999999999,0.6455955516534974,-1.2126,-0.20209999999999997,0.6022958346999017,61.5,-0.39382113821138204
session_reversal_pullback_one_symbol_first120,previous_day_high,1,1,1.0,35.68,35.68,0,inf,1.5134,1.5134,inf,0.0,inf
session_reversal_pullback_one_symbol_first120,previous_day_low,2,0,0.0,-46.76,0,-46.76,0.0,-2.002,-1.001,0.0,46.76,-1.0
session_reversal_pullback_one_symbol_first120,previous_week_high,1,1,1.0,1.82,1.82,0,inf,0.2121,0.2121,inf,0.0,inf
session_reversal_pullback_one_symbol_first120,recent_equal_highs,11,4,0.36363636363636365,-14.77000000000001,117.75,-132.52,0.888545125264111,-0.4844999999999995,-0.0440454545454545,0.9145668388848724,83.13000000000001,-0.177673523397089
session_reversal_pullback_one_symbol_first120,recent_equal_lows,5,1,0.2,-58.879999999999995,2.26,-61.14,0.03696434412823029,-2.4094,-0.48188000000000003,0.04759269507470946,58.879999999999995,-1.0
session_reversal_pullback_one_symbol_first120,recent_rejection_zone,6,3,0.5,51.59,102.85,-51.260000000000005,2.006437768240343,2.2977999999999996,0.3829666666666666,2.0422752426744077,51.25999999999999,1.0064377682403436
session_reversal_pullback_one_symbol_first120,round_number,12,7,0.5833333333333334,107.24999999999997,164.92,-57.67,2.8597190913820008,4.5099,0.375825,2.800143695365824,23.760000000000005,4.513888888888887
session_reversal_pullback_one_symbol_first120,session_high,2,1,0.5,8.560000000000002,36.24,-27.68,1.3092485549132948,0.34109999999999996,0.17054999999999998,1.2918128154675335,27.68,0.3092485549132949
session_reversal_pullback_one_symbol_first120,session_low,4,2,0.5,41.20000000000002,70.51,-29.31,2.4056635960423067,1.7641,0.441025,2.4310862334712415,29.309999999999988,1.4056635960423076
session_reversal_pullback_one_symbol_first120,wick_cluster_zone,8,1,0.125,-142.55,35.76,-178.31,0.20054960462116536,-5.828800000000001,-0.7286000000000001,0.20431369872363658,142.55,-1.0
session_reversal_pullback_one_symbol_first60,current_day_high,13,6,0.46153846153846156,10.830000000000002,157.04999999999998,-146.22,1.0740664751743947,0.6219999999999996,0.04784615384615381,1.1006700547049493,96.56,0.11215824357912181
session_reversal_pullback_one_symbol_first60,current_day_low,10,1,0.1,-147.42000000000002,37.68,-185.09999999999997,0.2035656401944895,-6.4961,-0.64961,0.18986094656107752,154.19000000000003,-0.9560931318503145
session_reversal_pullback_one_symbol_first60,failed_breakout_level,9,4,0.4444444444444444,-26.809999999999995,90.35,-117.16,0.7711676340047797,-1.1399,-0.12665555555555555,0.7689376279569456,117.16,-0.22883236599522017
session_reversal_pullback_one_symbol_first60,pre_session_high,13,7,0.5384615384615384,65.47,182.95,-117.48000000000002,1.557286346612189,2.8165999999999998,0.21666153846153843,1.557554882514797,49.370000000000005,1.3261089730605629
session_reversal_pullback_one_symbol_first60,pre_session_low,6,2,0.3333333333333333,-28.84,44.120000000000005,-72.96,0.6047149122807018,-1.2126,-0.20209999999999997,0.6022958346999017,66.12,-0.4361766485178463
session_reversal_pullback_one_symbol_first60,previous_day_low,1,0,0.0,-24.2,0,-24.2,0.0,-1.0,-1.0,0.0,24.2,-1.0
session_reversal_pullback_one_symbol_first60,previous_week_high,1,1,1.0,1.82,1.82,0,inf,0.2121,0.2121,inf,0.0,inf
session_reversal_pullback_one_symbol_first60,recent_equal_highs,10,3,0.3,-48.120000000000005,85.63,-133.75,0.6402242990654206,-1.9910999999999994,-0.19910999999999995,0.6489040926804324,82.28,-0.5848322800194459
session_reversal_pullback_one_symbol_first60,recent_equal_lows,4,1,0.25,-49.03999999999999,2.26,-51.3,0.04405458089668616,-1.9876,-0.4969,0.05711574952561669,49.03999999999999,-1.0
session_reversal_pullback_one_symbol_first60,recent_rejection_zone,4,2,0.5,42.28999999999999,69.41,-27.12,2.5593657817109143,1.7953999999999999,0.44884999999999997,2.4904532624937734,27.12,1.5593657817109141
session_reversal_pullback_one_symbol_first60,round_number,10,4,0.4,18.779999999999994,110.85,-92.07000000000001,1.2039752362333005,0.6965000000000003,0.06965000000000003,1.175118799185377,44.36000000000001,0.42335437330928744
session_reversal_pullback_one_symbol_first60,session_high,2,1,0.5,8.560000000000002,36.24,-27.68,1.3092485549132948,0.34109999999999996,0.17054999999999998,1.2918128154675335,27.68,0.3092485549132949
session_reversal_pullback_one_symbol_first60,session_low,3,2,0.6666666666666666,65.87,70.80000000000001,-4.93,14.361054766734282,2.7736,0.9245333333333333,13.426523297491038,4.930000000000007,13.361054766734263
session_reversal_pullback_one_symbol_first60,wick_cluster_zone,7,1,0.14285714285714285,-118.87,35.82,-154.69,0.23155989398151142,-4.828800000000001,-0.6898285714285716,0.23661370642636942,118.87,-1.0
session_reversal_pullback_clean_target_path_first120,current_day_high,10,4,0.4,-0.6000000000000005,108.77000000000001,-109.37,0.994514034927311,0.03929999999999953,0.003929999999999953,1.0085886620918745,97.53,-0.006151953245155342
session_reversal_pullback_clean_target_path_first120,current_day_low,5,1,0.2,-39.03,37.68,-76.71,0.4912006257332812,-1.8298999999999999,-0.36597999999999997,0.4541359663514602,69.44,-0.5620679723502304
session_reversal_pullback_clean_target_path_first120,round_number,7,4,0.5714285714285714,72.82,114.36000000000001,-41.540000000000006,2.7530091478093404,3.0712,0.43874285714285716,2.7516682826669707,23.76,3.0648148148148144
session_reversal_pullback_clean_target_path_first120,wick_cluster_zone,1,0,0.0,-31.17,0,-31.17,0.0,-1.2468,-1.2468,0.0,31.17,-1.0
