scenario,entry_pattern,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,recovery_factor
session_reversal_pullback_all_symbols_first120,choch_up,1,0,0.0,-20.8,0,-20.8,0.0,-1.0019,-1.0019,0.0,20.8,-1.0
session_reversal_pullback_all_symbols_first120,double_bottom,34,17,0.5,20.74999999999999,450.16,-429.40999999999997,1.0483221163922594,1.4045000000000005,0.04130882352941178,1.0764270555585786,145.54999999999998,0.14256269323256607
session_reversal_pullback_all_symbols_first120,double_top,20,8,0.4,-26.699999999999992,216.43,-243.13000000000005,0.8901822070497263,-1.3825000000000003,-0.06912500000000002,0.8700584619433425,134.59,-0.19838026599301575
session_reversal_pullback_all_symbols_first120,head_and_shoulders,44,10,0.22727272727272727,-431.96,209.85,-641.8100000000001,0.3269659244947881,-18.664299999999997,-0.4241886363636363,0.3273180735310548,483.74,-0.8929590275767973
session_reversal_pullback_all_symbols_first120,inverse_head_and_shoulders,63,28,0.4444444444444444,41.29999999999995,694.0000000000001,-652.6999999999998,1.063275624329708,1.6799999999999986,0.026666666666666644,1.0586704849045736,231.3,0.17855598789450905
session_reversal_pullback_all_symbols_first120,sweep_low_reclaim,1,1,1.0,36.03,36.03,0,inf,1.5396,1.5396,inf,0.0,inf
session_reversal_pullback_one_symbol_first120,double_bottom,23,10,0.43478260869565216,-13.929999999999986,271.16999999999996,-285.1,0.9511399508944228,-0.33679999999999966,-0.01464347826086955,0.9721180512438429,104.35999999999997,-0.133480260636259
session_reversal_pullback_one_symbol_first120,double_top,9,4,0.4444444444444444,26.439999999999984,146.06,-119.62,1.221033272028089,0.9664999999999995,0.10738888888888883,1.1905071649616623,58.95000000000002,0.44851569126378243
session_reversal_pullback_one_symbol_first120,head_and_shoulders,36,8,0.2222222222222222,-402.24000000000007,162.22,-564.4599999999999,0.28738971760620774,-16.876199999999997,-0.4687833333333333,0.29314641614066544,484.18000000000006,-0.830765417819819
session_reversal_pullback_one_symbol_first120,inverse_head_and_shoulders,48,24,0.5,215.09999999999997,642.4000000000001,-427.3,1.50339340042125,9.286700000000002,0.1934729166666667,1.505996196869228,192.68,1.1163587294996884
session_reversal_pullback_one_symbol_first60,double_bottom,20,7,0.35,-79.40999999999998,215.34,-294.75000000000006,0.7305852417302797,-3.3057,-0.165285,0.7366290881567941,106.83999999999999,-0.7432609509546986
session_reversal_pullback_one_symbol_first60,double_top,8,4,0.5,52.510000000000005,146.12,-93.61,1.5609443435530392,1.9819,0.2477375,1.48840533280761,46.980000000000004,1.1177096636866752
session_reversal_pullback_one_symbol_first60,head_and_shoulders,29,5,0.1724137931034483,-382.3900000000001,93.16,-475.55,0.19589948480706548,-15.878599999999999,-0.5475379310344827,0.2004209741826001,440.9000000000001,-0.8672941710138354
session_reversal_pullback_one_symbol_first60,inverse_head_and_shoulders,36,19,0.5277777777777778,179.61,470.35999999999996,-290.75,1.6177472055030093,7.8035999999999985,0.21676666666666664,1.6272183641975306,148.32,1.2109627831715213
session_reversal_pullback_clean_target_path_first120,double_bottom,3,2,0.6666666666666666,30.82,55.43,-24.61,2.2523364485981308,1.3424999999999998,0.44749999999999995,2.329998018624926,24.61,1.252336448598131
session_reversal_pullback_clean_target_path_first120,double_top,2,1,0.5,15.18,37.68,-22.5,1.6746666666666667,0.5165,0.25825,1.5134705239089372,22.5,0.6746666666666666
session_reversal_pullback_clean_target_path_first120,head_and_shoulders,4,0,0.0,-85.38,0,-85.38,0.0,-3.5932,-0.8983,0.0,85.38,-1.0
session_reversal_pullback_clean_target_path_first120,inverse_head_and_shoulders,14,6,0.42857142857142855,41.40000000000001,167.7,-126.30000000000001,1.3277909738717337,1.768,0.12628571428571428,1.3323495685846944,71.69,0.577486399776817
session_reversal_pullback_clean_target_path_first60,double_bottom,2,0,0.0,-59.51,0,-59.51,0.0,-2.4814,-1.2407,0.0,59.51,-1.0
session_reversal_pullback_clean_target_path_first60,double_top,2,1,0.5,15.18,37.68,-22.5,1.6746666666666667,0.5165,0.25825,1.5134705239089372,22.5,0.6746666666666666
session_reversal_pullback_clean_target_path_first60,head_and_shoulders,4,0,0.0,-84.65,0,-84.65,0.0,-3.5932,-0.8983,0.0,84.65,-1.0
session_reversal_pullback_clean_target_path_first60,inverse_head_and_shoulders,9,4,0.4444444444444444,32.41,99.19999999999999,-66.79,1.4852522832759392,1.3316999999999999,0.14796666666666666,1.461818560133167,57.019999999999996,0.5683970536653805
tokyo_first120_reference,double_bottom,3,2,0.6666666666666666,64.1,70.38,-6.28,11.20700636942675,2.7338,0.9112666666666667,11.320120800302,6.28,10.20700636942675
tokyo_first120_reference,double_top,2,1,0.5,12.93,37.68,-24.75,1.5224242424242425,0.5165,0.25825,1.5134705239089372,24.75,0.5224242424242425
tokyo_first120_reference,head_and_shoulders,6,2,0.3333333333333333,-56.71999999999999,34.87,-91.59,0.38071841904138004,-2.5101999999999998,-0.4183666666666666,0.37516801911684183,81.96,-0.6920448999511957
tokyo_first120_reference,inverse_head_and_shoulders,7,3,0.42857142857142855,-10.000000000000005,87.67,-97.67,0.8976144158902426,-0.33089999999999986,-0.047271428571428555,0.9178724777245539,97.67,-0.1023855841097574
london_first120_reference,double_bottom,5,3,0.6,48.16,96.8,-48.64,1.9901315789473684,1.8237,0.36474,1.8947600824256698,25.2,1.911111111111111
london_first120_reference,head_and_shoulders,7,3,0.42857142857142855,4.659999999999997,86.22,-81.56,1.0571358509073074,0.20660000000000034,0.029514285714285764,1.0616311675914325,81.56,0.05713585090730746
london_first120_reference,inverse_head_and_shoulders,14,10,0.7142857142857143,243.67000000000002,325.36,-81.69000000000001,3.982862039417309,10.1228,0.7230571428571428,3.9977493484956166,74.4,3.2751344086021503
newyork_first120_reference,double_bottom,8,3,0.375,-92.69999999999999,40.18,-132.88,0.3023780854906683,-3.7981,-0.4747625,0.32838803225350116,92.69999999999999,-1.0
newyork_first120_reference,double_top,5,1,0.2,-61.39,35.82,-97.21000000000001,0.36848060899084456,-2.6089,-0.52178,0.3645508573655495,97.21000000000001,-0.6315193910091554
newyork_first120_reference,head_and_shoulders,17,2,0.11764705882352941,-284.26000000000005,9.1,-293.36000000000007,0.03101990728115625,-11.7644,-0.6920235294117647,0.035641681421732574,284.26000000000005,-1.0
newyork_first120_reference,inverse_head_and_shoulders,19,6,0.3157894736842105,-79.39,102.93,-182.32,0.5645568231680562,-3.1741999999999995,-0.1670631578947368,0.5944550913504536,137.0,-0.5794890510948905
overlap_first120_reference,double_bottom,8,2,0.25,-61.19999999999999,73.39,-134.59,0.5452856824429749,-2.5682,-0.321025,0.5408353000071516,61.19999999999999,-1.0
overlap_first120_reference,double_top,3,2,0.6666666666666666,49.63000000000001,72.62,-22.99,3.158764680295781,2.0096,0.6698666666666666,2.987538324596973,22.99,2.158764680295781
overlap_first120_reference,head_and_shoulders,8,1,0.125,-114.88,35.46,-150.34,0.2358653718238659,-4.8193,-0.6024125,0.23713869629911039,124.82,-0.9203653260695401
overlap_first120_reference,inverse_head_and_shoulders,13,7,0.5384615384615384,68.15,184.58,-116.42999999999999,1.585330241346732,3.0801,0.23693076923076922,1.6323472048286767,81.87,0.8324172468547698
target_multiple_1_2_reference,double_bottom,4,3,0.75,27.13,51.739999999999995,-24.61,2.1023973994311254,1.1593,0.289825,2.148504061818902,24.61,1.1023973994311256
target_multiple_1_2_reference,double_top,2,1,0.5,4.879999999999999,29.63,-24.75,1.197171717171717,0.19189999999999996,0.09594999999999998,1.1907744308579382,24.75,0.19717171717171714
target_multiple_1_2_reference,head_and_shoulders,4,1,0.25,-25.12,29.09,-54.209999999999994,0.5366168603578676,-1.1421000000000001,-0.28552500000000003,0.5132543470848959,54.21,-0.46338313964213246
target_multiple_1_2_reference,inverse_head_and_shoulders,15,7,0.4666666666666667,52.62,180.57999999999998,-127.96000000000001,1.4112222569552983,2.3266999999999998,0.15511333333333333,1.4373742880237608,73.35,0.7173824130879346
