scenario,symbol_session,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,recovery_factor
session_reversal_pullback_all_symbols_first120,AUDJPY_london,4,2,0.5,41.04,71.96000000000001,-30.92,2.3272962483829236,1.7048999999999999,0.42622499999999997,2.2856496493477114,23.76,1.727272727272727
session_reversal_pullback_all_symbols_first120,AUDJPY_london_newyork_overlap,1,0,0.0,-25.57,0,-25.57,0.0,-1.0631,-1.0631,0.0,25.57,-1.0
session_reversal_pullback_all_symbols_first120,EURJPY_london,3,1,0.3333333333333333,-22.75,5.01,-27.759999999999998,0.18047550432276657,-0.9746,-0.3248666666666667,0.1790768194070081,27.759999999999998,-0.8195244956772335
session_reversal_pullback_all_symbols_first120,EURJPY_london_newyork_overlap,4,3,0.75,49.42000000000001,73.48000000000002,-24.06,3.054031587697424,2.1205,0.530125,3.1205,24.060000000000002,2.0540315876974233
session_reversal_pullback_all_symbols_first120,EURJPY_new_york,7,2,0.2857142857142857,-16.03000000000001,72.09,-88.12,0.8180889695869269,-0.6377999999999999,-0.0911142857142857,0.8257567478964046,47.86,-0.3349352277475973
session_reversal_pullback_all_symbols_first120,EURJPY_tokyo,6,2,0.3333333333333333,6.0,69.7,-63.7,1.0941915227629513,0.3400000000000003,0.05666666666666672,1.1259445843828717,63.7,0.09419152276295133
session_reversal_pullback_all_symbols_first120,EURUSD_london,2,1,0.5,13.760000000000002,34.56,-20.8,1.6615384615384616,0.4981,0.24905,1.4971554047310112,20.8,0.6615384615384616
session_reversal_pullback_all_symbols_first120,EURUSD_london_newyork_overlap,12,4,0.3333333333333333,-57.85000000000001,111.35000000000001,-169.2,0.658096926713948,-2.6058000000000003,-0.21715000000000004,0.6538936630849127,102.4,-0.56494140625
session_reversal_pullback_all_symbols_first120,EURUSD_new_york,10,2,0.2,-149.21,10.35,-159.56,0.06486588117322636,-6.370500000000001,-0.6370500000000001,0.07445881156472468,151.56,-0.984494589601478
session_reversal_pullback_all_symbols_first120,GBPJPY_london,4,4,1.0,136.97,136.97,0,inf,6.0152,1.5038,inf,0.0,inf
session_reversal_pullback_all_symbols_first120,GBPJPY_london_newyork_overlap,4,1,0.25,-60.30999999999999,9.45,-69.75999999999999,0.13546444954128442,-2.6406,-0.66015,0.13425789318383002,69.75999999999999,-0.8645355504587156
session_reversal_pullback_all_symbols_first120,GBPJPY_new_york,9,2,0.2222222222222222,-95.01999999999998,70.46000000000001,-165.48000000000002,0.42579163645153495,-4.0052,-0.44502222222222226,0.4294180497186409,130.23,-0.7296321892037164
session_reversal_pullback_all_symbols_first120,GBPJPY_tokyo,4,1,0.25,-44.44,9.63,-54.07,0.17810245977436656,-1.8014999999999999,-0.45037499999999997,0.20519721168269656,54.07,-0.8218975402256334
session_reversal_pullback_all_symbols_first120,GBPUSD_london,8,5,0.625,72.31,143.47,-71.16,2.016160764474424,3.0517999999999996,0.38147499999999995,2.006098968120529,24.64,2.934659090909091
session_reversal_pullback_all_symbols_first120,GBPUSD_london_newyork_overlap,13,3,0.23076923076923078,-138.77,73.5,-212.26999999999998,0.3462571253592124,-6.420100000000001,-0.4938538461538462,0.3257613946649863,174.68,-0.7944240897641401
session_reversal_pullback_all_symbols_first120,GBPUSD_new_york,15,7,0.4666666666666667,-92.12000000000002,67.93,-160.04999999999998,0.42442986566697916,-3.9143,-0.2609533333333333,0.438052716205352,107.51000000000002,-0.8568505255325086
session_reversal_pullback_all_symbols_first120,USDJPY_london,16,9,0.5625,97.61,233.42000000000002,-135.81,1.7187246889036154,4.4232000000000005,0.27645000000000003,1.7443582451239417,77.48,1.2598089829633452
session_reversal_pullback_all_symbols_first120,USDJPY_london_newyork_overlap,10,4,0.4,39.60000000000001,130.60000000000002,-91.0,1.4351648351648354,1.6737,0.16737,1.4186657327963579,45.72,0.8661417322834648
