scenario,ltf_wave3_timeframe,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,recovery_factor
session_reversal_pullback_all_symbols_first120,PERIOD_M15,98,37,0.37755102040816324,-165.79,912.0300000000001,-1077.8200000000002,0.8461802527323672,-7.3285,-0.07478061224489796,0.8451704635484558,329.63,-0.502957861845099
session_reversal_pullback_all_symbols_first120,PERIOD_M5,65,27,0.4153846153846154,-215.58999999999992,694.44,-910.0300000000001,0.763095722119051,-9.096099999999998,-0.13993999999999998,0.76716189442536,390.51999999999987,-0.5520587934036669
session_reversal_pullback_one_symbol_first120,PERIOD_M15,70,27,0.38571428571428573,-56.96999999999998,710.38,-767.35,0.9257574770313416,-2.1825999999999994,-0.031179999999999992,0.9333699667246699,294.89,-0.19319068127098232
session_reversal_pullback_one_symbol_first120,PERIOD_M5,46,19,0.41304347826086957,-117.66,511.4699999999999,-629.13,0.8129798292880643,-4.7772000000000014,-0.10385217391304351,0.8205692565410416,238.01999999999998,-0.49432820771363756
session_reversal_pullback_one_symbol_first60,PERIOD_M15,58,22,0.3793103448275862,-53.080000000000005,563.5300000000001,-616.6100000000001,0.9139164139407404,-2.0970999999999997,-0.03615689655172413,0.9202859988292447,245.75999999999996,-0.2159830729166667
session_reversal_pullback_one_symbol_first60,PERIOD_M5,35,13,0.37142857142857144,-176.6,361.45,-538.05,0.6717777158256668,-7.3016999999999985,-0.20861999999999994,0.6769430888553617,219.04000000000002,-0.8062454346238129
session_reversal_pullback_clean_target_path_first120,PERIOD_M15,11,3,0.2727272727272727,-64.8,68.77,-133.57,0.514861121509321,-2.8844,-0.2622181818181818,0.5034345034172878,100.37,-0.6456112384178538
session_reversal_pullback_clean_target_path_first120,PERIOD_M5,12,6,0.5,66.82,192.04000000000002,-125.22,1.533620827343875,2.9182,0.24318333333333333,1.5700166031839051,80.77,0.8272873591680079
session_reversal_pullback_clean_target_path_first60,PERIOD_M15,10,2,0.2,-98.03000000000002,35.54,-133.57,0.26607771206109154,-4.255599999999999,-0.42555999999999994,0.26737479986916174,131.03,-0.7481492787911167
session_reversal_pullback_clean_target_path_first60,PERIOD_M5,7,3,0.42857142857142855,1.4600000000000009,101.34,-99.88,1.0146175410492593,0.029200000000000337,0.004171428571428619,1.007027001010733,55.05,0.02652134423251591
tokyo_first120_reference,PERIOD_M15,14,5,0.35714285714285715,-64.1,131.20000000000002,-195.3,0.6717869943676396,-2.6526000000000014,-0.18947142857142868,0.6807173808377468,136.75,-0.46873857404021935
tokyo_first120_reference,PERIOD_M5,4,3,0.75,74.41,99.4,-24.99,3.9775910364145664,3.0618,0.76545,4.03358763499455,24.99,2.977591036414566
london_first120_reference,PERIOD_M15,15,8,0.5333333333333333,103.22,239.27000000000004,-136.04999999999998,1.7586916574788685,4.1586,0.27724,1.7293358354232804,78.11999999999999,1.3213005632360473
london_first120_reference,PERIOD_M5,11,8,0.7272727272727273,193.27,269.11,-75.84,3.5483913502109705,7.9944999999999995,0.7267727272727272,3.608064463510912,49.800000000000004,3.880923694779116
newyork_first120_reference,PERIOD_M15,25,6,0.24,-148.58,105.94999999999999,-254.53,0.41625741562880597,-5.8865,-0.23546,0.4456060049538985,182.43,-0.8144493778435564
newyork_first120_reference,PERIOD_M5,24,6,0.25,-369.1599999999999,82.07999999999998,-451.24,0.18189876783973047,-15.4591,-0.6441291666666666,0.19354064614405475,369.63999999999993,-0.9987014392381777
overlap_first120_reference,PERIOD_M15,21,9,0.42857142857142855,-3.119999999999987,256.12,-259.24,0.9879648202437895,0.046899999999999276,0.002233333333333299,1.004290863845126,110.47,-0.02824296189010579
overlap_first120_reference,PERIOD_M5,11,3,0.2727272727272727,-55.18000000000001,109.93,-165.11000000000004,0.665798558536733,-2.3446999999999996,-0.2131545454545454,0.6583265329913733,102.4,-0.5388671875000001
target_multiple_1_2_reference,PERIOD_M15,12,4,0.3333333333333333,-42.53,94.94999999999999,-137.48,0.6906459121326738,-1.7647000000000002,-0.14705833333333335,0.6961970836848175,107.91,-0.39412473357427485
target_multiple_1_2_reference,PERIOD_M5,13,8,0.6153846153846154,102.04000000000002,196.09,-94.04999999999998,2.084954811270601,4.3004999999999995,0.33080769230769225,2.11046556665892,49.599999999999994,2.05725806451613
target_multiple_2_0_reference,PERIOD_M15,11,3,0.2727272727272727,-67.37000000000002,66.2,-133.57,0.49562027401362585,-2.8844,-0.2622181818181818,0.5034345034172878,100.37,-0.6712164989538708
target_multiple_2_0_reference,PERIOD_M5,11,5,0.45454545454545453,61.839999999999996,187.75000000000003,-125.91,1.4911444682709876,2.6549,0.24135454545454546,1.5133912169087076,55.05,1.1233424159854677
