scenario,entry_trigger,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,recovery_factor
session_reversal_pullback_all_symbols_first120,first_pullback_after_choch,1,0,0.0,-20.8,0,-20.8,0.0,-1.0019,-1.0019,0.0,20.8,-1.0
session_reversal_pullback_all_symbols_first120,neckline_break_retest,54,25,0.46296296296296297,-5.9500000000000135,666.59,-672.54,0.9911529425759064,0.021999999999998576,0.00040740740740738104,1.0007581919190525,181.88,-0.03271387728172429
session_reversal_pullback_all_symbols_first120,right_shoulder_entry,107,38,0.35514018691588783,-390.66,903.8500000000001,-1294.5100000000002,0.69821785849472,-16.984299999999987,-0.15873177570093447,0.6987563097945036,551.16,-0.7087959939037667
session_reversal_pullback_all_symbols_first120,sweep_reclaim_retest,1,1,1.0,36.03,36.03,0,inf,1.5396,1.5396,inf,0.0,inf
session_reversal_pullback_one_symbol_first120,neckline_break_retest,32,14,0.4375,12.509999999999994,417.22999999999996,-404.72,1.0309102589444552,0.6297,0.019678125,1.03671120749965,108.3,0.11551246537396118
session_reversal_pullback_one_symbol_first120,right_shoulder_entry,84,32,0.38095238095238093,-187.1400000000001,804.62,-991.7600000000001,0.8113051544728562,-7.589499999999998,-0.09035119047619046,0.8202749808185962,420.62,-0.4449146498026725
session_reversal_pullback_one_symbol_first60,neckline_break_retest,28,11,0.39285714285714285,-26.9,361.46000000000004,-388.35999999999996,0.9307343701720056,-1.3238000000000003,-0.04727857142857144,0.9202981444242416,103.42000000000002,-0.2601044285438019
session_reversal_pullback_one_symbol_first60,right_shoulder_entry,65,24,0.36923076923076925,-202.78000000000003,563.52,-766.3000000000002,0.7353777893775282,-8.075,-0.12423076923076921,0.7500023219598582,398.97,-0.5082587663232825
session_reversal_pullback_clean_target_path_first120,neckline_break_retest,5,3,0.6,46.0,93.11000000000001,-47.11,1.9764381235406498,1.859,0.3718,1.922443308688533,24.61,1.8691588785046729
session_reversal_pullback_clean_target_path_first120,right_shoulder_entry,18,6,0.3333333333333333,-43.97999999999997,167.7,-211.68,0.7922335600907029,-1.8252000000000015,-0.10140000000000009,0.7952181669265894,106.85999999999999,-0.41156653565412665
session_reversal_pullback_clean_target_path_first60,neckline_break_retest,4,1,0.25,-44.33,37.68,-82.00999999999999,0.4594561638824534,-1.9649,-0.491225,0.43655550139076077,57.4,-0.7722996515679442
session_reversal_pullback_clean_target_path_first60,right_shoulder_entry,13,4,0.3076923076923077,-52.24,99.19999999999999,-151.43999999999997,0.6550449022715268,-2.2615000000000003,-0.17396153846153847,0.6508306571146245,115.97999999999999,-0.4504224866356269
tokyo_first120_reference,neckline_break_retest,5,3,0.6,77.03,108.06,-31.03,3.482436351917499,3.2502999999999997,0.65006,3.5576802014479068,24.75,3.112323232323232
tokyo_first120_reference,right_shoulder_entry,13,5,0.38461538461538464,-66.71999999999998,122.54,-189.26,0.6474690901405474,-2.8411000000000013,-0.21854615384615395,0.6469148076803578,154.64,-0.43145369891360574
london_first120_reference,neckline_break_retest,5,3,0.6,48.16,96.8,-48.64,1.9901315789473684,1.8237,0.36474,1.8947600824256698,25.2,1.911111111111111
london_first120_reference,right_shoulder_entry,21,13,0.6190476190476191,248.33000000000004,411.58,-163.24999999999997,2.521163859111792,10.329400000000001,0.4918761904761905,2.535057215039382,107.03,2.3201906007661406
newyork_first120_reference,neckline_break_retest,13,4,0.3076923076923077,-154.09,76.0,-230.08999999999997,0.33030553261767137,-6.407,-0.4928461538461538,0.34359888533726746,167.78,-0.9184050542376923
newyork_first120_reference,right_shoulder_entry,36,8,0.2222222222222222,-363.6499999999999,112.03,-475.6799999999999,0.2355154725866129,-14.938600000000003,-0.41496111111111117,0.25404719817039684,372.6199999999999,-0.9759272180773979
overlap_first120_reference,neckline_break_retest,11,4,0.36363636363636365,-11.569999999999993,146.01,-157.58,0.9265769767737021,-0.5586000000000002,-0.0507818181818182,0.9154187423345396,61.11999999999999,-0.1892997382198952
overlap_first120_reference,right_shoulder_entry,21,8,0.38095238095238093,-46.729999999999976,220.04,-266.77000000000004,0.8248303782284363,-1.7392,-0.08281904761904763,0.8445518979648382,138.16,-0.33823103647944397
target_multiple_1_2_reference,neckline_break_retest,6,4,0.6666666666666666,32.01,81.37,-49.36,1.6485008103727716,1.3512,0.22519999999999998,1.6704708976331069,24.75,1.2933333333333332
target_multiple_1_2_reference,right_shoulder_entry,19,8,0.42105263157894735,27.500000000000004,209.67,-182.17,1.15095789647033,1.1845999999999992,0.06234736842105259,1.15452446485175,82.82,0.3320453996619175
target_multiple_2_0_reference,neckline_break_retest,5,2,0.4,-4.639999999999997,68.88,-73.52,0.9368879216539717,-0.2549,-0.050980000000000004,0.9171434143804447,48.91,-0.09486812512778567
target_multiple_2_0_reference,right_shoulder_entry,17,6,0.35294117647058826,-0.8900000000000174,185.07,-185.96,0.9952140245214024,0.025399999999999506,0.0014941176470587945,1.003213725390961,83.71000000000001,-0.010631943614861037
