scenario,retest_reference_type,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,recovery_factor
session_reversal_pullback_all_symbols_first120,neckline_level,45,19,0.4222222222222222,60.52000000000003,564.43,-503.91,1.1201008116528743,2.9135999999999975,0.0647466666666666,1.1335698862620514,212.39,0.284947502236452
session_reversal_pullback_all_symbols_first120,opening_range_high|neckline_level,4,0,0.0,-77.61,0,-77.61,0.0,-3.4742,-0.86855,0.0,77.61,-1.0
session_reversal_pullback_all_symbols_first120,opening_range_low|neckline_level,10,5,0.5,13.510000000000005,110.69,-97.17999999999998,1.1390203745626675,0.5177,0.051770000000000004,1.1236446142823024,90.89,0.14864121465507762
session_reversal_pullback_all_symbols_first120,session_high|opening_range_high|neckline_level,76,35,0.4605263157894737,-16.39000000000002,843.1600000000003,-859.5500000000002,0.9809318829620152,-0.6098999999999968,-0.008024999999999958,0.9836568555993831,250.78,-0.06535608900231285
session_reversal_pullback_all_symbols_first120,session_low|opening_range_low|neckline_level,28,5,0.17857142857142858,-361.41,88.19,-449.6,0.19615213523131672,-15.771799999999999,-0.5632785714285714,0.19556258288279096,363.67,-0.9937855748343278
session_reversal_pullback_one_symbol_first120,neckline_level,37,16,0.43243243243243246,64.53000000000004,465.89000000000004,-401.36,1.1607783535977676,3.0002999999999997,0.08108918918918918,1.1741666956915469,151.6,0.42565963060686046
session_reversal_pullback_one_symbol_first120,opening_range_high|neckline_level,2,0,0.0,-48.0,0,-48.0,0.0,-2.0333,-1.01665,0.0,48.0,-1.0
session_reversal_pullback_one_symbol_first120,opening_range_low|neckline_level,6,3,0.5,1.889999999999997,73.44,-71.55,1.0264150943396226,0.08500000000000019,0.014166666666666697,1.028197983014862,71.55,0.0264150943396226
session_reversal_pullback_one_symbol_first120,session_high|opening_range_high|neckline_level,53,24,0.4528301886792453,74.49999999999993,606.8199999999999,-532.3199999999999,1.1399534114818155,3.2034,0.06044150943396226,1.140795175851127,178.72000000000003,0.41685317815577394
session_reversal_pullback_one_symbol_first120,session_low|opening_range_low|neckline_level,18,3,0.16666666666666666,-267.55,75.69999999999999,-343.25000000000006,0.22053896576839033,-11.2152,-0.6230666666666667,0.21870885493949718,279.82,-0.9561503823886786
session_reversal_pullback_one_symbol_first60,neckline_level,28,12,0.42857142857142855,50.59000000000002,353.23,-302.64000000000004,1.1671623050489028,2.4653,0.08804642857142857,1.192992069891421,118.85,0.4256625999158605
session_reversal_pullback_one_symbol_first60,opening_range_low|neckline_level,2,1,0.5,-10.479999999999999,13.72,-24.2,0.5669421487603307,-0.45430000000000004,-0.22715000000000002,0.5457,24.2,-0.4330578512396694
session_reversal_pullback_one_symbol_first60,session_high|opening_range_high|neckline_level,45,19,0.4222222222222222,-4.510000000000031,482.27,-486.78,0.9907350343070792,-0.19460000000000047,-0.0043244444444444545,0.9906356317580088,134.9,-0.03343217197924411
session_reversal_pullback_one_symbol_first60,session_low|opening_range_low|neckline_level,18,3,0.16666666666666666,-265.28000000000003,75.75999999999999,-341.04,0.22214403002580338,-11.2152,-0.6230666666666667,0.21870885493949718,277.61,-0.9555851734447607
session_reversal_pullback_clean_target_path_first120,session_high|opening_range_high|neckline_level,17,8,0.47058823529411764,72.21999999999998,223.13,-150.91,1.4785633821483004,3.1105000000000005,0.18297058823529413,1.4914600812121788,93.03,0.7763087176179725
session_reversal_pullback_clean_target_path_first120,session_low|opening_range_low|neckline_level,6,1,0.16666666666666666,-70.2,37.68,-107.88,0.3492769744160178,-3.0767,-0.5127833333333334,0.3310212867734992,70.2,-1.0
session_reversal_pullback_clean_target_path_first60,session_high|opening_range_high|neckline_level,11,4,0.36363636363636365,-27.1,99.19999999999999,-126.3,0.7854315122723673,-1.1497,-0.10451818181818182,0.7857036346691519,57.019999999999996,-0.4752718344440548
session_reversal_pullback_clean_target_path_first60,session_low|opening_range_low|neckline_level,6,1,0.16666666666666666,-69.47,37.68,-107.15,0.3516565562295847,-3.0767,-0.5127833333333334,0.3310212867734992,69.47,-1.0
tokyo_first120_reference,neckline_level,8,4,0.5,5.159999999999991,97.3,-92.14,1.056001736487953,0.13750000000000007,0.01718750000000001,1.0341547021709971,92.14,0.05600173648795302
tokyo_first120_reference,opening_range_low|neckline_level,2,1,0.5,2.2699999999999996,25.24,-22.97,1.0988245537657815,0.03720000000000012,0.01860000000000006,1.0370186088167979,22.97,0.09882455376578143
tokyo_first120_reference,session_high|opening_range_high|neckline_level,6,2,0.3333333333333333,-10.050000000000004,70.38,-80.43,0.8750466243938827,-0.28200000000000003,-0.04700000000000001,0.9140427347822111,56.26,-0.17863490934944906
tokyo_first120_reference,session_low|opening_range_low|neckline_level,2,1,0.5,12.93,37.68,-24.75,1.5224242424242425,0.5165,0.25825,1.5134705239089372,24.75,0.5224242424242425
london_first120_reference,neckline_level,4,3,0.75,84.6,109.8,-25.2,4.357142857142857,3.4993,0.874825,4.448945397200867,25.200000000000003,3.3571428571428563
london_first120_reference,opening_range_high|neckline_level,1,0,0.0,-26.04,0,-26.04,0.0,-1.0333,-1.0333,0.0,26.04,-1.0
london_first120_reference,opening_range_low|neckline_level,3,2,0.6666666666666666,23.970000000000002,48.17,-24.2,1.990495867768595,1.0573000000000001,0.3524333333333334,2.0573,24.2,0.9904958677685952
london_first120_reference,session_high|opening_range_high|neckline_level,15,11,0.7333333333333333,271.32,350.41,-79.09,4.430522189910229,10.982000000000001,0.7321333333333334,4.2615603932167145,48.36,5.610421836228288
london_first120_reference,session_low|opening_range_low|neckline_level,3,0,0.0,-57.36,0,-57.36,0.0,-2.3522,-0.7840666666666666,0.0,57.36,-1.0
newyork_first120_reference,neckline_level,14,3,0.21428571428571427,-132.37999999999994,57.67,-190.04999999999995,0.30344646145751125,-5.408100000000001,-0.3862928571428572,0.315854723019899,139.77999999999997,-0.9470596651881525
newyork_first120_reference,opening_range_high|neckline_level,1,0,0.0,-24.13,0,-24.13,0.0,-1.0,-1.0,0.0,24.13,-1.0
newyork_first120_reference,opening_range_low|neckline_level,1,0,0.0,-23.32,0,-23.32,0.0,-1.0095,-1.0095,0.0,23.32,-1.0
newyork_first120_reference,session_high|opening_range_high|neckline_level,22,7,0.3181818181818182,-161.06999999999996,92.28,-253.35,0.3642391947898165,-6.563999999999998,-0.2983636363636363,0.397328191709131,186.04,-0.8657815523543323
newyork_first120_reference,session_low|opening_range_low|neckline_level,11,2,0.18181818181818182,-176.84,38.08,-214.92,0.1771822073329611,-7.364,-0.6694545454545454,0.18005589515760875,189.17000000000002,-0.9348205317967965
overlap_first120_reference,neckline_level,12,6,0.5,80.41000000000003,210.63000000000005,-130.22,1.6174934725848569,3.7223,0.3101916666666667,1.6982891231756276,31.52,2.5510786802030467
overlap_first120_reference,session_high|opening_range_high|neckline_level,16,6,0.375,-45.41,155.42,-200.83,0.7738883632923367,-1.9935,-0.12459375,0.7636745145458426,68.86,-0.6594539645657856
overlap_first120_reference,session_low|opening_range_low|neckline_level,4,0,0.0,-93.30000000000001,0,-93.30000000000001,0.0,-4.0266,-1.00665,0.0,93.30000000000001,-1.0
target_multiple_1_2_reference,session_high|opening_range_high|neckline_level,19,10,0.5263157894736842,79.74999999999999,232.32000000000002,-152.57,1.5227108868060564,3.486,0.18347368421052632,1.5507892117362658,73.35000000000001,1.0872528970688478
target_multiple_1_2_reference,session_low|opening_range_low|neckline_level,6,2,0.3333333333333333,-20.24,58.72,-78.96,0.7436676798378926,-0.9502000000000002,-0.15836666666666668,0.7165528144855771,71.69,-0.28232668433533264
target_multiple_2_0_reference,session_high|opening_range_high|neckline_level,16,7,0.4375,52.16999999999999,204.5,-152.33,1.3424801417974135,2.3732999999999995,0.14833124999999997,1.3719381278503031,71.69,0.7277165573999161
target_multiple_2_0_reference,session_low|opening_range_low|neckline_level,6,1,0.16666666666666666,-57.7,49.45,-107.15,0.461502566495567,-2.6028000000000002,-0.4338,0.43406318627557566,69.44,-0.8309331797235023
