scenario,clean_path_to_target,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,recovery_factor
session_reversal_pullback_all_symbols_first120,false,160,62,0.3875,-374.26,1591.6500000000003,-1965.9099999999999,0.8096250591329208,-16.107200000000002,-0.10067000000000001,0.8113886712826508,644.8800000000001,-0.5803560352313608
session_reversal_pullback_all_symbols_first120,true,3,2,0.6666666666666666,-7.120000000000001,14.82,-21.94,0.6754785779398359,-0.31740000000000007,-0.10580000000000002,0.6826,21.94,-0.3245214220601641
session_reversal_pullback_one_symbol_first120,false,116,46,0.39655172413793105,-174.63,1221.8500000000006,-1396.48,0.8749498739688364,-6.959799999999997,-0.05999827586206894,0.8827945545054665,400.01,-0.43656408589785256
session_reversal_pullback_one_symbol_first60,false,93,35,0.3763440860215054,-229.6800000000001,924.9800000000001,-1154.66,0.8010843018724128,-9.398799999999998,-0.10106236559139782,0.807833619915886,397.99000000000007,-0.5770999271338477
session_reversal_pullback_clean_target_path_first120,false,23,9,0.391304347826087,2.020000000000004,260.81,-258.79,1.0078055566289268,0.033800000000000247,0.0014695652173913152,1.0030929155762158,106.86999999999999,0.018901469074576627
session_reversal_pullback_clean_target_path_first60,false,17,5,0.29411764705882354,-96.57000000000002,136.88,-233.45,0.5863354037267081,-4.2264,-0.24861176470588234,0.5758372557481357,102.91,-0.9383927703818873
tokyo_first120_reference,false,18,8,0.4444444444444444,10.309999999999988,230.59999999999997,-220.29000000000002,1.0468019428934583,0.4092000000000007,0.02273333333333337,1.0439183025125305,99.64,0.10347250100361288
london_first120_reference,false,26,16,0.6153846153846154,296.49000000000007,508.38000000000005,-211.88999999999996,2.3992637689367133,12.153100000000002,0.46742692307692313,2.386200839492654,94.47999999999999,3.1381244707874694
newyork_first120_reference,false,49,12,0.24489795918367346,-517.7399999999999,188.02999999999997,-705.77,0.26641823823625255,-21.34559999999999,-0.43562448979591817,0.2833920837949442,517.7399999999999,-1.0
overlap_first120_reference,false,32,12,0.375,-58.29999999999998,366.05000000000007,-424.3500000000001,0.862613408742783,-2.2978,-0.07180625,0.8708564234569427,114.5,-0.5091703056768557
target_multiple_1_2_reference,false,24,12,0.5,70.05999999999999,291.04,-220.98,1.3170422662684407,2.9629999999999996,0.12345833333333332,1.3201789457759718,56.019999999999996,1.250624776865405
target_multiple_1_2_reference,true,1,0,0.0,-10.55,0,-10.55,0.0,-0.4272,-0.4272,0.0,10.55,-1.0
target_multiple_2_0_reference,false,22,8,0.36363636363636365,-5.529999999999995,253.95000000000002,-259.48,0.9786881455218128,-0.2295000000000003,-0.010431818181818195,0.9790983606557379,83.72,-0.06605351170568556
