scenario,session_label,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,recovery_factor
session_reversal_pullback_all_symbols_first120,london_newyork_overlap,267,105,0.39325842696629215,-720.7399999999997,2589.1099999999997,-3309.85,0.7822439083342144,-34.263699999999986,-0.1283284644194756,0.7777539224531858,789.9499999999997,-0.9123868599278434
session_reversal_pullback_all_symbols_first120,new_york,341,146,0.4281524926686217,-479.46999999999974,2500.6500000000005,-2980.119999999999,0.8391105056172239,-19.611899999999995,-0.05751290322580644,0.8587828418693865,546.1699999999997,-0.8778768515297435
session_reversal_pullback_all_symbols_first120,tokyo,153,65,0.42483660130718953,-318.4500000000002,1236.9699999999996,-1555.42,0.7952643016034251,-14.482300000000011,-0.09465555555555563,0.8004703632571074,633.5500000000001,-0.5026438323731358
session_reversal_pullback_one_symbol_first120,london_newyork_overlap,121,46,0.38016528925619836,-467.5500000000001,1095.4199999999996,-1562.9699999999996,0.7008579819190387,-20.5252,-0.16962975206611572,0.699852011300955,524.33,-0.891709419640303
session_reversal_pullback_one_symbol_first120,new_york,165,60,0.36363636363636365,-500.88000000000034,930.8599999999999,-1431.7399999999996,0.6501599452414546,-20.613100000000006,-0.12492787878787882,0.6702953779516602,517.0500000000002,-0.9687264287786485
session_reversal_pullback_one_symbol_first120,tokyo,94,39,0.4148936170212766,-274.98,823.1399999999999,-1098.1199999999997,0.7495902087203585,-11.915399999999998,-0.12675957446808508,0.7504947012004745,337.7,-0.8142730233935447
session_reversal_pullback_one_symbol_first60,london_newyork_overlap,121,46,0.38016528925619836,-467.5500000000001,1095.4199999999996,-1562.9699999999996,0.7008579819190387,-20.5252,-0.16962975206611572,0.699852011300955,524.33,-0.891709419640303
session_reversal_pullback_one_symbol_first60,new_york,165,60,0.36363636363636365,-500.88000000000034,930.8599999999999,-1431.7399999999996,0.6501599452414546,-20.613100000000006,-0.12492787878787882,0.6702953779516602,517.0500000000002,-0.9687264287786485
session_reversal_pullback_one_symbol_first60,tokyo,94,39,0.4148936170212766,-274.98,823.1399999999999,-1098.1199999999997,0.7495902087203585,-11.915399999999998,-0.12675957446808508,0.7504947012004745,337.7,-0.8142730233935447
session_reversal_pullback_clean_target_path_first120,london_newyork_overlap,3,1,0.3333333333333333,-10.61,36.5,-47.11,0.7747824241137763,-0.5152000000000001,-0.17173333333333338,0.7443429932512902,47.11,-0.2252175758862237
session_reversal_pullback_clean_target_path_first120,new_york,1,0,0.0,-0.82,0,-0.82,0.0,-0.0532,-0.0532,0.0,0.82,-1.0
session_reversal_pullback_clean_target_path_first120,tokyo,4,2,0.5,-9.02,41.3,-50.32,0.8207472178060413,-0.24109999999999998,-0.060274999999999995,0.8811261216842521,26.3,-0.3429657794676806
session_reversal_pullback_clean_target_path_first60,london_newyork_overlap,3,1,0.3333333333333333,-10.61,36.5,-47.11,0.7747824241137763,-0.5152000000000001,-0.17173333333333338,0.7443429932512902,47.11,-0.2252175758862237
session_reversal_pullback_clean_target_path_first60,new_york,1,0,0.0,-0.82,0,-0.82,0.0,-0.0532,-0.0532,0.0,0.82,-1.0
session_reversal_pullback_clean_target_path_first60,tokyo,4,2,0.5,-9.02,41.3,-50.32,0.8207472178060413,-0.24109999999999998,-0.060274999999999995,0.8811261216842521,26.3,-0.3429657794676806
tokyo_first120_reference,tokyo,94,39,0.4148936170212766,-275.25999999999993,853.7299999999999,-1128.9899999999998,0.7561891602228541,-11.915399999999998,-0.12675957446808508,0.7504947012004745,347.5199999999999,-0.7920695211786372
newyork_first120_reference,new_york,190,72,0.37894736842105264,-517.91,1185.3000000000002,-1703.2100000000003,0.6959212310871824,-19.81880000000001,-0.10430947368421058,0.7257103314649503,537.5099999999999,-0.9635355621290769
overlap_first120_reference,london_newyork_overlap,121,46,0.38016528925619836,-484.5,1116.55,-1601.0499999999995,0.6973860903781895,-20.5252,-0.16962975206611572,0.699852011300955,544.63,-0.8895947707618016
target_multiple_1_2_reference,london_newyork_overlap,3,1,0.3333333333333333,-17.73,29.38,-47.11,0.623646784122267,-0.8083,-0.26943333333333336,0.5988983723699881,47.11,-0.37635321587773296
target_multiple_1_2_reference,new_york,3,1,0.3333333333333333,-18.44,7.31,-25.75,0.28388349514563105,-0.7242000000000001,-0.24140000000000003,0.3123813140903912,24.93,-0.7396710790212596
target_multiple_1_2_reference,tokyo,4,2,0.5,-15.879999999999999,34.44,-50.32,0.6844197138314785,-0.5411,-0.135275,0.7332117148210235,26.3,-0.6038022813688212
target_multiple_2_0_reference,london_newyork_overlap,2,1,0.5,24.49,48.5,-24.01,2.0199916701374425,0.9943,0.49715,1.9943,24.01,1.0199916701374425
target_multiple_2_0_reference,new_york,1,0,0.0,-0.82,0,-0.82,0.0,-0.0532,-0.0532,0.0,0.82,-1.0
target_multiple_2_0_reference,tokyo,2,1,0.5,11.27,35.29,-24.02,1.4691923397169027,0.39769999999999994,0.19884999999999997,1.3929841897233202,24.02,0.46919233971690255
