scenario,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,recovery_factor,blocked_signals,obstacle_blocked_signals,clean_trades,clean_avg_r,dirty_trades,dirty_avg_r,daily_or_dd_stopped,gate_scope,passed_2025_shallow_gate
session_reversal_pullback_all_symbols_first120,163,64,0.39263803680981596,-381.37999999999977,1606.4700000000003,-1987.85,0.80814447770204,-16.4246,-0.10076441717791412,0.8098980426834133,651.9999999999999,-0.5849386503067482,377,0,3,-0.10580000000000002,160,-0.10067000000000001,False,False,False
session_reversal_pullback_one_symbol_first120,116,46,0.39655172413793105,-174.63,1221.8500000000006,-1396.48,0.8749498739688364,-6.959799999999997,-0.05999827586206894,0.8827945545054665,400.01,-0.43656408589785256,239,0,0,0.0,116,-0.05999827586206894,False,True,False
session_reversal_pullback_one_symbol_first60,93,35,0.3763440860215054,-229.6800000000001,924.9800000000001,-1154.66,0.8010843018724128,-9.398799999999998,-0.10106236559139782,0.807833619915886,397.99000000000007,-0.5770999271338477,178,0,0,0.0,93,-0.10106236559139782,False,True,False
session_reversal_pullback_clean_target_path_first120,23,9,0.391304347826087,2.020000000000004,260.81,-258.79,1.0078055566289268,0.033800000000000247,0.0014695652173913152,1.0030929155762158,106.86999999999999,0.018901469074576627,332,269,0,0.0,23,0.0014695652173913152,False,True,False
session_reversal_pullback_clean_target_path_first60,17,5,0.29411764705882354,-96.57000000000002,136.88,-233.45,0.5863354037267081,-4.2264,-0.24861176470588234,0.5758372557481357,102.91,-0.9383927703818873,254,213,0,0.0,17,-0.24861176470588234,False,True,False
tokyo_first120_reference,18,8,0.4444444444444444,10.309999999999988,230.59999999999997,-220.29000000000002,1.0468019428934583,0.4092000000000007,0.02273333333333337,1.0439183025125305,99.64,0.10347250100361288,45,0,0,0.0,18,0.02273333333333337,False,True,False
london_first120_reference,26,16,0.6153846153846154,296.49000000000007,508.38000000000005,-211.88999999999996,2.3992637689367133,12.153100000000002,0.46742692307692313,2.386200839492654,94.47999999999999,3.1381244707874694,69,0,0,0.0,26,0.46742692307692313,False,True,False
newyork_first120_reference,49,12,0.24489795918367346,-517.7399999999999,188.02999999999997,-705.77,0.26641823823625255,-21.34559999999999,-0.43562448979591817,0.2833920837949442,517.7399999999999,-1.0,49,0,0,0.0,49,-0.43562448979591817,False,True,False
overlap_first120_reference,32,12,0.375,-58.29999999999998,366.05000000000007,-424.3500000000001,0.862613408742783,-2.2978,-0.07180625,0.8708564234569427,114.5,-0.5091703056768557,67,0,0,0.0,32,-0.07180625,False,True,False
target_multiple_1_2_reference,25,12,0.48,59.510000000000005,291.04,-231.53,1.2570293266531336,2.5357999999999996,0.10143199999999998,1.2619249282128615,60.69,0.9805569286538146,330,265,1,-0.4272,24,0.12345833333333332,False,True,False
target_multiple_2_0_reference,22,8,0.36363636363636365,-5.529999999999995,253.95000000000002,-259.48,0.9786881455218128,-0.2295000000000003,-0.010431818181818195,0.9790983606557379,83.72,-0.06605351170568556,333,273,0,0.0,22,-0.010431818181818195,False,True,False
