component,step15f_rows,step15g_rows,missing,extra,mismatches,status
detector_identity,21799,21799,0,0,0,PASS
episode_identity,3151,3151,0,0,0,PASS
context_features,6302,6302,0,0,0,PASS
control_features,12508,12508,0,0,0,PASS
